Scenario,policyOrAB,n,Sex,White,Degree,Income,MeanAge,StdAge
Checklist,Policy,193,51.813471502590666,75.64766839378238,48.704663212435236,31.088082901554404,34.21243523316062,10.921187873101786
Checklist,AB Test,220,46.36363636363636,72.27272727272728,50.90909090909091,33.63636363636363,34.877272727272725,10.998481913435423
Checklist_exact,Policy,194,53.09278350515464,74.22680412371135,58.24742268041238,39.175257731958766,33.634020618556704,11.126920970302859
Checklist_exact,AB Test,192,54.6875,71.35416666666666,50.520833333333336,31.770833333333332,34.932291666666664,11.691075889487335
Checklist_vary,Policy,180,48.333333333333336,78.33333333333333,53.888888888888886,40.55555555555556,36.49444444444445,11.176840191792762
Checklist_vary,AB Test,163,44.785276073619634,80.98159509202453,52.760736196319016,36.19631901840491,37.061349693251536,12.12012572334954
Checklist_pf,Policy,402,25.12437810945274,53.98009950248757,22.388059701492537,11.940298507462686,29.955223880597014,9.798365433158866
Checklist_pf,AB Test,423,19.38534278959811,56.973995271867615,18.67612293144208,8.274231678486997,29.893364928909953,9.984572591653928
Genetic Testing,Policy,199,39.698492462311556,77.88944723618091,59.798994974874375,43.71859296482412,35.69346733668342,11.543571718400987
Genetic Testing,AB Test,179,44.6927374301676,71.50837988826815,53.072625698324025,43.01675977653631,37.25698324022346,11.549156973696753
Autonomous Vehicles,Policy,204,50.49019607843137,72.05882352941177,53.92156862745098,34.31372549019608,35.64705882352941,11.45360920062583
Autonomous Vehicles,AB Test,193,51.29533678756477,75.12953367875647,55.95854922279793,40.41450777202073,38.49222797927461,13.44398842225605
Retirement,Policy,201,43.28358208955223,76.61691542288557,56.71641791044776,39.800995024875625,36.82089552238806,12.407971679288671
Retirement,AB Test,95,42.10526315789473,71.57894736842105,52.63157894736842,48.421052631578945,37.589473684210525,11.501613889383972
Recruit,Policy,197,44.67005076142132,75.1269035532995,60.913705583756354,40.10152284263959,37.67005076142132,11.808323184346774
Recruit,AB Test,96,37.5,80.20833333333334,60.416666666666664,40.625,37.145833333333336,12.865276945219367
Charity,Policy,199,45.7286432160804,79.89949748743719,59.2964824120603,40.7035175879397,36.653266331658294,11.378935744222016
Charity,AB Test,103,42.71844660194174,77.66990291262135,47.57281553398058,32.038834951456316,36.61165048543689,13.927848397174674
Education,Policy,196,40.816326530612244,73.46938775510205,53.57142857142857,45.40816326530612,37.44387755102041,13.74313491148165
Education,AB Test,104,39.42307692307692,79.8076923076923,56.730769230769226,27.884615384615387,35.52884615384615,13.219547699303474
Basic Income,Policy,208,46.63461538461539,76.4423076923077,53.84615384615385,40.38461538461539,36.23076923076923,11.262121344720242
Basic Income,AB Test,96,45.83333333333333,77.08333333333334,53.125,42.70833333333333,37.78125,11.873192383197582
Drug,Policy,200,51,73,59,40,34.81,10.463811771238989
Drug,AB Test,102,46.07843137254902,79.41176470588235,60.78431372549019,42.15686274509804,36.254901960784316,11.044183339380849
DrugTeach,Policy,204,51.470588235294116,74.50980392156863,57.84313725490197,43.627450980392155,35.220588235294116,12.570015446379749
DrugTeach,AB Test,99,48.484848484848484,74.74747474747475,62.62626262626263,41.41414141414141,36.4040404040404,12.832451840675217
