Respondent ID,Start Date,End Date,time,resp,sex,race,additionalRace,age,edu,income,god,belief,science,Exclusion,ExclusionPostCoding,RespBinary,reason,Objection,Condition,scenarioCond,policyOrAB,BenefitFinal,LearningFinal,AbsenceHarmFinal,EqualityFinal,PhysicalRisk/HarmFinal,OtherRisk/HarmFinal,IneffectiveFinal,RandomizationFinal,ExperimentationFinal,InequalityFinal,NoEquipoiseFinal,BadDesignFinal,NoticeFinal,ConsentFinal,TooLongFinal,PickAPolicyFinal,GoodIntentFinal,BadIntentFinal,StatusQuoFinal,PatientConfidenceFinal,CoddledExpertsFinal,AgentsAlreadyKnowFinal,AgentsShouldAlreadyKnowFinal,ExpertsAlreadyKnowFinal,ExpertsShouldAlreadyKnowFinal,ParticipantKnowsBestFinal,PatientAlreadyShouldKnowFinal,BenefitSA,BenefitMM,LearningSA,LearningMM,AbsenceHarmSA,AbsenceHarmMM,EqualitySA,EqualityMM,PhysicalRisk/HarmSA,PhysicalRisk/HarmMM,OtherRisk/HarmSA,OtherRisk/HarmMM,IneffectiveSA,IneffectiveMM,RandomizationSA,RandomizationMM,ExperimentationSA,ExperimentationMM,InequalitySA,InequalityMM,NoEquipoiseSA,NoEquipoiseMM,BadDesignSA,BadDesignMM,NoticeSA,NoticeMM,ConsentSA,ConsentMM,TooLongSA,TooLongMM,PickAPolicySA,PickAPolicyMM,GoodIntentSA,GoodIntentMM,BadIntentSA,BadIntentMM,StatusQuoSA,StatusQuoMM,PatientConfidenceSA,PatientConfidenceMM,CoddledExpertsSA,CoddledExpertsMM,AgentsAlreadyKnowSA,AgentsAlreadyKnowMM,AgentsShouldAlreadyKnowSA,AgentsShouldAlreadyKnowMM,ExpertsAlreadyKnowSA,ExpertsAlreadyKnowMM,ExpertsShouldAlreadyKnowSA,ExpertsShouldAlreadyKnowMM,ParticipantKnowsBestSA,ParticipantKnowsBestMM,PatientAlreadyShouldKnowSA,PatientAlreadyShouldKnowMM,NecessaryRevealSA,NecessaryRevealMM,AmbiguousSA,AmbiguousMM,Disagreement
6297084435,7/18/17 13:11,7/18/17 13:13,0:02,4,1,3,,19,3,2,3,2,2,1,1,,"I think it is somewhat appropiate because we entrust doctors with medical matters. What they believe is necessary is based on decades of clinical research and experience, and we are in no position to judge their methods unless it is obviously controversial. In this case I would permit the plastic tube but people should be allowed to turn down the method if they so choose. ",Non-Object,badge,Badge,Policy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,, ,, ,, ,, ,, ,, ,, ,,,,,, ,, ,, ,,,,,,,, ,,,,,,,,,,,,,,,,,0,0,,,
6297085202,7/18/17 13:12,7/18/17 13:14,0:02,4,2,3,,31,3,3,3,2,3,0,0,0,"It seems like it could be a great idea, but it doesn't mean the doctors will review the precautions before each procedure.",Non-Object,badge,Badge,Policy,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
6297086071,7/18/17 13:12,7/18/17 13:13,0:01,2,2,3,,25,4,1,4,5,2,0,0,1,I don't think it would be all that helpful to people that do it regularly. Perhaps there should just be a course to certify someone in it.,Object,badge,Badge,Policy,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0
6297086289,7/18/17 13:12,7/18/17 13:14,0:02,4,1,3,,31,4,2,3,4,2,0,0,0,"It's helpful to have the instructions in front of you. Also, I don't see what harm it could cause.",Non-Object,badge,Badge,Policy,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6297086391,7/18/17 13:12,7/18/17 13:16,0:04,5,2,2,,29,3,2,3,1,1,1,1,,It will prove which doctors can provide this treatment and they all know who will be responsible. ,Non-Object,badge,Badge,Policy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6297089103,7/18/17 13:14,7/18/17 13:17,0:03,3,2,1,,27,3,1,3,5,1,0,0,0,No one will stop in the middle of a procedure to read it,Non-Object,badge,Badge,Policy,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6297089711,7/18/17 13:14,7/18/17 13:16,0.001388889,2,1,3,,21,3,5,3,5,1,1,0,,This is slightly inappropriate becuase people other than the doctore would be able to identify perhaps a personal condition on the basis of the badge.,Object,badge,Badge,Policy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6297089937,7/18/17 13:14,7/18/17 13:19,0:05,4,1,3,,73,2,2,2,2,3,0,0,0,so the drs. can be sure this person qualifies and that theres no danger involved,Non-Object,badge,Badge,Policy,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6297090064,7/18/17 13:14,7/18/17 13:18,0:04,5,2,2,,36,2,1,2,4,2,0,0,0,I think it is a great idea and more convenient to everyone. I think it simplifies ,Non-Object,badge,Badge,Policy,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6297090433,7/18/17 13:15,7/18/17 13:16,0:01,5,1,4,,28,3,5,3,4,1,0,0,0,because the id badge has standard safety precautions,Non-Object,badge,Badge,Policy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
