Respondent ID,Code ,SA,MM
6297085202,Benefit,0,1
6297086071,Benefit,0,0
6297086289,Benefit,1,1
6297089103,Benefit,0,0
6297089937,Benefit,1,1
6297090064,Benefit,1,1
6297090433,Benefit,0,0
6297092996,Benefit,0,0
6297094841,Benefit,1,1
6297097818,Benefit,1,1
6297098747,Benefit,1,1
6297099941,Benefit,0,0
6297101782,Benefit,1,1
6297103396,Benefit,1,1
6297104484,Benefit,1,1
6297104647,Benefit,1,1
6297111301,Benefit,1,1
6297118083,Benefit,1,1
6297118259,Benefit,1,1
6297118875,Benefit,1,1
6297121694,Benefit,1,1
6297122166,Benefit,1,1
6297122424,Benefit,1,0
6297122836,Benefit,1,1
6297123519,Benefit,1,1
6297124566,Benefit,0,0
6297125968,Benefit,0,0
6297127481,Benefit,0,0
6297128130,Benefit,0,0
6297129162,Benefit,1,1
6297130848,Benefit,0,0
6297132475,Benefit,1,1
6297132635,Benefit,0,0
6297133952,Benefit,1,1
6297145638,Benefit,1,1
6297148765,Benefit,1,1
6297148908,Benefit,1,1
6297150072,Benefit,1,1
6297150166,Benefit,0,0
6297154805,Benefit,0,0
6297159851,Benefit,0,0
6297163318,Benefit,1,1
6297176623,Benefit,1,1
6297200998,Benefit,1,1
6297203618,Benefit,0,0
6297223834,Benefit,1,1
6297278839,Benefit,1,1
6297296031,Benefit,1,1
6297334285,Benefit,1,1
6297339588,Benefit,1,1
6297357836,Benefit,1,1
6297372448,Benefit,1,1
6297372646,Benefit,0,0
6297399349,Benefit,1,1
6297420676,Benefit,1,1
6297421194,Benefit,1,1
6297484456,Benefit,1,1
6297485664,Benefit,1,1
6297514751,Benefit,0,1
6297584897,Benefit,1,1
6297619082,Benefit,1,1
6297683884,Benefit,1,1
6297685720,Benefit,0,0
6297084303,Benefit,1,1
6297086594,Benefit,1,1
6297086682,Benefit,1,1
6297086706,Benefit,1,1
6297087455,Benefit,1,1
6297088074,Benefit,1,1
6297088597,Benefit,1,1
6297088777,Benefit,1,1
6297089279,Benefit,1,1
6297089454,Benefit,1,1
6297092291,Benefit,0,0
