StudyType,ExperimentCode_MS,StudyDescription,R File,Scenario,genericCond,scenarioCond,policyOrAB,cond,dv,Duration,ResponseId,FreeResponse,Disagreement,pid,DisagreementPostMeeting,dv_binary,Objection,condLabel,BenefitFinal,LearningFinal,AbsenceHarmFinal,EqualityFinal,PhysicalRiskFinal,OtherRiskFinal,IneffectiveFinal,NotEnoughInfoFinal,RandomizationFinal,ExperimentationFinal,InequalityFinal,NoEquipoiseFinal,BadDesignFinal,NoticeFinal,ConsentFinal,TooLongFinal,PickAPolicyFinal,GoodIntentFinal,BadIntentFinal,StatusQuoFinal,PatientConfidenceFinal,CoddledExpertsFinal,WorkHasAlreadyBeenDoneFinal,AgentsAlreadyKnowFinal,AgentsShouldAlreadyKnowFinal,ExpertsAlreadyKnowFinal,ExpertsShouldAlreadyKnowFinal,ParticipantKnowsBestFinal,PatientAlreadyShouldKnowFinal,BenefitSA,BenefitWC,LearningSA,LearningWC,AbsenceHarmSA,AbsenceHarmWC,EqualitySA,EqualityWC,PhysicalRisk/HarmSA,PhysicalRisk/HarmWC,OtherRisk/HarmSA,OtherRisk/HarmWC,IneffectiveSA,IneffectiveWC,NotEnoughInformationSA,NotEnoughInformationWC,RandomizationSA,RandomizationWC,ExperimentationSA,ExperimentationWC,InequalitySA,InequalityWC,NoEquipoiseSA,NoEquipoiseWC,BadDesignSA,BadDesignWC,NoticeSA,NoticeWC,ConsentSA,ConsentWC,TooLongSA,TooLongWC,PickAPolicySA,PickAPolicyWC,GoodIntentSA,GoodIntentWC,BadIntentSA,BadIntentWC,StatusQuoSA,StatusQuoWC,PatientConfidenceSA,PatientConfidenceWC,CoddledExpertsSA,CoddledExpertsWC,WorkHasAlreadyBeenDoneSA,WorkHasAlreadyBeenDoneWC,AgentsAlreadyKnowSA,AgentsAlreadyKnowWC,AgentsShouldAlreadyKnowSA,AgentsShouldAlreadyKnowWC,ExpertsAlreadyKnowSA,ExpertsAlreadyKnowWC,ExpertsShouldAlreadyKnowSA,ExpertsShouldAlreadyKnowWC,ParticipantKnowsBestSA,ParticipantKnowsBestWC,PatientAlreadyShouldKnowSA,PatientAlreadyShouldKnowWC,NecessaryRevealSA,NecessaryRevealWC,AmbiguousSA,AmbiguousWC,TrustAgent
Experiment,3,ManyDomains,abE12,Drug,A,Drug A,Policy,xA1,5,214,R_2aqVjIHoEV3kOdr,because I am on high blood pressure meds.,1,1051,1,0,Non-Object,Drug.A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0
Experiment,3,ManyDomains,abE12,Drug,A,Drug A,Policy,xA1,5,189,R_1NaxuGjT6Ve80pR,He chose a drug that is affordable and tolerable for most.  This is much more appropriate than pushing the latest drug company drug.,1,1415,1,0,Non-Object,Drug.A,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Experiment,3,ManyDomains,abE12,Drug,A,Drug A,Policy,xA1,4,243,R_eM3F2yCGxlE5Nvj,Doctors are generally supposed to do what they can for their patients best interest.,1,1498,1,0,Non-Object,Drug.A,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Experiment,3,ManyDomains,abE12,Drug,A,Drug A,Policy,xA1,5,266,R_D2ff4ZTBSPYyaIN,He's not choosing an expensive drug. It's affordable and patients can tolerate side effects. I think sometimes though this should be modified if a patient isn't tolerating the medicine to another one on the market.,1,1528,1,0,Non-Object,Drug.A,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Experiment,3,ManyDomains,abE12,Drug,A,Drug A,Policy,xA1,4,435,R_1mPgH2ocFiKnMes,"While it is definitely important to choose a drug that is affordable and has tolerable side effects, we know nothing about the other drugs or about Dr. Jones' patients.  Drug A is safe, effective, and affordable, and it has tolerable side effects.  That makes it appropriate to prescribe, in my opinion.  However, are the other drugs safer, more effective, or more affordable?  Do they have fewer or more tolerable side effects?  Are Dr. Jones' patients more susceptible to the side effects of Drug A than the other drugs?  Have they had good or bad results with any of the approved drugs or with similar medications in the past?  Without knowing these things, I can't say whether prescribing Drug A is *very* appropriate or not.",1,1706,1,0,Non-Object,Drug.A,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Experiment,3,ManyDomains,abE12,Drug,A,Drug A,Policy,xA1,4,207,R_1lhmMxuRmA49jFO,"Each person is different, something that works for one may not work for the other.",1,1841,1,0,Non-Object,Drug.A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Experiment,3,ManyDomains,abE12,Drug,A,Drug A,Policy,xA1,5,140,R_2ZQ96tmje7J8uUA,"Of the approved drugs, Dr. Jones chose the one that his patients can afford and that the side effects aren't too bad",1,610,0,0,Non-Object,Drug.A,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Experiment,3,ManyDomains,abE12,Drug,A,Drug A,Policy,xA1,5,417,R_1LbAhOLqz6p8cj4,"The doctor is trying to treat a condition in a patient. He is choosing to treat the condition with something that is both beneficial to the patient without too many side effects, and to the pharmaceutical company.",1,818,0,0,Non-Object,Drug.A,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Experiment,3,ManyDomains,abE12,Drug,A,Drug A,Policy,xA1,4,334,R_1lfzrm1OEyEI3bZ,Doctor Jones has made sure that the drug has been government approved first before offering it to his patients. He has also chosen a drug that is affordable and has checked out the side affects. This shows responsibility of the doctor.,1,1547,0,0,Non-Object,Drug.A,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Experiment,3,ManyDomains,abE12,Drug,A,Drug A,Policy,xA1,5,223,R_1KjdQ9cz5tWNofu,The justification for the choice seemed very reasonable.  The Dr. seemed to believe it was best for their patient which is her job.,0,1213,0,0,Non-Object,Drug.A,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Experiment,3,ManyDomains,abE12,Drug,A,Drug A,Policy,xA1,4,226,R_3OsSW5ifLWV0IFz,"I would recommend this drug if the benefits overweigh the side effects.If a drug can cure the blood pressure, it will have lot less pressure on the patients.",1,30,0,0,Non-Object,Drug.A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Experiment,3,ManyDomains,abE12,Drug,A,Drug A,Policy,xA1,5,223,R_3qsCpZmOqXxcWzv,The doctor is looking out for the best interests of his patients and recommends a treatment that is affordable and with tolerable side effects.,1,67,0,0,Non-Object,Drug.A,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Experiment,3,ManyDomains,abE12,Drug,A,Drug A,Policy,xA1,4,270,R_tLCVEjDDmuf3MTD,"If Drug A has more side effects than the average blood pressure medication but those side effects are tolerable and Drug A is more affordable than other options, the doctor's decision is somewhat appropriate, if not necessarily ideal.",1,94,0,0,Non-Object,Drug.A,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Experiment,3,ManyDomains,abE12,Drug,A,Drug A,Policy,xA1,5,260,R_2bZ9fG1rmUuO3mz,"I think this choice was appropriate because is states that the drug is affordable and the patients can tolerate its side effects. It does not state if the other drugs have worse side effects or if they are affordable or not, so with the knowledge I have that is how I reached my decision.",1,100,0,0,Non-Object,Drug.A,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Experiment,3,ManyDomains,abE12,Drug,A,Drug A,Policy,xA1,3,291,R_1hLtNnPQzXeDNXw,"It is not specified that drug A was approved by the FDA and is assuming anyone can tolerate the side effects. Unfortunately, not everyone is created equal and not everyone has the same reaction to the drug. Some might be mild, some nothing, some can be severe. I cannot confirm or deny that Doc is doing the right thing.",1,127,0,0,Non-Object,Drug.A,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Experiment,3,ManyDomains,abE12,Drug,A,Drug A,Policy,xA1,5,236,R_BLM725bOtcSNR3H,I chose this option because the doctor knows that the drug is affordable and his patients can tolerate its side effects.  He is putting his patients first.,1,146,0,0,Non-Object,Drug.A,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
