Participant,Code,SA,WC
R_2aqVjIHoEV3kOdr,Benefit,1,0
R_1NaxuGjT6Ve80pR,Benefit,1,0
R_eM3F2yCGxlE5Nvj,Benefit,1,0
R_D2ff4ZTBSPYyaIN,Benefit,1,0
R_1mPgH2ocFiKnMes,Benefit,1,1
R_1lhmMxuRmA49jFO,Benefit,0,0
R_2ZQ96tmje7J8uUA,Benefit,1,0
R_1LbAhOLqz6p8cj4,Benefit,1,1
R_1lfzrm1OEyEI3bZ,Benefit,1,1
R_1KjdQ9cz5tWNofu,Benefit,1,1
R_3OsSW5ifLWV0IFz,Benefit,1,0
R_3qsCpZmOqXxcWzv,Benefit,1,1
R_tLCVEjDDmuf3MTD,Benefit,1,0
R_2bZ9fG1rmUuO3mz,Benefit,1,0
R_1hLtNnPQzXeDNXw,Benefit,0,0
R_BLM725bOtcSNR3H,Benefit,1,0
R_9KXXSJbjKrTU08h,Benefit,1,0
R_2qlYN7qVf6zTQrD,Benefit,1,1
R_3nu6RJvwz2ylj6b,Benefit,1,0
R_xFSV2k6T0u1OjYZ,Benefit,1,0
R_D0jiqvYAsNrvkid,Benefit,1,1
R_3CAWj3iUjwTtSsl,Benefit,1,0
R_1PZh9dGF4XT9ryl,Benefit,1,1
R_3DtFdEjgTSzQohE,Benefit,1,0
R_1N9U52eXi5WEMyw,Benefit,1,0
R_2qk1l8AGlidQi6p,Benefit,1,0
R_3pfYuxRxVbk5psD,Benefit,1,1
R_RCi5RJjAlhNgfCN,Benefit,1,0
R_2P0iqiWAPHWjyJe,Benefit,1,0
R_1GIjjxKqN76eDsM,Benefit,1,1
R_25LRNKOsrRrZIKU,Benefit,1,1
R_2v2GDgHkUI05tLG,Benefit,1,1
R_ZLcSRbT0GlA1xE5,Benefit,1,1
R_PTAm61sSCcGdSOB,Benefit,0,0
R_2YlmxtBxNR3Sx2z,Benefit,1,0
R_2dRyed3Nd4cntNx,Benefit,1,0
R_31GkUsUVtGK26zz,Benefit,1,0
R_3R4a5ZNgCa7cp12,Benefit,1,1
R_yWvVEbJ74OwozGp,Benefit,1,0
R_735pTNgghkgBmGR,Benefit,1,0
R_2VdzWtnVQOf0bsY,Benefit,1,1
R_3g0izNanjrEe2WG,Benefit,1,1
R_2B2lUO1UefEvE3M,Benefit,1,0
R_3MExoPI9KqllhJ8,Benefit,1,1
R_XScuwbNkFDVUuzL,Benefit,1,0
R_3M3V0ejTpRCV2tT,Benefit,1,0
R_1Hek6Rj4ds7vrth,Benefit,1,0
R_2dgN7lVWGrycFn8,Benefit,1,0
R_2fJ56rdqYYZz7gr,Benefit,1,1
R_RfCuI6saP6nvHln,Benefit,1,1
R_a3FSGAOeGx3roC5,Benefit,1,0
R_WCIBtzJ4MP4gS8F,Benefit,1,0
R_9LxbVKS48mWCcLf,Benefit,1,0
R_1l076c7r3XYvP8c,Benefit,1,1
R_2906YMnVwxPc6Ol,Benefit,1,1
R_2wn5v5hJ2pEcJx9,Benefit,1,1
R_1mrY8tWciCgywnG,Benefit,0,0
R_YRKApWB1WuiGHiV,Benefit,1,1
R_3jdLAxKtLnZQ76U,Benefit,1,1
R_3FVvCnhw5gOn55Y,Benefit,1,1
R_2qxAkbgFFRMEmbY,Benefit,0,0
R_3fIeq60cvlT5nYZ,Benefit,1,0
R_2OPIic7OOqwpt6x,Benefit,0,0
R_1PRzlaZLBZMhxJj,Benefit,0,0
R_1M6VLRxH6RYtPzA,Benefit,1,1
R_3QXEUFe8K6fixwt,Benefit,0,0
R_3kFYbmL11gJJCZI,Benefit,1,1
R_3JL4ZWoJQH3j0Ht,Benefit,0,0
R_3ELN27IcY4ZjDAq,Benefit,0,0
R_3NXmu3nbW1D6dd7,Benefit,0,0
R_r0Tlb5zi9zEcQXT,Benefit,1,1
R_SJKA5TmM5q3ob2V,Benefit,1,1
R_XAmfoSXeawTPawh,Benefit,1,1
R_3e4sWbLXNKbte1q,Benefit,0,0
R_1r3u7KS7WbhGEEI,Benefit,1,1
R_25NMupvpSrU5kmT,Benefit,1,1
R_3p9M0Zp04hJbfyA,Benefit,1,1
R_27JdcmtitmuvYvq,Benefit,1,1
R_2zBcM9x8vK5gb1l,Benefit,0,0
R_2VKlF4WH4x5rSaq,Benefit,1,1
R_7VbbmnM4Z8Tebst,Benefit,1,1
R_VWJPhELsCkqPcWd,Benefit,1,1
R_1LItsoiN0iuV1Xl,Benefit,0,0
R_PFLC468XMpRJDCV,Benefit,1,1
R_tSA7WkZ4HlN6d0t,Benefit,0,0
R_3stS8Stdmai62Uw,Benefit,1,1
R_2VJd7Y9LJjWuDoS,Benefit,1,1
R_UaTc7swA0GX1nax,Benefit,0,0
R_27Jwdx9VlRZ3gSI,Benefit,1,1
R_0UQPDBgZxgAIaat,Benefit,1,1
R_9B9aO7F9aT52xLb,Benefit,1,1
R_1DuOSj3qvw7GBPT,Benefit,0,0
R_32RuEmXpWD13T3K,Benefit,0,0
R_31Es19OKRdLS7oE,Benefit,1,1
R_1GBNgobFTO5GSRB,Benefit,1,1
R_3rYeFVPBHkZUDeZ,Benefit,1,1
R_1lrtCYXZxAXXIhU,Benefit,0,0
R_2X0cHuSiaQfMPMN,Benefit,1,1
R_2WvbBY7RUlk00Wa,Benefit,1,0
R_2fHFAPylOKsa7P0,Benefit,1,0
R_3iEe6nyoYBYNtts,Benefit,1,0
R_2fvP5fW5giKpDXy,Benefit,0,0
R_2xS61b5um8y9m2j,Benefit,1,1
R_sdTphFjJeQlsWyZ,Benefit,1,1
R_2wbiPaUIURkmbPj,Benefit,1,1
R_rqMvcIQDV9PxeX7,Benefit,1,1
R_3hfGVhoyQKG9CL8,Benefit,1,0
