Participant,Code,SA,WC
R_2ATOB2CnIHip8If,Benefit,0,0
R_3HGpZsBSePzb2no,Benefit,0,0
R_1i9HMF0EACDrVg6,Benefit,0,0
R_10UBkI02V0kSmul,Benefit,0,0
R_2zSft8YvYZiOn5s,Benefit,0,0
R_1f0FG9XqTWKtdtW,Benefit,0,0
R_3qfbd92RiF3hK7I,Benefit,1,1
R_NXUtjyTjocKutVv,Benefit,0,0
R_3CVFA7kQjfeEz55,Benefit,1,1
R_umpgJikoAZZK0U1,Benefit,0,0
R_110DRBsEpXBcYcH,Benefit,0,0
R_Di9SlzIjhCGvYfn,Benefit,0,0
R_2YL2XYIJ30dyNtG,Benefit,0,0
R_2R3AxUbJArrL8sM,Benefit,0,0
R_OCJnGfSaCQulCXT,Benefit,0,0
R_RPJghXjMvNXdbC9,Benefit,0,0
R_12cmQA4wK3cE7vq,Benefit,0,0
R_Df9SkwrplP5adQB,Benefit,1,1
R_0vS3YEXvEKwKSFX,Benefit,0,0
R_2xAbsDjunmDUbCL,Benefit,1,1
R_2zFR12iP6WQ2dMf,Benefit,1,1
R_1fkOvG2gpYagrzK,Benefit,0,0
R_3JasF46tuYiRz6d,Benefit,0,0
R_3r1c5n05C0Dm4Mh,Benefit,0,0
R_sRppTe4QvJg9n8J,Benefit,0,0
R_UxpqlJBXnFaD4A1,Benefit,0,0
R_r8QDzjWRbVAnm5r,Benefit,1,1
R_3MG1lxPqxrQKXDg,Benefit,1,1
R_1FwuCsQ2XeYn38O,Benefit,0,0
R_tSdnNdMDEBbry0h,Benefit,0,0
R_12lhUnHRfqw28HM,Benefit,1,0
R_3KISHcOdZZoLC4A,Benefit,1,0
R_1OjjZpXk8iCHpZz,Benefit,0,0
R_2ZOoA6dySyG4Uci,Benefit,1,1
R_BG6ShNi5X3HRl0l,Benefit,1,1
R_2xY2YneAQFcZG4x,Benefit,0,0
R_4IV1cjWrJMY1pTz,Benefit,0,0
R_1nYBtb0aVBDW9Sh,Benefit,0,0
R_BE8mzF9E8GLxaz7,Benefit,1,1
R_30wUJoQMF0qJhf2,Benefit,0,0
R_2Vjsk3dUWW5cu7T,Benefit,0,0
R_yOdBffH23fjzv7H,Benefit,1,1
R_eDmPnnPtKg8Oywp,Benefit,1,1
R_3Mii2QuCcETbqRH,Benefit,1,1
R_1js40LKncy4AShi,Benefit,0,0
R_87dY0FqKaGZdyxz,Benefit,1,0
R_PMqzIXTqKlpt6Qp,Benefit,1,0
R_1o5B9GuTVrGn8X0,Benefit,0,0
R_12yk1lYPYKfsywD,Benefit,0,0
R_2pJk3td4kLYMPWU,Benefit,1,1
R_3oR5WXhOVFGambM,Benefit,1,1
R_33rwyRLGKQ7flOx,Benefit,1,1
R_vqLKv9rUfyDpkVb,Benefit,0,0
R_1GBoQ8taai5gwcy,Benefit,0,0
R_1jv3NZEEtp7A5yA,Benefit,1,1
R_22rhKJycRuuhvB5,Benefit,0,0
R_3nAe9KKpRPTwh7T,Benefit,0,0
R_2BzzIj3d6U0rlXd,Benefit,0,0
R_3OoZ9bgEzEFIZlA,Benefit,1,1
R_1dgLfQ1lqYOHuLJ,Benefit,0,0
R_3GcBiqM2JygR7DL,Benefit,1,0
R_6sSTnyKYxBYyEql,Benefit,1,0
R_3p4Edm8tUtqKlcR,Benefit,0,0
R_1eEQ3PXaYhXFYSk,Benefit,1,1
R_1O0oF1McGSQ1GI9,Benefit,1,0
R_1dzcoYSaTzJeHjw,Benefit,0,0
R_2EfMxa2oqijovk1,Benefit,1,1
R_3RmxFLKLkSfv5Ql,Benefit,1,0
R_2dYEFFOpwfEUmiP,Benefit,1,1
R_2ea3NWN4nQRTUMN,Benefit,1,0
R_T1OvvjbGcYOAoCZ,Benefit,0,1
R_2DNDnG3xkN5sL9G,Benefit,1,1
R_3JFFbniTzAwfovD,Benefit,1,1
R_12xPJwUbo1oXuuf,Benefit,0,0
R_2pXkuncJQYULGSV,Benefit,1,1
R_usMFAWMS1ho5e6J,Benefit,1,1
R_2SJHQkUwbXJDHqt,Benefit,0,0
R_1f2xUGvDSCTH7Xl,Benefit,1,0
R_1dhm6CIp2rlidiB,Benefit,0,0
R_2EsHZU4GPQl6Eto,Benefit,1,1
R_2106bPwwFwRqlNI,Benefit,1,1
