StudyType,ExperimentCode_MS,StudyDescription,R File,pid,Scenario,genericCond,scenarioCond,policyOrAB,cond,condLabel,dv,dv_binary,FreeResponse,Duration,ResponseId,PlantFood,PlantFood_Correct,GenesAnswer,GenesAnswer_Correct,Earth,Earth_Correct,Radioact,Radioact_Correct,Lasers,Lasers_Correct,Electrons,Electrons_Correct,Continents,Continents_Correct,Gender,Gender_Correct,Antibiotics,Antibiotics_Correct,degree,Degree_spec,ScienceLitSummed,RandomizationAnswer,STEMdegree,God,Intuition,ScienceBelief,ScienceBelief_Reverse,Sex,SexBinary1Male,Race/Ethnicity,RaceBinary1White,Age,AgeBinary1Old,Education,EducationBinary1Degree,Income,IncomeBinary1HighInc,IntuitionScore,IntuitionScore_ByHand,ScienceLitScore,Compensation,Everything after this column is unique to each experiment and was subjectively coded,RepeatTurkerLabelCode,MarkedForExclusion,whoMarked,Ineffective,Evidence,Intent,Consent,No Harm,Harm,Benefit,ExperimentRandom,,NegEquality,PosEquality,SQ,Action,help,exp,repeat_pollfish,misunderstand_pollfish,nonsense_pollfish,pole_pollfish,poleOrder_pollfish,Benefit,Learning,AbsenceofHarm,PosEquality,MedRiskHarm,OtherRiskHarm,Ineffective,Random,Experiment,NegEquality,Notice,Consent,Act,BestJudgment,GoodIntent,BadIntent,SQ,Misunderstand,IrrelUnclearOther,ORIGINAL God,ORIGINAL Intuition,ORIGINALScienceBelief,ORIGINALScienceBelief_Reverse,ORIGINAL Intuition  scale,Notes: intution questions coded opposite in this study.,,
Experiment,,AV + GT,abE9,12,Autonomous Vehicles,AB,AB Test,AB Test,xAB2l,AV.ABL,5,0,The CEO controls the company. The consumer is aware what he is choosing. The consumer still has the final say on whether to drive the car.,191,R_3FQygaUUJCkhn9G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Experiment,,AV + GT,abE9,34,Autonomous Vehicles,AB,AB Test,AB Test,xAB2l,AV.ABL,3,0,I think all cars should have an option to override the self driving function for safety reasons. It is not wise to fully depend on a self driving car.,162,R_RIzIPRhQ0QQV7tT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Experiment,,AV + GT,abE9,93,Autonomous Vehicles,AB,AB Test,AB Test,xAB2l,AV.ABL,4,0,Seems like a normal test to me.,75,R_ZkvvaEfQnKoqbXH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Experiment,,AV + GT,abE9,256,Autonomous Vehicles,AB,AB Test,AB Test,xAB2l,AV.ABL,5,0,I think its the right decision.,157,R_0TJYT6tTuPMsKpf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Experiment,,AV + GT,abE9,280,Autonomous Vehicles,AB,AB Test,AB Test,xAB2l,AV.ABL,3,0,They seemed to be the best course of action,558,R_qR45yL7nYf0zeY9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Experiment,,AV + GT,abE9,416,Autonomous Vehicles,AB,AB Test,AB Test,xAB2l,AV.ABL,4,0,"It is appropriate because the CEO is doing what is best in the long run. He is playing the long game, which is more important and good for a forward thinking ceo",116,R_3ilholYkXXZsX5n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Experiment,,AV + GT,abE9,489,Autonomous Vehicles,AB,AB Test,AB Test,xAB2l,AV.ABL,1,1,The models should have all been the same to prevent any deaths. Human interaction should be a last resort.,134,R_1LLnL7Qag9sIM5p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Experiment,,AV + GT,abE9,660,Autonomous Vehicles,AB,AB Test,AB Test,xAB2l,AV.ABL,5,0,Safety first.,492,R_2eaINXSmYSC6Oev,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Experiment,,AV + GT,abE9,683,Autonomous Vehicles,AB,AB Test,AB Test,xAB2l,AV.ABL,4,0,I feel that after a year of testing there should be sufficient evidence that would enable the CEO to make a decision as to the safest option.  If there are accidents and injuries then he will have to rethink things and come up with a more doable plan.,720,R_2uZZxeWKBOSZHP3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Experiment,,AV + GT,abE9,756,Autonomous Vehicles,AB,AB Test,AB Test,xAB2l,AV.ABL,3,0,its my view,126,R_2fdHXTY8VnTbdol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Experiment,,AV + GT,abE9,2,Autonomous Vehicles,AB,AB Test,AB Test,xAB2s,AV.ABS,4,0,This was the best option for the given scenario.,80,R_3kHQbpSUGuleJdE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Experiment,,AV + GT,abE9,163,Autonomous Vehicles,AB,AB Test,AB Test,xAB2s,AV.ABS,3,0,seems best,43,R_3fE0Ask4ofG8U5s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Experiment,,AV + GT,abE9,206,Autonomous Vehicles,AB,AB Test,AB Test,xAB2s,AV.ABS,4,0,is goood,390,R_2EGjLELd066kR18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Experiment,,AV + GT,abE9,212,Autonomous Vehicles,AB,AB Test,AB Test,xAB2s,AV.ABS,2,1,he is acting in the best interest of the company. The CEO wants to do good.,45,R_1gjYEojSkLuu92Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Experiment,,AV + GT,abE9,326,Autonomous Vehicles,AB,AB Test,AB Test,xAB2s,AV.ABS,1,1,This is a huge safety concern as people have a right to know this info.,108,R_1OqLaNsjdSggC99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Experiment,,AV + GT,abE9,688,Autonomous Vehicles,AB,AB Test,AB Test,xAB2s,AV.ABS,4,0,I think the invention will save lives. The risk is worthy of the reward.,131,R_p456FdgyvdxqTJL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Experiment,,AV + GT,abE9,803,Autonomous Vehicles,AB,AB Test,AB Test,xAB2s,AV.ABS,1,1,the options from the company are good for the car driver. the CEO is the one who approves theses measures.,377,R_3OlBPE1LJICghlf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Experiment,,AV + GT,abE9,36,Autonomous Vehicles,B,Auto,Policy,xB2,AV.auto,5,0,because he makes sure that if we touch the wheel or any pedal while driving we automatically take back over and the robot doesn't,181,R_1q9ioFK7bAgIRUo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Experiment,,AV + GT,abE9,164,Autonomous Vehicles,B,Auto,Policy,xB2,AV.auto,1,1,this survey is one of the game,108,R_3KZLh9G2n0cchYF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Experiment,,AV + GT,abE9,248,Autonomous Vehicles,B,Auto,Policy,xB2,AV.auto,4,0,He wants to know so he'll do what he wants. Why wouldn't he?,132,R_2wnptqgcn8tcgnb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Experiment,,AV + GT,abE9,258,Autonomous Vehicles,B,Auto,Policy,xB2,AV.auto,5,0,I think its the right decision.,216,R_1MWCmhvUnHakMFg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Experiment,,AV + GT,abE9,428,Autonomous Vehicles,B,Auto,Policy,xB2,AV.auto,5,0,I think it kills two birds with one stone. It is a self driving car but gives us the option to take control,583,R_2WViwjlV1bzT2do,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
