pid,cond,condLabel,dv,dv_binary,FreeResponse,Duration,ResponseId,God,Intuition,ScienceBelief,ScienceBelief_Reverse,Sex,SexBinary1Male,Race/Ethnicity,RaceBinary1White,Age,AgeBinary1Old,Education,EducationBinary1Degree,Income,IncomeBinary1HighInc,IntuitionScore_ByHand,RepeatTurkerLabelCode,MarkedForExclusion
4,xA,badge,4,0,"I think it is somewhat appropiate because we entrust doctors with medical matters. What they believe is necessary is based on decades of clinical research and experience, and we are in no position to judge their methods unless it is obviously controversial. In this case I would permit the plastic tube but people should be allowed to turn down the method if they so choose. ",0:02,6297084435,3,4,4,2,1,1,3,1,19,0,3,0,2,0,9,0,1
7,xA,badge,4,0,"It seems like it could be a great idea, but it doesn't mean the doctors will review the precautions before each procedure.",0:02,6297085202,3,4,3,3,2,0,3,1,31,0,3,0,3,0,10,0,0
14,xA,badge,2,1,I don't think it would be all that helpful to people that do it regularly. Perhaps there should just be a course to certify someone in it.,0:01,6297086071,2,1,4,2,2,0,3,1,25,0,4,1,1,0,5,0,0
16,xA,badge,4,0,"It's helpful to have the instructions in front of you. Also, I don't see what harm it could cause.",0:02,6297086289,3,2,4,2,1,1,3,1,31,0,4,1,2,0,7,0,0
17,xA,badge,5,0,It will prove which doctors can provide this treatment and they all know who will be responsible. ,0:04,6297086391,3,5,5,1,2,0,2,0,29,0,3,0,2,0,9,0,1
34,xA,badge,3,0,No one will stop in the middle of a procedure to read it,0:03,6297089103,3,1,5,1,2,0,1,0,27,0,3,0,1,0,5,0,0
39,xA,badge,2,1,This is slightly inappropriate becuase people other than the doctore would be able to identify perhaps a personal condition on the basis of the badge.,0:02,6297089711,3,1,5,1,1,1,3,1,21,0,3,0,5,1,5,0,1
40,xA,badge,4,0,so the drs. can be sure this person qualifies and that theres no danger involved,0:05,6297089937,4,4,3,3,1,1,3,1,73,1,2,0,2,0,11,0,0
42,xA,badge,5,0,I think it is a great idea and more convenient to everyone. I think it simplifies ,0:04,6297090064,4,2,4,2,2,0,2,0,36,1,2,0,1,0,8,0,0
45,xA,badge,5,0,because the id badge has standard safety precautions,0:01,6297090433,3,2,5,1,1,1,4,0,28,0,3,0,5,1,6,0,0
52,xA,badge,4,0,Having a doctor treat me while seeing a cheat sheet attached to his clothing would not instill a sense of confidence.,0:01,6297092996,1,1,5,1,2,0,4,0,34,1,5,1,6,1,3,0,0
55,xA,badge,4,0,it help me to understand what the doctor is doing.,0:02,6297093687,5,5,4,2,1,1,3,1,66,1,2,0,2,0,12,0,1
61,xA,badge,5,0,I think this is a good safety measure.  It holds the doctor accountable.,0:01,6297094841,3,3,4,2,2,0,3,1,50,1,2,0,1,0,8,0,0
63,xA,badge,2,1,I would want to trust that the doctors to inform the patient of the risks of a procedure. I also feel like the doctors would resent this decision. ,0:02,6297095060,1,1,5,1,1,1,3,1,35,1,6,1,3,0,3,0,1
76,xA,badge,5,0,This does no harm to doctors. It is a good way to remind them of the proper procedure,0:01,6297097818,1,1,5,1,1,1,3,1,27,0,3,0,2,0,3,0,0
80,xA,badge,5,0,This is appropriate because it is visible to all the patients who would find this comforting to see this.,0:03,6297098191,5,4,2,4,2,0,3,1,64,1,6,1,3,0,13,0,1
83,xA,badge,5,0,This doctor is providing due diligence to keep his patients healthy.  Communication is very important and it helps reduce risk.  ,0:01,6297098747,1,1,5,1,1,1,3,1,32,0,4,1,2,0,3,0,0
86,xA,badge,4,0,Most doctors would already follow standard procedures. But it would not hurt to be reminded.,0:03,6297099941,3,3,4,2,2,0,3,1,44,1,4,1,5,1,8,0,0
92,xA,badge,5,0,"Even if the doctors are confident in what to do, we are all humans, and there are still room for mistakes. This can decrease the chances of a mistake happening, and help give an all around better chance for the patient.",0:03,6297101782,5,4,4,2,1,1,1,0,24,0,3,0,1,0,11,0,0
95,xA,badge,5,0,Because it could help save lives and doesn't really cost anything.,0:02,6297103396,3,1,5,1,1,1,3,1,31,0,4,1,2,0,5,0,0
102,xA,badge,4,0,Some doctors who may not do this procedure very often may forget small important details. The idea of a new badge may help them have a quick notes reference to avoid any issues with the patient they are helping. This also will probably give peace of mind to the families and patients that see that this doctor is certified for this type of procedure. ,0:04,6297104484,4,3,4,2,2,0,3,1,27,0,3,0,3,0,9,0,0
104,xA,badge,4,0,"While it might not be looked at before every treatment, it is readily available as a refresher and this alone, may reduce infections.",0:02,6297104647,1,1,5,1,1,1,3,1,47,1,5,1,6,1,3,0,0
121,xA,badge,4,0,It is never a bad idea to have a reminder of how to do things right. ,0:01,6297111301,1,1,4,2,2,0,3,1,30,0,3,0,2,0,4,0,0
123,xA,badge,4,0,I have never heard of such a thing so why not. This way maybe the patient and know more of what should be done. ,0:02,6297112023,3,3,4,2,2,0,3,1,49,1,4,1,3,0,8,0,1
144,xA,badge,4,0,It is good not to kill people with infections.,0:01,6297118083,1,1,5,1,1,1,3,1,26,0,3,0,2,0,3,0,0
145,xA,badge,5,0,I used to work in a hosptial - checklists work! It adds accountability rather than depending on human memory,0:02,6297118259,1,1,5,1,1,1,3,1,56,1,4,1,6,1,3,0,0
147,xA,badge,3,0,meow meow meow meow meow meow meow meow meow meow meow meow ,0:01,6297118661,3,3,3,3,1,1,3,1,36,1,3,0,1,0,9,0,1
149,xA,badge,3,0,It seems like a halfway decent idea for patients to be able understand whats going on and to remind doctors of the safety procedures. If I was the doctor though I would feel a little coddled and resent it. ,0:02,6297118875,4,3,4,2,1,1,3,1,25,0,5,1,5,1,9,0,0
153,xA,badge,4,0,"I think it might make a difference in raising awareness, which would make a difference in doctor's actions. To be honest, it sounds like a great experiment to conduct to see whether it lowers infections.",0:02,6297121694,5,3,4,2,1,1,3,1,41,1,4,1,2,0,10,0,0
154,xA,badge,4,0,I feel it's appropriate because it may lead to more safety.  It may or may not be effective though.,0:01,6297122166,4,3,4,2,1,1,3,1,33,0,6,1,5,1,9,0,0
156,xA,badge,4,0,I don't really understand why it would be inappropriate to label doctors with safety tips. ,0:02,6297122424,4,2,4,2,1,1,3,1,30,0,4,1,3,0,8,0,0
157,xA,badge,4,0,Because it reminds people of the dangers of the procedure,0:01,6297122836,1,1,4,2,1,1,3,1,25,0,3,0,2,0,4,0,0
160,xA,badge,5,0,I think it's really important for the doctor to have important info regarding a risky procedure within reach at all times. I think this will clear up any discrepancies the doctor may have about the process last minute and decrease risk of infection.,0:04,6297123519,3,2,5,1,2,0,3,1,22,0,3,0,3,0,6,0,0
163,xA,badge,1,1,Doctors are very well trained in preventing infections. Having these directions printed on their badges makes it seem like they are unqualified to be doing their job,0:02,6297124566,3,3,4,2,1,1,3,1,30,0,6,1,6,1,8,0,0
166,xA,badge,2,1,"I think having a meeting about it is sufficient. Besides, patients might think they're incompetent if they're caught reading the procedure.",0:05,6297125968,1,1,5,1,1,1,4,0,40,1,4,1,6,1,3,0,0
169,xA,badge,4,0,I think it alerts patients to their procedure. They will have more awareness.,0:02,6297126923,4,4,3,3,2,0,2,0,22,0,4,1,3,0,11,0,1
172,xA,badge,3,0,I don't think I understand why this would need to be implemented. A doctor should already know the standard safety procedures if they are performing this procedure. ,0:05,6297127481,1,1,5,1,2,0,3,1,31,0,4,1,3,0,3,0,0
173,xA,badge,1,1,"That won't help at all in the situation. The doctor will be distracted trying to read the badge, and they might contaminate their hands if they touch the badge and then their tools. They should know the precautions by heart.",0:01,6297128130,1,1,5,1,2,0,4,0,29,0,4,1,6,1,3,0,0
177,xA,badge,5,0,It is always a good idea to take extra precautions to ensure the safety of patients.  I personally would like to know that I am in good hands with a doctor that is experienced.,0:01,6297129162,5,5,1,5,1,1,3,1,33,0,4,1,1,0,15,0,0
180,xA,badge,2,1,"It would make me feel nervous if a doctor had to wear his instructions on a badge. It seems like a good idea in theory, but I would rather he just remember.",0:02,6297130848,3,2,4,2,2,0,3,1,53,1,3,0,1,0,7,0,0
183,xA,badge,4,0,You can never be too safe.,0:02,6297132475,3,1,5,1,1,1,2,0,34,1,6,1,3,0,5,0,0
184,xA,badge,5,0,Makes sense. Who could argue otherwise?,0:02,6297132635,1,1,5,1,1,1,3,1,59,1,4,1,1,0,3,0,0
186,xA,badge,5,0,"in this field of work, small details matter. one wrong move can kill someone.",0:04,6297133952,1,3,4,2,1,1,4,0,36,1,3,0,2,0,6,0,0
206,xA,badge,4,0,Doctors may find it helpful to have the safety precautions printed on the back of the doctor's ID badge. I don't think this will completely resolve the issues of infections.,0:03,6297145638,3,2,5,1,2,0,3,1,22,0,3,0,2,0,6,0,0
210,xA,badge,5,0,If this can decrease the chance of infection then it should be done. ,0:02,6297148765,5,3,3,3,2,0,3,1,55,1,4,1,4,1,11,0,0
211,xA,badge,5,0,He's taking action to prevent infections. This is a reminder to the doctors to follow these precautions.,0:02,6297148908,2,2,4,2,2,0,"3,4",0,28,0,3,0,2,0,6,0,0
214,xA,badge,4,0,I don't see anything wrong with being safer,0:02,6297150072,1,3,3,3,2,0,3,1,37,1,2,0,1,0,7,0,0
215,xA,badge,3,0,I think it could be fufilling protocol but not helpfully,0:02,6297150166,4,3,3,3,2,0,3,1,31,0,4,1,6,1,10,0,0
216,xA,badge,5,0,i dont see a problem with  it. Its importent to have patient badges. and vain stints are also importent.,0:01,6297152005,3,1,5,1,2,0,3,1,24,0,2,0,4,1,5,0,1
219,xA,badge,2,1,The doctors should already be trained in this procedure and should not have to rely on reading instructions on an ID badge,0:02,6297154805,1,1,4,2,1,1,3,1,31,0,4,1,3,0,4,0,0
223,xA,badge,4,0,"I doubt it's gonna be helpful but it's not inappropriate in any way to have a ""cheat sheet"" on the doctor's person.",0:02,6297159851,1,1,5,1,1,1,3,1,35,1,3,0,1,0,3,0,0
227,xA,badge,4,0,"It's always a nice reminder to have, but on the other hand I as a patient would feel uncomforatble.  I would feel as if the doctor did not know what they were doing if they had to look at instructions. ",0:03,6297163318,2,2,3,3,2,0,3,1,26,0,2,0,2,0,7,0,0
239,xA,badge,3,0,It helps everyone. SOme have beliefs that wont let it happen,0:07,6297176623,4,4,3,3,1,1,3,1,37,1,3,0,3,0,11,0,0
257,xA,badge,2,1,"Because somethign slightly tedious will save lives, it is worth it.",0:02,6297199249,3,1,5,1,1,1,3,1,35,1,3,0,2,0,5,0,0
266,xA,badge,4,0,This method is useful to remind the doctor about safety precautions.,0:12,6297200998,5,3,1,5,1,1,2,0,26,0,3,0,1,0,13,0,0
273,xA,badge,2,1,"Doctors spend years learning who to treat patients, it seems strange to have a director tell a doctor how to best treat a patient.  Besides I think it might make the patient feel like the doctor needs a cheat sheet to complete a procedure.  This would make the patient question the doctor's abilities to properly treat them. ",0:06,6297203618,5,4,3,3,2,0,3,1,49,1,4,1,5,1,12,0,0
280,xA,badge,1,1,"I think putting extra emphasis on prevention is a good thing, it would give doctors something to reference so that steps donêt get skipped when they are busy.",0:02,6297209021,2,1,5,1,1,1,3,1,36,1,4,1,4,1,4,0,0
287,xA,badge,5,0,"I chose ""very appropriate"" because even the best doctors can use a reminder from time-to-time.  Something as insignificant as an ID badge in order to help prevent deadly infections is a giid use of resources.  Further the health and well-being of the patient should be paramount.",0:03,6297223834,4,2,5,1,1,1,3,1,34,1,4,1,4,1,7,0,0
308,xA,badge,5,0,"If it will drop the rate of patients getting infections from the plastic tube procedure, I am all in favor for.",0:02,6297278839,5,3,3,3,1,1,3,1,33,0,3,0,2,0,11,0,0
315,xA,badge,5,0,The instructions are explicit and are done to ensure the safety of the patient.,0:02,6297296031,4,4,4,2,1,1,5,0,34,1,4,1,3,0,10,0,0
324,xA,badge,5,0,It shows your Dr. is knowledgable about the side effects of this procedure.,0:02,6297334285,5,2,5,1,2,0,3,1,27,0,3,0,1,0,8,0,0
327,xA,badge,4,0,Let's you know that the Doctor is more aware and will be more conscious of his decision to place device.,0:03,6297339588,5,5,2,4,2,0,1,0,53,1,3,0,2,0,14,0,0
