pid,cond,condLabel,dv,dv_binary,FreeResponse,Duration,ResponseId,Sex,SexBinary1Male,Race/Ethnicity,RaceBinary1White,Age,AgeBinary1Old,Education,EducationBinary1Degree,Income,IncomeBinary1HighInc,RepeatTurkerLabelCode
8,xAB8,Charity,3,0,"Help is help, and I'm sure people could opt out of either option if they'd like. It could be an informative experiment with long-term benefits.",,R_2wdybicF1apuNhA,1,1,3,1,33,0,4,1,6,1,0
22,xAB8,Charity,4,0,"I think that it was somewhat appropriate because the people were all assigned at random. None of the people were put in an extremely harrowing situation as well.  Also, the director will allow for everyone to have a choice of which option they want to pursue a year after the test is complete.",,R_3lPJUb6Y4BGcF37,1,1,1,0,31,0,6,1,6,1,0
27,xAB8,Charity,4,0,It's appropriate because it helps those in a poor situation better themselves with a trade. ,,R_2Xb4h9DDSn6J8I4,2,0,3,1,29,0,4,1,1,0,0
31,xAB8,Charity,3,0,I have no idea what one has to do with the other.,,R_2aIRxbLR4LmOHcX,2,0,3,1,43,1,3,0,2,0,0
58,xAB8,Charity,4,0,"The choice is not ideal because depending on the outcome of the tests one half of the adults will be at a disadvantage. Those who receiving training immediately may quickly flood the market, or take available jobs leaving the untrained people in a worse situation. However I think the decision is still somewhat appropriate because at least half of the adults will be better off than before.",,R_11i1jd6NyB7Q2ny,1,1,2,0,22,0,4,1,2,0,0
73,xAB8,Charity,4,0,"It's important to research methods to escape poverty. While it's uncommon to practice this particular form of charity, it may be beneficial to see which helps more, a roof or training. Hopefully this test will help streamline charity donations in the future so that less is wasted.",,R_1OjloohaB4qWE9a,1,1,3,1,32,0,3,0,3,0,0
80,xAB8,Charity,4,0,"You can think you have the best possible solution to a problem but unless you do an A/B style experiment, how will you really know that you're providing the best that you can? So I think its important what this director is doing.",,R_XoeTQJ6wOzFNNL3,1,1,3,1,31,0,4,1,4,1,0
81,xAB8,Charity,2,1,"Despite how effective it is or isn't, it is more important for individuals to learn skills to help themselves.",,R_2AGuQFcCyecF04n,1,1,3,1,41,1,6,1,4,1,0
90,xAB8,Charity,4,0,This is actually a pretty well conceived idea - as to the point being made that basic necessities that are required for survival should be arguably provided or in some way have the resources implemented to the public in which can acquire the essential methods needed to survive.  ,,R_TctheB3NNmXSaK5,2,0,3,1,29,0,3,0,1,0,0
121,xAB8,Charity,4,0,I think It will give a good idea of the best option. I do worry about those without the good roof though. I think either will be helpful. I would let the individuals first come basis pick what group they wanted to be a part of. ,,R_b76WMRf7DETLITn,2,0,3,1,29,0,3,0,4,1,0
130,xAB8,Charity,4,0,"He is testing his idea first, before committing, and overall it will help a significant number of people",,R_1M3XEQYB26Q27il,1,1,3,1,49,1,4,1,5,1,0
137,xAB8,Charity,4,0,because it will help in two different ways,,R_cUPhs6SmlKPuUff,1,1,2,0,36,1,5,1,4,1,0
143,xAB8,Charity,2,1,"Although I don't really know if there's a statistical correlation or evidence of causation between one's roof and one's poverty level, it seems a little far-fetched, whereas free training in a trade could really help someone get out of poverty. If someone's roof is completely destroyed or very leaky, the roof thing could definitely be a good idea, but if someone simply has a few shingles missing or hasn't had their roof checked in a while, this idea is silly. Also, most people in poverty don't own their own homes, so the roof repairs would most likely benefit landlords instead of poor people - and, as we all know, many landlords are highly exploitative and take advantage of poorer tenants.",,R_BxKZQRMyPynWKD7,1,1,3,1,23,0,6,1,2,0,0
157,xAB8,Charity,2,1,The director seems to be running an experiment with people's lives.  They should instead try to incorporate both training and basic housing needs for all families into the solution.  ,,R_eRrQtYhkFra23o5,1,1,3,1,48,1,4,1,6,1,0
172,xAB8,Charity,4,0,"It is better to learn how to fish, than someone doing it for you.",,R_WuDRtUwJU5lAUKZ,1,1,2,0,31,0,3,0,2,0,0
182,xAB8,Charity,4,0,i agree with this statement because why just keep giving money away if it doesn't do any one any good in the long run.  ,,R_10vMqfnqrD52KXB,2,0,3,1,45,1,4,1,3,0,0
184,xAB8,Charity,3,0,"Not all people would be physically able to perform a trade. Also, one month of training would not be sufficient to master a trade and gain employment in that trade.",,R_3Occ9H1dwpqJcmP,1,1,3,1,31,0,6,1,3,0,0
