StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,xA1,xB1,xAB1,xA2,xB2,xAB2,xA3,xB3,xAB3,xA4,xB4,xAB4,xA5,xB5,xAB5,xA6,xB6,xAB6,xA7,xB7,xAB7,FreeResponse,PlantFood,GenesAnswer,Earth,Radioact,Lasers,Electrons,Continents,Gender,Antibiotics,degree,Degree_spec,God,Intuition,Science,Sex,Race/Ethnicity,Age,Education,Income,SC0,SC1
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,"Several drugs have been approved by the U.S. Food and Drug Administration as safe and effective for treating high blood pressure. Doctor Jones wants to provide good treatment to his patients, so he decides that his patients who need high blood pressure medication will be prescribed drug A. It is affordable and patients can tolerate its side effects.    

 

How appropriate is Doctor Jones's decision?","Several drugs have been approved by the U.S. Food and Drug Administration as safe and effective for treating high blood pressure. Doctor Jones wants to provide good treatment to his patients, so he decides that his patients who need high blood pressure medication will be prescribed drug B. It is affordable and patients can tolerate its side effects.  

How appropriate is Doctor Jones's decision?","Several drugs have been approved by the U.S. Food and Drug Administration as safe and effective for treating high blood pressure. Doctor Jones thinks of two different ways to provide good treatment to his patients, so he decides to run an experiment by randomly assigning his patients who need high blood pressure medication to one of two test conditions. Half of patients will be prescribed drug A, and the other half will be prescribed drug B. Both drugs are affordable and patients can tolerate their side effects. After a year, he will only prescribe to new patients whichever drug has had the best outcomes for his patients. 

 

How appropriate is Doctor Jones's decision?","Several drugs have been approved by the US. Food and Drug Administration as safe and effective for treating high blood pressure. Doctor Jones works in a multi-doctor walk-in clinic where patients see whichever doctor is available. Some doctors in the clinic prescribe drug A for high blood pressure, while others prescribe drug B. Both drugs are affordable and patients can tolerate their side effects. Doctor Jones wants to provide good treatment to his patients, so he decides that his patients who need high blood pressure medication will be prescribed drug A.        
How appropriate is Doctor Jones's decision?","Several drugs have been approved by the US. Food and Drug Administration as safe and effective for treating high blood pressure. Doctor Jones works in a multi-doctor walk-in clinic where patients see whichever doctor is available. Some doctors in the clinic prescribe drug A for high blood pressure, while others prescribe drug B. Both drugs are affordable and patients can tolerate their side effects. Doctor Jones wants to provide good treatment to his patients, so he decides that his patients who need high blood pressure medication will be prescribed drug B.        
How appropriate is Doctor Jones's decision?","Several drugs have been approved by the U.S. Food and Drug Administration as safe and effective for treating high blood pressure. Doctor Jones works in a multi-doctor walk-in clinic where patients see whichever doctor is available. Some doctors in the clinic prescribe drug A for high blood pressure, while others prescribe drug B. Both drugs are affordable and patients can tolerate their side effects. Doctor Jones thinks of two different ways to provide good treatment to his patients, so he decides to run an experiment by randomly assigning his patients who need high blood pressure medication to one of two test conditions. Half of patients will be prescribed drug A, and the other half will be prescribed drug B. After a year, he will only prescribe to new patients whichever drug has had the best outcomes for his patients. ​



 How appropriate is Doctor Jones's decision?","Most people in the U.S. save too little for retirement, causing them financial problems later in life. Company retirement plans are a good way to save, but too few employees choose to enroll in them. The CEO of a company wants to encourage newly hired employees to enroll in the company retirement savings plan, so he decides that he will increase the number of available investment funds from 10 to 15.

 

How appropriate is the CEO's decision?","Most people in the U.S. save too little for retirement, causing them financial problems later in life. Company retirement plans are a good way to save, but too few employees choose to enroll in them. The CEO of a company wants to encourage newly hired employees to enroll in the company retirement savings plan, so he decides that he will provide enrollment paperwork that highlights the most popular of the 10 investment funds the company offers.    

 

How appropriate is the CEO's decision?","Most people in the U.S. save too little for retirement, causing them financial problems later in life. Company retirement plans are a good way to save, but too few employees choose to enroll in them. The CEO of a company thinks of two different ways to encourage newly hired employees to enroll in the company retirement savings plan, so he decides to run an experiment by randomly assigning new hires to one of two test conditions. For half of new hires, he will provide enrollment paperwork that highlights the most popular of the 10 investment funds the company offers. For the other half of new hires, he will increase the number of available investment funds from 10 to 15. After a year, the CEO will adopt whichever practice turns out to lead the most employees to enroll in the company’s retirement program.     

 

How appropriate is the CEO's decision?","Research has shown that increasing teacher happiness and well-being can result in better student outcomes. The superintendent of a school district wants to improve how well his elementary school students do, so he decides that the school's teachers will receive a yearly bonus. 
How appropriate is the superintendent's decision?","Research has shown that increasing teacher happiness and well-being can result in better student outcomes. The superintendent of a school district wants to improve how well his elementary school students do, so he decides that the school's teachers will receive additional vacation days during summer and winter breaks. 
How appropriate is the superintendent's decision?","Research has shown that increasing teacher happiness and well-being can result in better student outcomes. The superintendent of a school district thinks of two different ways to improve how well his elementary school students do, so he decides to run an experiment by randomly assigning the school's teachers to one of two test conditions. Half of the school's teachers will receive a yearly bonus.  The other half will receive additional vacation days during summer and winter breaks. After a year, the superintendent will give all teachers whichever benefit turns out to result in better student outcomes.          

 

How appropriate is the superintendent's decision?","Last year, a charity received a large number of donations. The director of this charity wants to help people in a low-income country escape extreme poverty, so he decides that all adults below a certain income level will receive a sturdy roof for their home.
How appropriate is the director's decision?","Last year, a charity received a large number of donations. The director of this charity wants to help people in a low-income country escape extreme poverty, so he decides that all adults below a certain income level will receive one month of training in a trade of their choice. 
How appropriate is the director's decision?","Last year, a charity received a large number of donations. The director of this charity thinks of two different ways to help people in a low-income country escape extreme poverty, so he decides to run an experiment by randomly assigning people to one of two test conditions. Half of all adults below a certain income level will receive a sturdy roof for their home. The other half will receive one month of training in a trade of their choice. After a year, the director will begin providing everyone in the country whichever resource (roof or training) turns out to help more people escape extreme poverty.      

 

How appropriate is the director's decision?","A poor nation with a severe shortage of nurses and doctors is creating a new civil service position: Health Assistant. These Health Assistants will undergo one year of training, then become the first line of healthcare for people living in the most remote regions of the country. The nation’s congress wants to recruit the best people it can to become Health Assistants, so it decides to have recruitment posters made that emphasize the social benefits of becoming a Health Assistant, such as serving and being a leader in one’s community.

 

How appropriate is the congress's decision?","A poor nation with a severe shortage of nurses and doctors is creating a new civil service position: Health Assistant. These Health Assistants will undergo one year of training, then become the first line of healthcare for people living in the most remote regions of the country. The nation’s congress wants to recruit the best people it can to become Health Assistants, so it decides to have recruitment posters made that emphasize the career benefits of becoming a Health Assistant, such as opportunities for promotion and professional development.
How appropriate is the congress's decision?","A poor nation with a severe shortage of nurses and doctors is creating a new civil service position: Health Assistant. These Health Assistants will undergo one year of training, then become the first line of healthcare for people living in the most remote regions of the country. The nation’s congress thinks of two different ways to recruit the best people it can to become Health Assistants, so it decides to run an experiment by randomly assigning the nation’s districts to one of two test conditions. For half of the districts, the congress will have recruitment posters made that emphasize the social benefits of becoming a Health Assistant, such as serving and being a leader in one’s community. For the other half, it will have recruitment posters made that emphasize the career benefits of becoming a Health Assistant, such as opportunities for promotion and professional development. After a year, the congress will have all districts in the nation use whichever kind of poster drew the highest-quality job applicants.   

 

How appropriate is the congress's decision?","The congress of a small country wants to provide support for citizens who are unable to find work, while also encouraging those citizens to find and take on jobs. To do this, the congress decides on a plan. All citizens who have been out of work for at least 12 months will receive the equivalent of $1000 per month for 6 months, or until they find a job, whichever comes first. To be eligible for these payments, unemployed citizens must attend monthly job fairs run by the government.
How appropriate is the congress's decision?","The congress of a small country wants to provide support for citizens who are unable to find work, while also encouraging those citizens to find and take on jobs. To do this, the congress decides on a plan. All citizens who have been out of work for at least 12 months will receive the equivalent of $500 per month for 6 months, even if they find a job during that time. To be eligible for these payments, unemployed citizens must attend monthly job fairs run by the government.
How appropriate is the congress's decision?","The congress of a small country wants to provide support for citizens who are unable to find work, while also encouraging those citizens to find and take on jobs. The congress thinks of two different ways to do this, so it decides to run an experiment by randomly assigning citizens to one of two test conditions. Half of citizens who have been out of work for at least 12 months will receive the equivalent of $1000 per month for 6 months, or until they find a job, whichever comes first. The other half will receive the equivalent of $500 per month for 6 months, even if they find a job during that time. To be eligible for either of these payments, unemployed citizens must attend monthly job fairs run by the government. After a year, the congress will provide to all citizens who have been unemployed for at least 12 months whichever benefit system turns out to lead to lower unemployment among those who receive it.

 

How appropriate is the congress's decision?","In a couple of sentences, please tell us why you chose the option you chose.","Two scientists want to know if a certain new plant food will increase plant growth. The first scientist wants to give the new food to 1,000 plants and see how many of them grow larger than they were before they received the new food. The second scientist wants to give the new food to 500 plants and give the normal, standard food to another 500 plants, and see whether the plants in the first group grow more than the plants in the second group. 
 

 Which is the better way to test this plant food?","Does this mean that if their first child has the illness, the next three will not?",The center of the Earth is very hot.,All radioactivity is man-made.,Lasers work by focusing sound waves.,Electrons are smaller than atoms.,The continents have been moving their location for millions of years and will continue to move.,It is the father’s gene that decides whether the baby is a boy or a girl.,Antibiotics kill viruses as well as bacteria.,Do you have a college or graduate school degree in any science or engineering field?,"If you answered 'yes' to the question above, please enter the specific science or engineering field below.",God or some type of nonhuman entity is in control of the events in the universe.,"We believe too often in science, and not enough in feelings and faith.",Knowledge can best be obtained through scientific research.,What is your sex?,What race/ethnicity do you consider yourself? Check all that apply.,What is your age (in years)?,What is the highest level of education you have received?,What is the total annual income from everyone in your household?,SciLit,Intuition
"{""ImportId"":""startDate"",""timeZone"":""America/New_York""}","{""ImportId"":""endDate"",""timeZone"":""America/New_York""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/New_York""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID5""}","{""ImportId"":""QID6""}","{""ImportId"":""QID2""}","{""ImportId"":""QID9""}","{""ImportId"":""QID10""}","{""ImportId"":""QID8""}","{""ImportId"":""QID15""}","{""ImportId"":""QID14""}","{""ImportId"":""QID12""}","{""ImportId"":""QID18""}","{""ImportId"":""QID20""}","{""ImportId"":""QID17""}","{""ImportId"":""QID23""}","{""ImportId"":""QID24""}","{""ImportId"":""QID22""}","{""ImportId"":""QID27""}","{""ImportId"":""QID28""}","{""ImportId"":""QID26""}","{""ImportId"":""QID30""}","{""ImportId"":""QID31""}","{""ImportId"":""QID29""}","{""ImportId"":""QID37_TEXT""}","{""ImportId"":""QID48""}","{""ImportId"":""QID50""}","{""ImportId"":""QID39""}","{""ImportId"":""QID40""}","{""ImportId"":""QID41""}","{""ImportId"":""QID42""}","{""ImportId"":""QID43""}","{""ImportId"":""QID44""}","{""ImportId"":""QID45""}","{""ImportId"":""QID46""}","{""ImportId"":""QID47_TEXT""}","{""ImportId"":""QID52""}","{""ImportId"":""QID53""}","{""ImportId"":""QID54""}","{""ImportId"":""QID55""}","{""ImportId"":""QID56""}","{""ImportId"":""QID57_TEXT""}","{""ImportId"":""QID58""}","{""ImportId"":""QID59""}","{""ImportId"":""SC_7UiEfwCO4A225AV""}","{""ImportId"":""SC_8BsUFhNtesSW8e1""}"
2017-10-27 13:18:24,2017-10-27 13:20:43,0,67.171.236.110,100,139,1,2017-10-27 13:20:44,R_214W5A5mMdOtsXL,,,,,45.671295166016,-122.66040039062,anonymous,EN,,,,,,,,,,,,,4,,,,,,,,,"Perhaps they don't need a new roof? What if they rent and don't own? Are they still able to receive services? ",2,1,1,2,2,2,1,1,1,2,,1,1,5,2,3,32,3,5,7,3
2017-10-27 13:18:23,2017-10-27 13:20:58,0,170.185.61.17,100,154,1,2017-10-27 13:20:58,R_1OV1E344htK9xMJ,,,,,37.968505859375,-84.146003723145,anonymous,EN,,,2,,,,,,,,,,,,,,,,,,,"He is using FDA-approved medicines, which is good.  However, in a year, he will decide which to give someone, whether or not they might respond better to another medicine.",2,1,1,2,2,1,1,1,2,2,,5,4,4,1,3,43,6,6,9,11
2017-10-27 13:17:58,2017-10-27 13:21:00,0,97.98.36.58,100,182,1,2017-10-27 13:21:01,R_1BYoeEgpLCug2xD,,,,,28.473098754883,-97.707099914551,anonymous,EN,,4,,,,,,,,,,,,,,,,,,,,I feel that it is somewhat appropriate since he is recommending a product that is affordable for most of his patients and doesn't have that many side effects. I don't feel that it is very appropriate since he isn't recommending other medications as well.,2,1,1,2,2,1,1,1,2,1,Mathematics and biology.,1,1,5,1,3,23,4,2,9,3
2017-10-27 13:18:44,2017-10-27 13:21:18,0,141.238.237.228,100,154,1,2017-10-27 13:21:19,R_1NfABPj8EUE4gvc,,,,,42.408004760742,-79.324096679688,anonymous,EN,,,,,,,,5,,,,,,,,,,,,,,"He is giving his workers the tools to save. If the company offers it, there is nothing wrong with publicizing it to the workers.",2,1,1,2,1,1,1,2,1,2,,3,2,4,1,3,21,4,6,6,7
2017-10-27 13:19:18,2017-10-27 13:21:29,0,99.194.122.68,100,130,1,2017-10-27 13:21:29,R_2zl5kXZDGmXOku0,,,,,31.858093261719,-81.585403442383,anonymous,EN,,,,,,,,,,,,,,,,5,,,,,,"Because they are doing what they can to help people. With such a low amount of people as is, this will add to the people to help others ",2,1,1,2,1,2,1,1,2,2,,5,5,1,2,3,24,3,2,7,15
2017-10-27 13:19:17,2017-10-27 13:21:55,0,174.223.136.176,100,158,1,2017-10-27 13:21:55,R_3PRYGLx586srQTy,,,,,32.544296264648,-84.920799255371,anonymous,EN,,,,,,,,,,,,,,5,,,,,,,,"Rather than just giving money as a temporary solution, the funds are being invested in the skills of the adults so that they can provide more for their country and families.  This isn't a quick fix, but it's a more efficient one.",2,1,1,2,2,1,1,1,2,1,Computer Science,4,2,5,1,3,33,4,6,9,7
2017-10-27 13:19:32,2017-10-27 13:22:13,0,74.130.247.69,100,160,1,2017-10-27 13:22:13,R_wSjPNTPPHgVcFy1,,,,,37.094100952148,-86.428596496582,anonymous,EN,,,,,,,,,,,,,,,,,,4,,,,It seems like it would be very beneficial for the country's citizens.,2,1,1,2,2,1,1,1,2,2,,3,2,4,1,3,27,5,2,9,7
2017-10-27 13:18:26,2017-10-27 13:22:19,0,68.204.51.74,100,233,1,2017-10-27 13:22:20,R_UtMLFtSpy9tWe0V,,,,,28.604995727539,-80.883796691895,anonymous,EN,,,,,,,,,,,2,,,,,,,,,,,Giving teachers extra time off will do nothing to help the students do a better job. He should have thought of ways to provide in-service that gave teachers better skills so they were better teachers.,1,1,1,2,1,1,1,1,2,2,na,3,3,4,1,3,72,4,3,7,8
