pid,cond,condLabel,dv,dv_binary,FreeResponse,Duration,ResponseId,Sex,SexBinary1Male,Race/Ethnicity,RaceBinary1White,Age,AgeBinary1Old,Education,EducationBinary1Degree,Income,IncomeBinary1HighInc,MarkedForExclusion,whoMarked,repeat_pollfish,reversal_pollfish,misunderstand_pollfish,nonsense_pollfish,pole_pollfish,poleOrderPollfish,Misunderstand,IrrelUnclearOther
0,xA,Drug.A,5,0,Because it seems like he would do what's in his patients best interest,23,-1711551790,female,0,white,1,34,1,vocational_technical_college,0,lower_i,0,0,SA&WC,0,0,0,0,reverse,HiToLo,,
1,xA,Drug.A,5,0,It seems like dr. Jones cares about his patients with high blood pressure and the treatment they receive for it.,26,-200162575,female,0,latino,0,34,1,postgraduate,1,middle_i,0,0,SA&WC,0,0,0,0,reverse,HiToLo,,
2,xA,Drug.A,4,0,it might be effective. if it’s approved,40,150165022,female,0,asian,0,31,0,university,1,lower_ii,0,0,SA&WC,0,0,0,0,reverse,HiToLo,,
3,xA,Drug.A,4,0,It sounds like bother medications are simular so it doesn't matter which is given. It is dr. Choice if he wants to use a he will because a and b are almost or are identical.,78,-1841783706,female,0,white,1,44,1,university,1,lower_ii,0,0,SA&WC,0,0,0,0,reverse,HiToLo,,
4,xA,Drug.A,5,0,Because more medicines need to be approved for the Americans.,26,581819893,male,1,white,1,32,0,university,1,high_i,1,0,SA&WC,0,0,0,0,reverse,HiToLo,,
5,xA,Drug.A,5,0,He is trying to provide thw best care he can. It sounds like both drugs are equally effective and safe.,32,-401101727,female,0,white,1,43,1,university,1,high_i,1,0,SA&WC,0,0,0,0,reverse,HiToLo,,
6,xA,Drug.A,2,1,Cdtko bc d sch have fg jdc I don't now i am praying i love it,14,825373983,female,0,white,1,34,1,high_school,0,prefer_not_to_say,,1,SA&WC,0,0,0,1,reverse,HiToLo,,
7,xA,Drug.A,5,0,He has the right to say what he wants and how he feels. No one should tell him what he should and shouldn’t say,29,-1306359931,female,0,white,1,25,0,vocational_technical_college,0,lower_ii,0,1,SA&WC,0,0,1,0,reverse,HiToLo,,
8,xA,Drug.A,5,0,Important,29,-1268173348,male,1,arab,0,48,1,postgraduate,1,prefer_not_to_say,,0,SA&WC,0,0,0,0,reverse,HiToLo,,
9,xA,Drug.A,5,0,I chose the the option I chose because if it’s a approved that mean it’s appropriate,44,-1962509191,male,1,black,0,20,0,university,1,lower_i,0,0,SA&WC,0,0,0,0,reverse,HiToLo,,
10,xA,Drug.A,3,0,Na,5,2111303223,male,1,hispanic,0,33,0,high_school,0,lower_ii,0,1,SA&WC,0,0,0,1,reverse,HiToLo,,
11,xA,Drug.A,5,0,Because it sounds like me,18,1455637329,female,0,white,1,18,0,high_school,0,lower_i,0,0,SA&WC,0,0,0,0,reverse,HiToLo,,
12,xA,Drug.A,5,0,Excited,5,-2102955237,female,0,white,1,32,0,high_school,0,lower_i,0,1,SA&WC,0,0,0,1,reverse,HiToLo,,
13,xA,Drug.A,1,1,Because we keep that shit  close,27,227899559,male,1,arab,0,36,1,postgraduate,1,high_ii,1,1,SA&WC,0,0,0,1,reverse,HiToLo,,
14,xA,Drug.A,4,0,Because both drugs are affordable and minimal side effect. Dr. Jones has a choice if he thinks he’s providing the best service,76,-875716684,male,1,black,0,42,1,vocational_technical_college,0,middle_i,0,0,SA&WC,0,0,0,0,reverse,HiToLo,,
