StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,xA1,xB1,xA2,xB2,xA3,xB3,xA4,xB4,xA5,xB5,xA6,xB6,free_response
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,"Self-driving cars, which are currently being developed by several companies, are programmed to control all aspects of driving without any human involvement. However, there are a number of difficult problems in programming self-driving cars. For instance, cars in heavy traffic face significant danger at yellow traffic lights. The director of software engineering at a company developing self-driving cars wants to reduce accidents at yellow lights, and he thinks of a way to do this. He decides that in order to reduce collisions in heavy traffic, all of the company’s cars will be programmed to match the accelerating or braking behavior of nearby cars when they are close to a traffic light as it turns yellow.

 

How appropriate is the director's decision?","Self-driving cars, which are currently being developed by several companies, are programmed to control all aspects of driving without any human involvement. However, there are a number of difficult problems in programming self-driving cars. For instance, cars in heavy traffic face significant danger at yellow traffic lights. The director of software engineering at a company developing self-driving cars wants to reduce accidents at yellow lights, and he thinks of a way to do this. He decides that in order to reduce collisions in heavy traffic, all of the company’s cars will be programmed to brake when they are close to a traffic light as it turns yellow.

 

How appropriate is the director's decision?","Customers who sign up for an online dating service are matched with each other based on their answers to questions about their tastes and habits. The system is set up to only allow customers to contact people who are recommended as a match. The CEO of the dating service wants to improve customer satisfaction by introducing a new way to match people together. He thinks of a way to do this. So, he decides to program his website to report users are a match when they are very similar to each other, based on the questions they answered.

 

How appropriate is the CEO's decision?","Customers who sign up for an online dating service are matched with each other based on their answers to questions about their tastes and habits. The system is set up to only allow customers to contact people who are recommended as a match. The CEO of the dating service wants to improve customer satisfaction by introducing a new way to match people together. He thinks of a way to do this. So, he decides to program his website to report users are a match when they are somewhat similar (but not TOO similar) to each other, based on the questions they answered.

 

How appropriate is the CEO's decision?","People sometimes get genetically tested to learn more about their ancestry. However, genetic testing can also reveal important health risks that people wouldn’t otherwise learn they have. The research director at a popular genetic testing company wants to help customers learn more about their health risks, but the company’s testing system only collects enough genetic material to run one health-related test. So, the research director decides that in addition to testing for ancestry, the company will also test customers for their risk of developing certain kinds of cancer later in life. Customers will have the option of viewing these results or not.

 

How appropriate is the director's decision?","People sometimes get genetically tested to learn more about their ancestry. However, genetic testing can also reveal important health risks that people wouldn’t otherwise learn they have. The research director at a popular genetic testing company wants to help customers learn more about their health risks, but the company’s testing system only collects enough genetic material to run one health-related test. So, the research director decides that in addition to testing for ancestry, the company will also test customers for their risk of developing dementia later in life. Customers will have the option of viewing these results or not.

 


How appropriate is the director's decision?","Some genetic mutations lead to health conditions that can make a person sick, or even cause them to die. Many of these health conditions can be prevented or slowed by taking certain steps once a person knows they have the genetic mutation, but others cannot. A certain genetic testing company currently only returns “genealogy” results, about customers’ family tree and national origin, but the CEO wants to help as many people as he can. So, he decides that he will offer all of his clients the option to see if they have any genetic risks for health conditions that can be prevented or reduced. Customers will have the option of viewing these results or not.

 


How appropriate is the CEO's decision?","Some genetic mutations lead to health conditions that can make a person sick, or even cause them to die. Many of these health conditions can be prevented or slowed by taking certain steps once a person knows they have the genetic mutation, but others cannot. A certain genetic testing company currently only returns “genealogy” results, about customers’ family tree and national origin, but the CEO wants to help as many people as he can. So, he decides that he will offer all of his clients the option to see if they have any genetic risks for health conditions, whether or not these health conditions can be prevented or reduced. Customers will have the option of viewing these results or not.

 


How appropriate is the CEO's decision?","Many people like the idea of completely self-driving cars, which are capable of navigating the road without input from a human driver. These kinds of cars can make people’s lives easier and reduce accidents, but some of them prevent people from taking control of their car in the case of an emergency. The CEO of a company developing self-driving cars wants people to have as much freedom as possible on the road, while also remaining safe. So, he decides that all of the company’s cars will have a lever that allows drivers to switch between self-driving and human-driving modes.

 


How appropriate is the CEO's decision?","Many people like the idea of completely self-driving cars, which are capable of navigating the road without input from a human driver. These kinds of cars can make people’s lives easier and reduce accidents, but some of them prevent people from taking control of their car in the case of an emergency. The CEO of a company developing self-driving cars wants people to have as much freedom as possible on the road, while also remaining safe. So, he decides that any use of the brakes, gas pedal, or steering wheel by a human driver will automatically override self-driving mode on the company’s cars.

 


How appropriate is the CEO's decision?","The founders of a new dating app are deciding how to suggest potential matches to its users. All users are able to view every other user’s profile and message him or her, but every day the app suggests to each user one new “match,” or person that he or she might like. The founders come up with a computer program for generating these matches. They decide that match suggestions will be based on the number of friends and friends-of-friends that users have in common on Facebook.


 

How appropriate is the founders' decision?","The founders of a new dating app are deciding how to suggest potential matches to its users. All users are able to view every other user’s profile and message him or her, but every day the app suggests to each user one new “match,” or person that he or she might like. The founders come up with a computer program for generating these matches. They decide that match suggestions will be based on the percentage of “profile questions” that users answer in the same way.


 

How appropriate is the founders' decision?","In a couple of sentences, please tell us why you chose the option you chose."
"{""ImportId"":""startDate"",""timeZone"":""America/New_York""}","{""ImportId"":""endDate"",""timeZone"":""America/New_York""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/New_York""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID12""}","{""ImportId"":""QID35""}","{""ImportId"":""QID36""}","{""ImportId"":""QID13""}","{""ImportId"":""QID14""}","{""ImportId"":""QID15""}","{""ImportId"":""QID37""}","{""ImportId"":""QID38""}","{""ImportId"":""QID39""}","{""ImportId"":""QID40""}","{""ImportId"":""QID41""}","{""ImportId"":""QID42""}","{""ImportId"":""QID8_TEXT""}"
2017-09-20 13:54:05,2017-09-20 13:55:17,0,99.115.9.147,100,71,1,2017-09-20 13:55:17,R_1BQTEYuLX1DHTjp,,,,,35.533096313477,-97.770698547363,anonymous,EN,,,,,,,,,,5,,,I think that any of those actions should override the self driving feature.
2017-09-20 13:54:52,2017-09-20 13:55:34,0,73.107.79.36,100,41,1,2017-09-20 13:55:34,R_1rvpwLt1QBTxz3w,,,,,26.629196166992,-81.943199157715,anonymous,EN,,,,,,,,,,,,3,its a good a guess as any
2017-09-20 13:55:01,2017-09-20 13:55:34,0,24.252.29.188,100,32,1,2017-09-20 13:55:34,R_2VszFVYGNUOFPxv,,,,,41.234893798828,-96.049003601074,anonymous,EN,,,,,,,,,,,4,,"I think its a fair thing to do, many people get along with mutual friends and its not unheard of to use this method."
2017-09-20 13:54:40,2017-09-20 13:55:35,0,75.78.166.10,100,55,1,2017-09-20 13:55:36,R_1GP52Nnabb4zNue,,,,,41.20849609375,-96.193901062012,anonymous,EN,,,,,,,,,,,,5,It is a non-biased way to show people others that are like minded
2017-09-20 13:54:38,2017-09-20 13:55:43,0,68.50.26.34,100,64,1,2017-09-20 13:55:43,R_114sNTrpzS3dcYX,,,,,39.249496459961,-86.561698913574,anonymous,EN,,,,,4,,,,,,,,"I think this would be an appropriate service. Since customers can choose whether or not they want to see the results, I think it's fine."
2017-09-20 13:54:13,2017-09-20 13:56:09,0,96.36.30.98,100,115,1,2017-09-20 13:56:09,R_1PUxN9dIpY6JF1c,,,,,45.544204711914,-84.991500854492,anonymous,EN,4,,,,,,,,,,,,"I think having the vehicle measure the length / average length of the yellow lights and making a judgement on timing is a better option. I think that if someone is driving like a jerk, and it matches them, all taht would do is create unsafe conditions. "
2017-09-20 13:55:26,2017-09-20 13:56:39,0,152.130.7.65,100,73,1,2017-09-20 13:56:39,R_2OZtbZQX4PsLiJg,,,,,37.496002197266,-77.471199035645,anonymous,EN,2,,,,,,,,,,,,People might be doing the wrong thing and there the self-driving car would also be taking the wrong action.
2017-09-20 13:55:23,2017-09-20 13:56:41,0,66.196.26.83,100,78,1,2017-09-20 13:56:41,R_bsaTc02SICpzQbv,,,,,31.044998168945,-97.508697509766,anonymous,EN,,,,4,,,,,,,,,Sometimes it seems opposite attract.  It would be good not to be so similar.
2017-09-20 13:56:11,2017-09-20 13:56:44,0,73.34.138.114,100,33,1,2017-09-20 13:56:45,R_23em2gQyaW2oPxH,,,,,38.958404541016,-104.75730133057,anonymous,EN,,,,,,,,,5,,,,I think that they should have that option in case of malfunction.
2017-09-20 13:56:15,2017-09-20 13:57:27,0,174.47.173.234,100,72,1,2017-09-20 13:57:27,R_2V8gv5JyVeUgiu5,,,,,30.137496948242,-93.452903747559,anonymous,EN,,,4,,,,,,,,,,"I don't see why this is harmless. If you match up with someone with very similar tastes as you, I believe you should be happy. This is what the customer signed up for, anyway."
2017-09-20 13:57:02,2017-09-20 13:58:28,0,75.99.158.2,100,85,1,2017-09-20 13:58:28,R_3LifE4CHppZhKUY,,,,,40.916793823242,-74.637001037598,anonymous,EN,,,,,,5,,,,,,,It's an extra test that if anything is detected can go a long way in helping patients live a better life.  By knowing as early as possible. early treatment can help alleviate issues down the line
2017-09-20 13:57:40,2017-09-20 13:58:42,0,198.199.190.140,100,61,1,2017-09-20 13:58:42,R_1qgGReJuNyqGimd,,,,,39.83219909668,-94.834396362305,anonymous,EN,,,,,,,4,,,,,,I believe it's the right thing to do.
2017-09-20 13:56:14,2017-09-20 13:58:53,0,73.75.247.123,100,159,1,2017-09-20 13:58:53,R_3CP0rGSOS4OrCFX,,,,,41.604507446289,-87.995597839355,anonymous,EN,,,4,,,,,,,,,,It will help people get along easier. There will be a higher chance for people to get to know each other if they start out with things in common.
2017-09-20 13:58:59,2017-09-20 13:59:12,0,196.52.2.15,100,12,1,2017-09-20 13:59:12,R_1jjO4BDIrmo7fCw,,,,,40.714294433594,-74.005996704102,anonymous,EN,,,,,,,,,3,,,,it felt right to me
2017-09-20 13:59:19,2017-09-20 13:59:41,0,165.155.208.112,100,21,1,2017-09-20 13:59:41,R_1cZxUnunkhUHV7t,,,,,40.664306640625,-73.915000915527,anonymous,EN,,,,,,,,4,,,,,to be honest i just choose this at random
2017-09-20 13:58:47,2017-09-20 13:59:54,0,68.81.42.79,100,67,1,2017-09-20 13:59:55,R_3n6hPBrUZVtkLwc,,,,,40.270095825195,-75.403999328613,anonymous,EN,,,,,,,,,,5,,,This allows the most options in driving. It allows the human to take control in an emergency.
2017-09-20 13:58:54,2017-09-20 14:00:02,0,67.183.9.80,100,67,1,2017-09-20 14:00:03,R_2aM6arWa4g8crFb,,,,,48.043106079102,-122.05899810791,anonymous,EN,,,,,,5,,,,,,,The people don't have to know they're at risk so it's up to them whether they want to find out or not.
2017-09-20 13:59:21,2017-09-20 14:00:19,0,207.172.243.253,100,58,1,2017-09-20 14:00:19,R_UF7gdSFwvJa4YnL,,,,,40.71369934082,-75.479301452637,anonymous,EN,,,,4,,,,,,,,,i dont see an issue tweaking the product like this
2017-09-20 14:00:25,2017-09-20 14:01:08,0,172.250.198.208,100,43,1,2017-09-20 14:01:09,R_3QMkUbM7Ojjnay1,,,,,33.745803833008,-117.82620239258,anonymous,EN,,,,,,,4,,,,,,People might want to know that information from a new source.  If it is optional then it is not required.
2017-09-20 14:00:29,2017-09-20 14:01:21,0,108.221.146.235,100,51,1,2017-09-20 14:01:21,R_9M0OX7XO3pL6RgZ,,,,,32.852401733398,-97.28800201416,anonymous,EN,,,,,,,,,,,5,,"I chose very appropriate, because a lot of the time the best relationships come from people already in your inner-circle in my opinion."
2017-09-20 14:00:24,2017-09-20 14:01:44,0,24.216.114.235,100,79,1,2017-09-20 14:01:44,R_pmweJeU3KcEjdvP,,,,,38.503204345703,-89.149696350098,anonymous,EN,,,,,,,4,,,,,,I think he is doing it to be good and I don't see any problem with it.
2017-09-20 14:00:16,2017-09-20 14:01:50,0,69.14.189.85,100,94,1,2017-09-20 14:01:50,R_1P0FcSwkdE8EjNl,,,,,39.99299621582,-82.998497009277,anonymous,EN,1,,,,,,,,,,,,"Many people accelerate to blow through yellow lights instead of stopping in anticipation of the red light.  I don't think the cars should match what other people are doing on the road, because other people don't always make the best decisions."
2017-09-20 14:00:50,2017-09-20 14:02:13,0,74.136.136.18,100,82,1,2017-09-20 14:02:13,R_3JI8jVcrh5ZDmRa,,,,,38.015899658203,-84.484703063965,anonymous,EN,,,,,,,,,5,,,,I think that it is always best to have a way to override a machine if possible. This decision would allow a human to correct an error that the car is trying to perform.
2017-09-20 14:01:54,2017-09-20 14:02:42,0,174.58.168.139,100,48,1,2017-09-20 14:02:43,R_3oZVh7IlsK4zVDd,,,,,39.049499511719,-94.408996582031,anonymous,EN,,,5,,,,,,,,,,I feel like letting people match on how they are similar is a good thing. I think this will allow for more people who have a lot in common to match and find connections.
2017-09-20 13:54:50,2017-09-20 14:02:45,0,156.12.7.171,100,474,1,2017-09-20 14:02:46,R_2anT9hSjdWUUKtI,,,,,40.537796020508,-75.781196594238,anonymous,EN,,,,,2,,,,,,,,"In my opinion, this genetic stuff is ""playing god"" and shouldn't be allowed so it's inappropriate in my eyes, but I can't choose for people."
2017-09-20 14:00:54,2017-09-20 14:02:50,0,98.212.85.185,100,115,1,2017-09-20 14:02:50,R_3ek4hBJT0E4WurE,,,,,40.14030456543,-88.031700134277,anonymous,EN,,,,,,,,5,,,,,"As long as the customer has a choice in the matter, I do not object at all."
2017-09-20 14:02:01,2017-09-20 14:03:27,0,174.140.166.51,100,85,1,2017-09-20 14:03:27,R_1dvusxjMmswyoFu,,,,,45.517105102539,-122.68019866943,anonymous,EN,,5,,,,,,,,,,,"because it is appropriate to the situation "
2017-09-20 14:00:26,2017-09-20 14:03:54,0,24.162.67.239,100,208,1,2017-09-20 14:03:54,R_3mmKDlvA0q3gwqf,,,,,32.879592895508,-96.704299926758,anonymous,EN,,5,,,,,,,,,,,I think that is a great idea to program the self-driving cars to put on the brakes when they are approaching a yellow light. It seems like this would be a great way of not crashing into the car in front of you.
2017-09-20 14:02:28,2017-09-20 14:04:09,0,172.58.153.15,100,100,1,2017-09-20 14:04:09,R_9ZbLfZRd8s3aXLz,,,,,35.227096557617,-80.843101501465,anonymous,EN,,,,,,,,,,,,4,It seems like the best way to get real matches.
2017-09-20 14:02:29,2017-09-20 14:04:14,0,97.41.134.206,100,105,1,2017-09-20 14:04:14,R_2fxNWB6eh5QTo2m,,,,,37.751007080078,-97.821998596191,anonymous,EN,,,,4,,,,,,,,,"I don't see anything inappropriate with it. It sounds like a good change to increase customer satisfaction. "
2017-09-20 14:03:45,2017-09-20 14:04:24,0,67.160.171.228,100,38,1,2017-09-20 14:04:24,R_UbcGba6KSzpdmvL,,,,,45.64469909668,-122.62979888916,anonymous,EN,,,,,4,,,,,,,,"If they know something about a person they should share it, only if asked, though."
2017-09-20 14:03:46,2017-09-20 14:04:28,0,71.176.109.214,100,42,1,2017-09-20 14:04:28,R_3psdmnYQIQoui63,,,,,43.123992919922,-76.132598876953,anonymous,EN,,,,,,,,,,5,,,It would make me feel safer to know that I could override the car if necessary
2017-09-20 14:03:49,2017-09-20 14:04:36,0,104.136.205.45,100,47,1,2017-09-20 14:04:37,R_1Pc7H7kbenwgQg3,,,,,27.900299072266,-82.302398681641,anonymous,EN,,,,,3,,,,,,,,"I personally would not want to find out about these genetic markers because I feel that it fosters fear, but other people might want to know. "
2017-09-20 14:03:15,2017-09-20 14:05:10,0,170.185.179.17,100,114,1,2017-09-20 14:05:10,R_zUPtvH6OPOjPkwF,,,,,37.015396118164,-88.580497741699,anonymous,EN,,,,,,4,,,,,,,"With medical advances in current times, it is important for people to have as much information as possible regarding their health. By allowing customers access, he is giving them options for their future care."
2017-09-20 14:03:01,2017-09-20 14:05:26,0,47.33.193.124,100,144,1,2017-09-20 14:05:26,R_1Q6J9jbzLvtfBdb,,,,,43.044296264648,-83.519203186035,anonymous,EN,,,,,,,,,,,3,,"Well, I think it's a bad idea, for one. But I wouldn't call it either appropriate or inappropriate as much as I would call it stupid."
2017-09-20 14:03:20,2017-09-20 14:05:59,0,74.110.180.119,100,159,1,2017-09-20 14:06:00,R_2Pwnr29JviUkHt3,,,,,37.442596435547,-77.671997070312,anonymous,EN,4,,,,,,,,,,,,"It can be hard to predict what other drivers are going to do, and it would most likely cause the fewest traffic accidents if the self-driving car followed the flow of traffic rather than always speeding up or stopping. As more self-driving cars enter the market, though, it might be better to have a set solution so all the self-driving cars do the same thing rather than trying to watch each other and not being able to come to a conclusion about what they should do."
2017-09-20 14:05:04,2017-09-20 14:06:11,0,184.23.190.86,100,67,1,2017-09-20 14:06:12,R_3EMyk6qbASgFGop,,,,,37.830902099609,-122.21960449219,anonymous,EN,,,,,,5,,,,,,,"An early warning for something life altering as dementia is always appreciated no matter the circumstances. It prepares the individual and family for its potential eventuality and mitigation. "
2017-09-20 14:05:21,2017-09-20 14:06:40,0,173.27.16.81,100,78,1,2017-09-20 14:06:41,R_R808nccSilZobKh,,,,,41.57780456543,-90.531898498535,anonymous,EN,,,,,,,,4,,,,,The offer is free and is being offered which means you have a choice in saying if you want the testing done.
2017-09-20 14:06:59,2017-09-20 14:07:36,0,66.66.153.4,100,37,1,2017-09-20 14:07:37,R_1n8je8wezkKK3Bd,,,,,43.179000854492,-77.555000305176,anonymous,EN,5,,,,,,,,,,,,"It is a safe options that reduces the odds of an accident.  "
2017-09-20 14:04:39,2017-09-20 14:07:58,0,24.193.215.150,100,198,1,2017-09-20 14:07:59,R_wXJVlTHv4DVt3VL,,,,,41.537994384766,-74.284599304199,anonymous,EN,,,,,,,,,,,2,,"It just seems very closed-off in the sense that the person most likely won't want to meet people through a dating app that he or she has so many mutual friends with or friends-of-friends with. A dating app is supposed to, in my opinion, lead to you meeting new people that aren't related in any way to your social circle. People might be reluctant to use it if they're only going to be matched with someone based on the number of friends and friends-of-friends that they share on Facebook. In addition, one match a day is too little. "
2017-09-20 14:07:19,2017-09-20 14:08:06,0,73.239.150.92,100,46,1,2017-09-20 14:08:06,R_2xJMPzmpBJU93pb,,,,,47.127807617188,-122.25340270996,anonymous,EN,,,,,,,,,,,,5,"I feel like that is a good way to ""match"" up users with one another. Chemistry and compatibility are important. "
