StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,xA1,xB1,xAB1,xA2,xB2,xAB2,xA3,xB3,xAB3,xA4,xB4,xAB4,free_response
Start Date,End Date,Response Type,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Distribution Channel,User Language,"Customers who sign up for an online dating service are matched with each other based on their answers to questions about their tastes and habits. The system is set up to only allow customers to contact people who are recommended as a match. The CEO of the dating service wants to improve customer satisfaction by introducing a new way to match people together. He thinks of a way to do this. So, he decides to program his website to report users are a match when they are very similar to each other, based on the questions they answered.

 

How appropriate is the CEO's decision?","Customers who sign up for an online dating service are matched with each other based on their answers to questions about their tastes and habits. The system is set up to only allow customers to contact people who are recommended as a match. The CEO of the dating service wants to improve customer satisfaction by introducing a new way to match people together. He thinks of a way to do this. So, he decides to program his website to report users are a match when they are somewhat similar (but not TOO similar) to each other, based on the questions they answered.

 

How appropriate is the CEO's decision?","Customers who sign up for an online dating service are matched with each other based on their answers to questions about their tastes and habits. The system is set up to only allow customers to contact people who are recommended as a match. The CEO of the dating service wants to improve customer satisfaction by introducing a new way to match people together. He thinks of two ways to do this. So, he decides to run an experiment by randomly assigning customers to one of two test conditions. For half of customers, his website will report users are a match when they are very similar to each other, based on the questions they answered. For the other half, his website will report users are a match when they are somewhat similar (but not TOO similar) to each other, based on the questions they answered.

 


How appropriate is the CEO's decision?","People sometimes get genetically tested to learn more about their ancestry. However, genetic testing can also reveal important health risks that people wouldn’t otherwise learn they have. The research director at a popular genetic testing company wants to help customers learn more about their health risks, but the company’s testing system only collects enough genetic material to run one health-related test. So, the research director decides that in addition to testing for ancestry, the company will also test customers for their risk of developing certain kinds of cancer later in life. All customers will have the option of viewing their result or not.

 

How appropriate is the director's decision?","People sometimes get genetically tested to learn more about their ancestry. However, genetic testing can also reveal important health risks that people wouldn’t otherwise learn they have. The research director at a popular genetic testing company wants to help customers learn more about their health risks, but the company’s testing system only collects enough genetic material to run one health-related test. So, the research director decides that in addition to testing for ancestry, the company will also test customers for their risk of developing dementia later in life. All customers will have the option of viewing their result or not.

 


How appropriate is the director's decision?","People sometimes get genetically tested to learn more about their ancestry. However, genetic testing can also reveal important health risks that people wouldn’t otherwise learn they have. The research director at a popular genetic testing company wants to help customers learn more about their health risks, but the company’s testing system only collects enough genetic material to run one health-related test. So, the research director decides to run an experiment by randomly assigning customers to one of two test conditions. In addition to testing for ancestry, the company will test half of customers for their risk of developing dementia later in life. The company will test the other half of customers for their risk of developing certain kinds of cancer later in life. All customers will have the option of viewing their result or not.

 


How appropriate is the director's decision?","Some genetic mutations lead to health conditions that can make a person sick, or even cause them to die. Many of these health conditions can be prevented or slowed by taking certain steps once a person knows they have the genetic mutation, but others cannot. A certain genetic testing company currently only returns “genealogy” results, about customers’ family tree and national origin, but the CEO wants to help as many people as he can. So, he decides that he will offer all of his clients the option to see if they have any genetic risks for health conditions that can be prevented or reduced. Customers will have the option of viewing these results or not.

 


How appropriate is the CEO's decision?","Some genetic mutations lead to health conditions that can make a person sick, or even cause them to die. Many of these health conditions can be prevented or slowed by taking certain steps once a person knows they have the genetic mutation, but others cannot. A certain genetic testing company currently only returns “genealogy” results, about customers’ family tree and national origin, but the CEO wants to help as many people as he can. So, he decides that he will offer all of his clients the option to see if they have any genetic risks for health conditions, whether or not these health conditions can be prevented or reduced. Customers will have the option of viewing these results or not.

 


How appropriate is the CEO's decision?","Some genetic mutations lead to health conditions that can make a person sick, or even cause them to die. Many of these health conditions can be prevented or slowed by taking certain steps once a person knows they have the genetic mutation, but others cannot. A certain genetic testing company currently only returns “genealogy” results, about customers’ family tree and national origin, but the CEO wants to help as many people as he can. He thinks of two different ways to help customers, so he decides to run an experiment by randomly assigning them to one of two test conditions. He will offer half of his clients the option to see if they have any genetic risks for health conditions that can be prevented or reduced. He will offer the other half the option to see if they have any genetic risks for health conditions, whether or not these health conditions can be prevented or reduced. Customers in both test conditions will have the option of viewing the additional results offered to them.

 


How appropriate is the CEO's decision?","Many people like the idea of completely self-driving cars, which are capable of navigating the road without input from a human driver. These kinds of cars can make people’s lives easier and reduce accidents, but some of them prevent people from taking control of their car in the case of an emergency. The CEO of a company developing self-driving cars wants people to have as much freedom as possible on the road, while also remaining safe. So, he decides that all of the company’s cars will have a lever that allows drivers to switch between self-driving and human-driving modes.

 


How appropriate is the CEO's decision?","Many people like the idea of completely self-driving cars, which are capable of navigating the road without input from a human driver. These kinds of cars can make people’s lives easier and reduce accidents, but some of them prevent people from taking control of their car in the case of an emergency. The CEO of a company developing self-driving cars wants people to have as much freedom as possible on the road, while also remaining safe. So, he decides that any use of the brakes, gas pedal, or steering wheel by a human driver will automatically override self-driving mode on the company’s cars.

 


How appropriate is the CEO's decision?","Many people like the idea of completely self-driving cars, which are capable of navigating the road without input from a human driver. These kinds of cars can make people’s lives easier and reduce accidents, but some of them prevent people from taking control of their car in the case of an emergency. The CEO of a company developing self-driving cars wants people to have as much freedom as possible on the road, while also remaining safe. The CEO thinks of two different ways to balance freedom and safety, so he decides to run an experiment by randomly assigning cars to one of two test conditions. Half of cars the company sells will have a lever that allows drivers to switch between self-driving and human-driving modes. The other half will be programmed so that any use of the brakes, gas pedal, or steering wheel by a human driver will automatically override self-driving mode on the company’s cars.



How appropriate is the CEO's decision?","In a couple of sentences, please tell us why you chose the option you chose."
"{""ImportId"":""startDate"",""timeZone"":""America/New_York""}","{""ImportId"":""endDate"",""timeZone"":""America/New_York""}","{""ImportId"":""status""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/New_York""}","{""ImportId"":""_recordId""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID36""}","{""ImportId"":""QID13""}","{""ImportId"":""QID45""}","{""ImportId"":""QID14""}","{""ImportId"":""QID15""}","{""ImportId"":""QID46""}","{""ImportId"":""QID37""}","{""ImportId"":""QID38""}","{""ImportId"":""QID43""}","{""ImportId"":""QID39""}","{""ImportId"":""QID40""}","{""ImportId"":""QID44""}","{""ImportId"":""QID8_TEXT""}"
2017-09-28 15:31:29,2017-09-28 15:32:07,0,100,38,1,2017-09-28 15:32:13,R_2qDhr8ze4lvoSWG,anonymous,EN,,,,,5,,,,,,,,It makes it so it can help those who need extra help
2017-09-28 15:31:20,2017-09-28 15:32:20,0,100,60,1,2017-09-28 15:32:21,R_ThjZY5S5x2vl7Lb,anonymous,EN,,,4,,,,,,,,,,They are still somewhat similar so it's not too devious of an experiment
2017-09-28 15:33:11,2017-09-28 15:34:22,0,100,71,1,2017-09-28 15:34:23,R_3lsi9P4xJz7Ptv4,anonymous,EN,,,,,,,,,,,5,,"Because a human would need to take control under certain circumstances. So, this always needs to be an option."
2017-09-28 15:32:41,2017-09-28 15:34:53,0,100,131,1,2017-09-28 15:34:53,R_24LY03ZVuTwkHMs,anonymous,EN,,,,5,,,,,,,,,"We need to care more about cancer prevention and people's welfare. If there is no additional cost added to this and the customers receive their initial ancestry results they originally paid for, all is well with this in my mind."
2017-09-28 15:32:19,2017-09-28 15:34:57,0,100,157,1,2017-09-28 15:34:57,R_2VJiVuMNaQKhUt1,anonymous,EN,,,,,,,,,,,,3,"The results could go either way. I am in between on this topic. It could be either good or bad to make a final decision. "
2017-09-28 15:32:21,2017-09-28 15:35:30,0,100,188,1,2017-09-28 15:35:30,R_3J2Awir4d0WVD8r,anonymous,EN,,,,,,,,,,,,1,"I feel that the CEO's decision to move forward with half the cars not having human override capability was totally inappropriate because it does NOT balance freedom with safety, as his stated position asserts. As long as there are ANY safety concerns, those should be addressed before putting any drivers behind the wheel."
2017-09-28 15:33:56,2017-09-28 15:35:31,0,100,95,1,2017-09-28 15:35:32,R_3rOJq0TgRus0SVH,anonymous,EN,4,,,,,,,,,,,,"It makes sense.  It is simply more efficient to match people up who are similar to each other. "
2017-09-28 15:32:49,2017-09-28 15:35:53,0,100,183,1,2017-09-28 15:35:53,R_3G8nQp7jeup9ACo,anonymous,EN,,,,,,,,3,,,,,It could be seen as a personal matter to customers. It just seems a little weird.
