Scenario,genericCond,R File,N,dv,sd,se,ci
AV_LeverAuto,A,abE7,29,4.206896551724138,1.2357562850575,0.22947418125816976,0.4700565517468514
AV_LeverAuto,A,abE8,29,4.586206896551724,0.9455626208510671,0.1755865706465184,0.35967278531566355
AV_LeverAuto,B,abE7,28,4.678571428571429,0.5479640045336466,0.10355546310079276,0.2124782593384547
AV_LeverAuto,B,abE8,32,4.15625,1.2471742253538984,0.22047133801720523,0.4496542584310977
AV_LeverAuto,AB,abE8,28,3.392857142857143,1.4742050139924308,0.2785985606106048,0.5716370285083212
AV_YellowLight1,A,abE6,20,1.9,1.1652874052533586,0.2605661851470855,0.5453712932782591
AV_YellowLight1,B,abE6,22,3.727272727272727,1.2414207752110245,0.26467179857372763,0.5504151366228998
AV_YellowLight1,AB,abE6,33,2.9393939393939394,1.3905797788016772,0.24206886831318877,0.49307814928078664
AV_YellowLight2,A,abE7,27,2.925925925925926,1.3279807090213185,0.2555700066106961,0.5253316722224395
AV_YellowLight2,B,abE7,28,4.178571428571429,0.944911182523068,0.17857142857142855,0.3663983065143366
Charity1,A,abE10,30,3.8333333333333335,1.2058287558794354,0.22015320336118566,0.45026385732476604
Charity1,B,abE10,31,3.870967741935484,1.284313966906612,0.23066959792346745,0.47109016634517875
Charity1&2,AB,abE11,30,3.2,1.1264836959500921,0.20566684364455212,0.42063592502571
Charity2,A,abE10,32,3.5,1.4591203713417602,0.257938477285798,0.5260689927673995
Charity2,B,abE10,36,4.194444444444445,1.1666666666666667,0.19444444444444445,0.3947432082708999
Drug,A,abE10,26,4.384615384615385,1.061203960675725,0.20811921936105665,0.4286295558430167
Drug,B,abE10,28,4.5,0.6382847385042254,0.12062447740929097,0.24750098378286997
Drug,AB,abE11,29,2.7241379310344827,1.4613240504061946,0.27136106372643753,0.5558579409423892
DrugTeach,A,abE10,30,3.966666666666667,1.0333518722845685,0.1886633767634852,0.3858599305415303
DrugTeach,B,abE10,30,4.1,0.9595257449242379,0.17518463166731776,0.35829280153209775
DrugTeach,AB,abE11,30,3.033333333333333,1.4499306364701425,0.2647199054708399,0.5414129975315289
Funds1,A,abE10,26,4.1923076923076925,1.096147098494751,0.21497213249972494,0.44274339465077367
Funds1,B,abE10,28,3,1.3333333333333333,0.2519763153394848,0.5170126932438143
Funds1&2,AB,abE11,31,2.7419354838709675,1.3408390889161874,0.24082180953409754,0.4918237484881102
Funds2,A,abE10,32,4.0625,1.2427207404359506,0.219684065670857,0.44804860589474443
Funds2,B,abE10,36,3.4444444444444446,1.4627653741056834,0.2437942290176139,0.4949285971903377
GeneticTesting_Disease,A,abE7,29,3.793103448275862,1.1765357849219762,0.21847721045848953,0.44753027822267266
GeneticTesting_Disease,A,abE8,30,3.066666666666667,1.3628907749221197,0.2488286736135137,0.5089117790869219
GeneticTesting_Disease,B,abE7,27,3.5185185185185186,1.2206672314879639,0.23491751823017704,0.4828798743750526
GeneticTesting_Disease,B,abE8,31,3.4516129032258065,1.479610527073918,0.26574589559710665,0.5427255229530753
GeneticTesting_Disease,AB,abE8,29,3.206896551724138,1.2357562850575,0.22947418125816976,0.4700565517468514
GeneticTesting_ResultType,A,abE7,32,4.03125,0.9994958406536122,0.1766875716734795,0.3603566782391906
GeneticTesting_ResultType,A,abE8,29,4.413793103448276,1.0183053632422259,0.18909455879477077,0.3873426447098292
GeneticTesting_ResultType,B,abE7,25,3.96,1.0984838035522722,0.21969676071045444,0.4534318284246434
GeneticTesting_ResultType,B,abE8,31,3.838709677419355,1.1574907974738111,0.2078914842734964,0.42457105223134367
GeneticTesting_ResultType,AB,abE8,27,2.5555555555555554,1.4232501627054275,0.2739046215207191,0.5630190129161722
Hours,A,abE10,26,4.3076923076923075,1.1231822922119372,0.2202741702042516,0.45366314571139793
Hours,B,abE10,28,3.857142857142857,1.4067110502288587,0.2658434003880036,0.5454656015209925
Hours,AB,abE11,28,3.8214285714285716,1.1564175661505611,0.218542377984355,0.4484119202924688
Income,A,abE10,32,3.75,1.3912166872805047,0.24593468841898233,0.5015871039658255
Income,B,abE10,36,3.888888888888889,1.1656458118700375,0.1942743019783396,0.3943978007015284
Income,AB,abE11,27,3.037037037037037,1.224163182984809,0.23559031440943617,0.4842628267277262
OnlineDating_Friends,A,abE7,29,3.206896551724138,1.0134562625289327,0.18819410339796122,0.38549814544413646
OnlineDating_Friends,B,abE7,29,4.068965517241379,0.9610646805481119,0.17846523086440197,0.3655694534647781
