Respondent ID,Collector ID,Start Date,End Date,IP Address,Email Address,First Name,Last Name,Custom Data,"Some medical treatments require a doctor to insert a plastic tube into a large vein. These treatments can save lives, but they can also lead to deadly infections. A hospital director wants to reduce these infections, so he decides to give each doctor who performs this procedure a new ID badge with a list of standard safety precautions for the procedure printed on the back. All patients having this procedure will then be treated by doctors with this list attached to their clothing.How appropriate is the director's decision?","Some medical treatments require a doctor to insert a plastic tube into a large vein. These treatments can save lives, but they can also lead to deadly infections. A hospital director wants to reduce these infections, so he decides to give each doctor who performs this procedure a new ID badge with a list of standard safety precautions for the procedure printed on the back. All patients having this procedure will then be treated by doctors with this list attached to their clothing.How appropriate is the director's decision?","In a couple of sentences, please tell us why you chose the option you chose.",What is your sex?,What race/ethnicity do you consider yourself? Check all that apply.,,,,,What is your age (in years)?,What is the highest level of education you have received?,What is the total annual income from everyone in your household?,God or some type of nonhuman entity is in control of the events in the universe.,"We believe too often in science, and not enough in feelings and faith.",Knowledge can best be obtained through scientific research.,"Thank you for participating in our study. Your confirmation code to enter into Mechanical Turk is 8X43TW0R5. Please copy this code down so that you may enter it into Mechanical Turk to receive credit for your participation.If you have any additional comments on this study, you may enter them into the text box below (optional)."
,,,,,,,,,Question Viewed,Response,Open-Ended Response,Response,Black/African-American,Hispanic or Latino,White,Asian,Other,Open-Ended Response,Response,Response,Response,Response,Response,Open-Ended Response
6297708284,159625497,07/18/2017 07:18 PM,07/18/2017 07:21 PM,,,,,,"Some medical treatments require a doctor to insert a plastic tube into a large vein. These treatments can save lives, but they can also lead to deadly infections. A hospital director thinks of two different ways to reduce these infections, so he decides to run an experiment by randomly assigning patients to one of two test conditions. Half of patients will be treated by a doctor who has received a new ID badge with a list of standard safety precautions for the procedure printed on the back. The other half will be treated in a room with a poster listing the same precautions hanging on the wall.<br><br><strong>How appropriate is the director's decision?</strong>",4,"While this might not be the most effective way to do it, the director is at least trying.",1,,,3,,,41,3,4,1,3,3,
6297704403,159625497,07/18/2017 07:15 PM,07/18/2017 07:18 PM,,,,,,"Some medical treatments require a doctor to insert a plastic tube into a large vein. These treatments can save lives, but they can also lead to deadly infections. A hospital director wants to reduce these infections, so he decides to give each doctor who performs this procedure a new ID badge with a list of standard safety precautions for the procedure printed on the back. All patients having this procedure will then be treated by doctors with this list attached to their clothing.<br><br><strong>How appropriate is the director's decision?</strong>",3,I feel this is redundant since medical doctors will most likely already know the standard safety precautions protocols for various treatments. ,1,,,,4,,28,4,2,5,5,1,
6297695993,159625497,07/18/2017 07:08 PM,07/18/2017 07:10 PM,,,,,,"Some medical treatments require a doctor to insert a plastic tube into a large vein. These treatments can save lives, but they can also lead to deadly infections. A hospital director thinks of two different ways to reduce these infections, so he decides to run an experiment by randomly assigning patients to one of two test conditions. Half of patients will be treated by a doctor who has received a new ID badge with a list of standard safety precautions for the procedure printed on the back. The other half will be treated in a room with a poster listing the same precautions hanging on the wall.<br><br><strong>How appropriate is the director's decision?</strong>",2,"The doctor should let the patients know about the experiment and ask if they consent. Also, I do not agree with having a patient's life at risk in the name of an experiment.",2,,,3,,,19,3,4,4,5,1,
6297695929,159625497,07/18/2017 07:08 PM,07/18/2017 07:12 PM,,,,,,"Some medical treatments require a doctor to insert a plastic tube into a large vein. These treatments can save lives, but they can also lead to deadly infections. A hospital director thinks of two different ways to reduce these infections, so he decides to run an experiment by randomly assigning patients to one of two test conditions. Half of patients will be treated by a doctor who has received a new ID badge with a list of standard safety precautions for the procedure printed on the back. The other half will be treated in a room with a poster listing the same precautions hanging on the wall.<br><br><strong>How appropriate is the director's decision?</strong>",2,There should be a check system with a few other doctors and supervisor to come up with a consensus before any options should be implemented. One person determining procedure with lives on the line could be catastrophic for the patients and the hospital itself.,1,,,3,,,30,6,3,1,3,2,Thank you.
6297693141,159625497,07/18/2017 07:05 PM,07/18/2017 07:07 PM,,,,,,"Some medical treatments require a doctor to insert a plastic tube into a large vein. These treatments can save lives, but they can also lead to deadly infections. A hospital director thinks of two different ways to reduce these infections, so he decides to run an experiment by randomly assigning patients to one of two test conditions. Half of patients will be treated by doctors who have received a new ID badge with a list of standard safety precautions for the procedure printed on the back. The other half will be treated in rooms with a poster listing the same precautions hanging on the wall. After a year, the director will have all patients treated in whichever way turns out to have the highest survival rate.<br><br><strong>How appropriate is the director's decision?</strong>",2,I think it's wrong to experiment on people when they can get a deadly infection based on results,2,,,3,,,19,3,2,5,5,2,
6297692139,159625497,07/18/2017 07:05 PM,07/18/2017 07:06 PM,,,,,,"Some medical treatments require a doctor to insert a plastic tube into a large vein. These treatments can save lives, but they can also lead to deadly infections. A hospital director wants to reduce these infections, so he decides to hang a poster with a list of standard safety precautions for this procedure in all procedure rooms. All patients having this procedure will then be treated in rooms with this list posted on the wall.<br><br><strong>How appropriate is the director's decision?</strong>",5,anything that can reduce pain or suffering is a good idea,1,,2,,,,37,6,4,1,3,1,Thanks
6297689071,159625497,07/18/2017 06:58 PM,07/18/2017 07:05 PM,,,,,,"Some medical treatments require a doctor to insert a plastic tube into a large vein. These treatments can save lives, but they can also lead to deadly infections. A hospital director wants to reduce these infections, so he decides to hang a poster with a list of standard safety precautions for this procedure in all procedure rooms. All patients having this procedure will then be treated in rooms with this list posted on the wall.<br><br><strong>How appropriate is the director's decision?</strong>",1,It's good to know what to avoid as to not get an infection. I think it's very responsible of the doctor.,1,1,,,,,27,3,4,5,5,1,
6297685720,159625497,07/18/2017 07:00 PM,07/18/2017 07:01 PM,,,,,,"Some medical treatments require a doctor to insert a plastic tube into a large vein. These treatments can save lives, but they can also lead to deadly infections. A hospital director wants to reduce these infections, so he decides to give each doctor who performs this procedure a new ID badge with a list of standard safety precautions for the procedure printed on the back. All patients having this procedure will then be treated by doctors with this list attached to their clothing.<br><br><strong>How appropriate is the director's decision?</strong>",3,Normal,2,,,,4,,35,3,1,3,3,3,
6297683884,159625497,07/18/2017 06:58 PM,07/18/2017 07:00 PM,,,,,,"Some medical treatments require a doctor to insert a plastic tube into a large vein. These treatments can save lives, but they can also lead to deadly infections. A hospital director wants to reduce these infections, so he decides to give each doctor who performs this procedure a new ID badge with a list of standard safety precautions for the procedure printed on the back. All patients having this procedure will then be treated by doctors with this list attached to their clothing.<br><br><strong>How appropriate is the director's decision?</strong>",5,It is always helpful to have directions ready to remind people how to properly do something. I think this is very appropriate because it will help doctors carry out their job better and it will help patients identify if a doctor is certified or not.,2,,2,3,,,22,3,1,4,5,1,
