pid,cond,condLabel,dv,dv_binary,FreeResponse,Duration,ResponseId,Sex,SexBinary1Male,Race/Ethnicity,RaceBinary1White,Age,AgeBinary1Old,Education,EducationBinary1Degree,Income,IncomeBinary1HighInc,RepeatTurkerLabelCode
30,A,Charity.Livestock,5,0,I believe that providing families with livestock is an appropriate use of of charity donations.,,R_2qaxzknXRBfUhpg,2,0,3,1,59,1,6,1,6,1,0
31,A,Charity.Livestock,4,0,"I only marked it as ""somewhat appropriate"" because there's not enough information to tell if that's a good decision for that population. If the country is largely urban, livestock won't help, for instance. If it is helpful for that group, though, it sounds like a solid plan",,R_12Daqjirpvx94R3,2,0,3,1,36,1,6,1,3,0,0
33,A,Charity.Livestock,4,0,"I could see how he means well, but I think that everyone should have been offered some help. It is not fair to only help those below the poverty line because sometimes they are there for the free stuff.",,R_1NFcLkP5FoHbc2o,2,0,3,1,40,1,2,0,1,0,0
34,A,Charity.Livestock,4,0,"It depends on the country, but a piece of livestock can make a large difference in someone's life. On the other hand, there may be more efficient ways of using the charity money, such as drilling boreholes.",,R_25WOYRkkU3fkH8u,1,1,3,1,27,0,3,0,2,0,0
35,A,Charity.Livestock,3,0,"It's a good idea, but I am not sure if people will know what to do or not with the animal. The animal may suffer.",,R_2SrhKSDsm0mq4id,1,1,3,1,23,0,3,0,2,0,0
36,A,Charity.Livestock,2,1,"This is a bad idea, because many people wont want these, and wont have the money to take care of them. This will result in an increased burden on the people it is given to, as well as pain and suffering for the animal given.",,R_3lEUCzs7DwQZMIu,1,1,3,1,34,1,4,1,3,0,0
37,A,Charity.Livestock,3,0,I don't see how a donkey or goat would help someone with low income. It takes money to keep animals.,,R_2yfL5jo2Ax4UJgG,2,0,5,0,33,0,4,1,1,0,0
38,A,Charity.Livestock,5,0,Very cool thing to do!,,R_pF5MnVJ6AISQ3RL,2,0,3,1,30,0,3,0,2,0,0
39,A,Charity.Livestock,5,0,"It is very appropriate for using the money wisely. If the director believes buying a donkey is a wise decision, then it probably is.",,R_2diNiXUivdbkuup,2,0,3,1,43,1,4,1,3,0,0
40,A,Charity.Livestock,5,0,"An animal could provide a good amount of meat, milk, or could be sold so the families could get money. He was very generous by doing this.",,R_3EKWg2EqIdj9pBx,2,0,3,1,28,0,2,0,2,0,0
41,A,Charity.Livestock,5,0,I think it is a wonderful thing the director of this charity is wanting to do. Sometimes having an animal can mean having milk for the children or eggs for meals.,,R_3FXPlfqSfb2UfjB,2,0,4,0,54,1,3,0,2,0,0
42,A,Charity.Livestock,4,0,"It's a good start, but do these people have the means to care for the livestock?",,R_3qE8tRpHOmO8GHC,2,0,3,1,32,0,4,1,3,0,0
43,A,Charity.Livestock,3,0,"It seems that a piece of livestock would be an helpful gift, however it is not stated if members of this country have the resources to feed and house livestock.",,R_1jZFs5x1JKyfeln,2,0,3,1,39,1,4,1,3,0,0
44,A,Charity.Livestock,4,0,If there's evidence that owning one of these animals helps add to a family's wealth then it sounds like a good idea. I'm just not sure how that works.,,R_DfapU9f75PIGxwZ,2,0,3,1,38,1,4,1,2,0,0
45,A,Charity.Livestock,5,0,It's a wise use of the money because it's a gift that will keep giving. The people can get milk from the goat and work from the donkey.,,R_1kYsfgrmwGTPkib,2,0,3,1,29,0,6,1,6,1,0
46,A,Charity.Livestock,2,1,"If this director was the only person to make the decision, I don't feel this is an appropriate way to spend money that's been donated from others before this decision was made. Things like the value of livestock vs the availability of food and cost of upkeep for the families need to be considered. While to the director this may be a charitable donation to build wealth, to the affected families, this might become a financial burden or inconvenience. However, depending on whether this information was disclosed to donators and the families affected were aware of these decisions, it could be an appropriate use of donated money.  ",,R_21BNLqhXsvPegAF,2,0,5,0,22,0,3,0,3,0,0
47,A,Charity.Livestock,1,1,well thats the reality ,,R_1OHsmXQkXyVa9u6,1,1,4,0,25,0,4,1,3,0,0
48,A,Charity.Livestock,4,0,"It was somewhat appropriate because its better than just giving people money, its giving them something they can continue to see a benefit from. But at the same time he should have consulted with other people or people who had donated first, before he made the decision.",,R_33mz21qfpDHgKXR,1,1,3,1,37,1,3,0,2,0,0
49,A,Charity.Livestock,3,0,Helps provide food so they can save money for other things but won't help them escape poverty ,,R_2xJbWPA8X02emdf,1,1,3,1,24,0,4,1,2,0,0
50,A,Charity.Livestock,5,0,It will benefit the country very much,,R_WfBfGzSMqbfK3vz,1,1,"3,4",0,26,0,4,1,2,0,0
51,A,Charity.Livestock,2,1,very appropriade,,R_3G8shYKjFSgKVOX,1,1,1,0,22,0,2,0,2,0,0
52,A,Charity.Livestock,5,0,"Providing them with livestock is something that could enable them to generate revenue by selling it or use it to provide some type of service. In this case, it might be just as useful as providing money since the donkey may be valued in the recipients culture.",,R_1irIdaa1Xy2FrLc,1,1,3,1,59,1,2,0,5,1,0
53,A,Charity.Livestock,5,0,The director is using the donations to directly help the poor people.,,R_3jZzxkMaOBYnNQd,2,0,4,0,27,0,4,1,2,0,0
54,A,Charity.Livestock,4,0,It's a good idea. I think they can become self-sufficient if you give them livestock.,,R_3hrt3L83WLZIlT9,1,1,4,0,35,1,4,1,2,0,0
55,A,Charity.Livestock,5,0,"This is Heifer International, and overall I support their goals because they are effective and personable.",,R_XYbZNShWhoOX5Qt,2,0,3,1,24,0,5,1,2,0,0
56,A,Charity.Livestock,3,0,This would be a very helpful donation in a developing and agricultural country. It would not be in a developed country.,,R_1IslkEWgiCVB0m5,1,1,3,1,45,1,4,1,3,0,0
57,A,Charity.Livestock,2,1,I do not believe that one piece of livestock would help much with those in poverty. Most of the people would not understand how to use the donkey or goat to their advantage.,,R_21nuiZtjrBYwAzf,1,1,3,1,36,1,4,1,3,0,0
58,A,Charity.Livestock,3,0,"Im not sure why this person thinks that people are willing to take care of a piece of livestock. Also they may not live on farms, so they probably have no means of taking them in.",,R_1FhNVNvNOncils4,1,1,3,1,36,1,4,1,5,1,0
59,A,Charity.Livestock,5,0,"As the saying goes, give a man a fish you feed him for a day. Teach a man to fish you feed him for a lifetime. By giving the poorest families livestock, the charity gives them a tool to provide for themselves and possibly to provide enough that they can sell and maybe actually climb out of poverty. ",,R_12RS7Gv6emOX8Nf,1,1,3,1,41,1,4,1,3,0,0
60,A,Charity.Livestock,5,0,The donkey can carry heavy loads and the goat can provide milk and cheese. I think that this is a very good idea.,,R_1g7SiMks7QebOJI,1,1,3,1,37,1,2,0,2,0,0
123,B,Charity.Roof,5,0,very generous that he would spsend his own money for people in need.,,R_2DSVIvojvNwLwFo,1,1,3,1,24,0,4,1,4,1,0
124,B,Charity.Roof,2,1,He should have a conversation with his board of directors and they should vote on how to spend the money or invest it. ,,R_2v7YxpncEYwozEO,2,0,3,1,45,1,4,1,2,0,0
125,B,Charity.Roof,5,0,This is a good benevolent decision,,R_3oFsPWCHzwM8ROd,1,1,3,1,34,1,6,1,5,1,0
126,B,Charity.Roof,4,0,It is helping someone in a needed situation,,R_1ddaoN0d3xA4lTe,2,0,3,1,60,1,2,0,3,0,0
127,B,Charity.Roof,4,0,As long as those funds are not reserved for something else she is perfectly within her rights to help in that way. it will be good for the community,,R_eLh9n0ocsJXLm9P,1,1,3,1,21,0,4,1,1,0,0
128,B,Charity.Roof,4,0,"I chose ""somewhat appropriate"" because it is a great way to ensure individuals literally have a ""safe roof over their head"" which in turn can assist with quality of life in any situation (living in a comfortable home vs living in an environment that imposes the sense of poverty upon oneself). It is a good deed, however, I did not choose ""very appropriate"" because if he automatically replaces the roofs on ALL of the homes only because they fall under a particular income level, then he may end up replacing roofs that might already be in good condition and do not need replacement...could an inspection of the house be conducted before automatically granting the funds to the task? If so, and there are those houses which do not need a new roof, then the funds that would seemingly be ""wasted"" could be reallocated (perhaps give the family a cash donation instead or provide financial assistance/repair assistance of equal or lesser value to the home). ",,R_BzYFp9Sn8xfwrLP,2,0,3,1,28,0,4,1,4,1,0
129,B,Charity.Roof,4,0,I think its a great idea to provide them housing. With that being said I believe they should work for their own money. Unfortunately many people take advantage of a good thing.,,R_2fqH2pra1ZzGZes,1,1,3,1,30,0,4,1,3,0,0
130,B,Charity.Roof,5,0,He seems like a great guy and willing to put the money where his mouth is. One could say that action speaks louder than words and he proved himself.,,R_3QYTjeZkVj3xIUN,1,1,4,0,34,1,3,0,3,0,0
131,B,Charity.Roof,5,0,The director of this charity behaved in a completely ethical and appropriate way by helping people in need with their home repair costs.,,R_21yyKlIDYDQTX2X,2,0,3,1,34,1,4,1,4,1,0
132,B,Charity.Roof,5,0,This is a very sensible choice for this director to make,,R_cAyqF2EVdEiowQp,2,0,3,1,73,1,4,1,2,0,0
133,B,Charity.Roof,1,1,its very appropriate because this person is doing something great for the community.,,R_2zd0Dmkfsl0EhC6,2,0,2,0,52,1,3,0,1,0,0
134,B,Charity.Roof,5,0,Theres no negative here. I dont think anyone would not choose very appropriate for this,,R_3EiHwVN9206uI1H,1,1,3,1,26,0,3,0,2,0,0
135,B,Charity.Roof,1,1,A major contributing factor of poverty is homelessness. Investing in roofing for the bottom percentile of impoverished is presumptuous and does not seem to address the factors that keep them in poverty,,R_3nB3pFPZeQPjwV2,1,1,2,0,26,0,3,0,3,0,0
136,B,Charity.Roof,5,0,He seems to care for those who's less fortunate,,R_6Dv8LKlUZQFlmGB,1,1,1,0,40,1,2,0,2,0,0
137,B,Charity.Roof,4,0,"It seems like a good use of the funding, though I don't know if it will really help anyone escape poverty.",,R_babwyayu16TgJ8Z,1,1,3,1,39,1,2,0,4,1,0
138,B,Charity.Roof,3,0,Seems like an appropriate way to use the funds but it would have also been nice for those in extreme poverty to be helped with some sort of education and industry that could help them earn money. ,,R_2sYeYUDKhvuF6lg,2,0,1,0,36,1,3,0,6,1,0
139,B,Charity.Roof,5,0,Its doing something for someone in need,,R_3fe1adrXBnQTKzx,2,0,1,0,32,0,3,0,2,0,0
140,B,Charity.Roof,5,0,Because he's using his money to help less fortunate people.,,R_2QDktMsdB8DXU3Q,1,1,3,1,28,0,3,0,3,0,0
141,B,Charity.Roof,4,0,"Because people need to learn not to depend on handouts. However, they need help and a house gives them great security and a great start.",,R_3HMMZcohgSkEMzj,2,0,3,1,34,1,4,1,3,0,0
142,B,Charity.Roof,2,1,"By providing a roof for people he is being extremely generous. However, he will end up bankrupting his company from the cost and help less people as a result.",,R_3ee2LLgvpGm7sKI,1,1,3,1,45,1,3,0,2,0,0
143,B,Charity.Roof,3,0,feel that way,,R_2VEDV1a1v8neFov,1,1,3,1,32,0,4,1,3,0,0
144,B,Charity.Roof,4,0,It seems to fit with a charity's goals and not some personal gain. Only thing I'd question is if that was a part of why people were donating.,,R_tWpLa1OQDFHvzPj,1,1,3,1,36,1,3,0,4,1,0
145,B,Charity.Roof,2,1,"The solution does not really address the causes of poverty. While the gesture will be helpful to some, it won't do much to actually fix the problems.",,R_1ilBEqixTMOwD3l,1,1,3,1,43,1,2,0,3,0,0
146,B,Charity.Roof,5,0,He is helping people of a lower income by providing them with shelter. He is using this money that is donated to the charity for a good and charitable reason.,,R_3NwBluSuIAlzEkM,2,0,3,1,29,0,3,0,3,0,0
147,B,Charity.Roof,5,0,He is doing what his charity promoted and therefore doing what he should be doing.,,R_6s61c6cWdW8XHJn,1,1,3,1,30,0,3,0,2,0,0
148,B,Charity.Roof,5,0,He's providing base level help for those at the most needy. Those that are secure in their housing can use that money elsewhere and can have a better life for them and their families.,,R_3j6AANExHagK9rO,1,1,3,1,38,1,6,1,6,1,0
149,B,Charity.Roof,5,0,"Having a place to live for someone that is homeless or poor is a huge help since rent is usually the most expensive bill that someone has. By taking that out of the equation, it allows for a low income family to spend money on other bills. I'm sure for many people this is enough to get them to a better place in life.",,R_1ou9HgXEYHeR3IC,1,1,1,0,27,0,3,0,3,0,0
150,B,Charity.Roof,3,0,It depends. If people knew that this was apart of this particular charities mission than it would be a good use of money. If not then it wouldn't be.,,R_5A6dWnPkfGEePgl,1,1,3,1,25,0,4,1,3,0,0
151,B,Charity.Roof,2,1,it would certainly help those in poverty if they own their own home and the roof is in poor shape but many don't own their own home and of those that do many probably don't need a new roof. ,,R_1JKn9V97O1sC5kR,1,1,3,1,33,0,4,1,5,1,0
152,B,Charity.Roof,4,0,A new roof may not be the most important thing for every.  Other things may be more valuable.,,R_3ixpzedYVrNUiOT,2,0,3,1,55,1,4,1,5,1,0
62,A,Charity.Cash,1,1,All cash payout? Would be wiser to at least buy food vouchers of some sort to ensure it was being spent on food.,,R_2z5OewjPGZZfH1g,1,1,3,1,37,1,2,0,4,1,0
63,A,Charity.Cash,1,1,Because I think he is doing the right thing by giving an opportunity to people with low income.,,R_3siAFmyQqhyKzZn,2,0,2,0,25,0,3,0,2,0,0
64,A,Charity.Cash,1,1,Giving cash to poor people is not good. They are gonna blow it most likely. They don't have the money management techniques that some people do get. They are in the position partily because the way they spend money. Bad idea,,R_2EnpcEZj8VmX9XH,1,1,3,1,26,0,4,1,4,1,0
