StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,xA1,FreeResponse,xA2,FreeResponse,xA5,FreeResponse,xA12,FreeResponse,xA6,FreeResponse,xA7,FreeResponse,xA8,FreeResponse,xA9,FreeResponse,xA14,FreeResponse,xA3,FreeResponse,xA10,FreeResponse,xA13,FreeResponse,xA15,FreeResponse,xA11,FreeResponse,xA4,FreeResponse,xB1,FreeResponse,xB2,FreeResponse,xB5,FreeResponse,xB12,FreeResponse,xB6,FreeResponse,xB7,FreeResponse,xB8,FreeResponse,xB9,FreeResponse,xB14,FreeResponse,xB3,FreeResponse,xB4,FreeResponse,xB10,FreeResponse,xB11,FreeResponse,xB13,FreeResponse,xB15,FreeResponse,Sex,Race/Ethnicity,Age,Education,Income,FreeResponse - Topics
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,"“First-year residents” are new doctors who practice medicine under the supervision of more experienced doctors. The body that accredits U.S. hospital residency programs has already determined that first-year residents must work no more than 80 hours per week, averaged over 4 weeks. Now it must decide, within that constraint, how long first-year residents may work in any one shift. Second-year and later residents may work up to 24 hours at a time. The accrediting body is concerned that residents working longer hours might get less sleep and that sleep-deprived residents might make errors that hurt patients. The accrediting body wants to adopt the policy that will best protect patients, so it decides that first-year residents at all hospitals it accredits may work no more than 16 hours at a time.
How appropriate was the accrediting body's decision?","In a couple of sentences, please tell us why you chose the option you chose.","Several drugs have been approved by the U.S. Food and Drug Administration as safe and effective for treating high blood pressure. Doctor Jones wants to provide good treatment to his patients, so he decides to prescribe drug A for high blood pressure. It is affordable and patients can tolerate its side effects.
How appropriate is Doctor Jones' decision?","In a couple of sentences, please tell us why you chose the option you chose.","A state government’s department of human services is tasked with distributing welfare and unemployment resources to struggling families. The head of this department wants to reduce poverty and unemployment, so he decides to increase welfare services offered to the poorest families in the state: those who are the farthest below the poverty line.

 

How appropriate is the department head's decision?","In a couple of sentences, please tell us why you chose the option you chose.","Most people in the U.S. save too little for retirement, causing them financial problems later in life. Company retirement plans are a good way to save, but too few employees choose to enroll in them. The CEO of a company wants to encourage his employees to enroll in the company retirement savings plan, so he decides to increase the number of available investment funds from 10 to 15, in the hope that employees will find some of the new options more attractive.

 

How appropriate is the CEO's decision?","In a couple of sentences, please tell us why you chose the option you chose.","Research has shown that increasing teacher happiness and well-being can result in better student outcomes. The superintendent of a school district wants to improve how well his elementary school students do, so he decides to give all of the school’s teachers a yearly bonus.

 

How appropriate is the superintendent's decision?","In a couple of sentences, please tell us why you chose the option you chose.","A poor nation with a severe shortage of nurses and doctors is creating a new civil service position: Health Assistant. These Health Assistants will undergo one year of training, then become the first line of healthcare for people living in the most remote regions of the country. The nation’s congress wants to recruit the best people it can to become Health Assistants, so it decides to have recruitment posters made that emphasize the social benefits of becoming a Health Assistant, such as serving the public and being a leader in one’s community.

 

How appropriate is the congress' decision?","In a couple of sentences, please tell us why you chose the option you chose.","The American Cancer Society recommends that starting at age 50, healthy adults should get colonoscopies every 10 years. Colonoscopies can save lives by detecting colon cancer early, but they are not fun and many people avoid them. The CEO of a health system would like to increase patients’ likelihood of having a potentially life-saving colonoscopy, so he decides to send every patient a birthday card on their 50th birthday, which reads “It’s your 50th birthday – treat yourself to a colonoscopy!” The card will come with coupons for a bowel cleanser that patients need to drink before a colonoscopy, and a book of crossword puzzles to entertain them while they’re on the toilet. The idea is that this little bit of whimsy might make the procedure seem less “icky” and lead more patients to get colonoscopies.

 

How appropriate is the CEO's decision?","In a couple of sentences, please tell us why you chose the option you chose.","Last year, a charity received a large number of donations. The director of this charity wants to help people in a low-income country escape extreme poverty. So he decides to spend this money on providing everyone below a certain income level with one piece of livestock (such as a donkey or a goat).

 

How appropriate is the director's decision?","In a couple of sentences, please tell us why you chose the option you chose.","The CEO of a music-streaming company wants to increase the likelihood that users of the company’s free service will pay to upgrade to its Premium service. So, he decides to increase the number of advertisements that run on the free service.

 

How appropriate is the CEO's decision?","In a couple of sentences, please tell us why you chose the option you chose.","Several drugs have been approved by the U.S. Food and Drug Administration as safe and effective for treating high blood pressure. Doctor Jones works in a multi-doctor walk-in clinic where patients see whichever doctor is available. Some doctors in the clinic prescribe drug A for high blood pressure, while others prescribe drug B. Both drugs are affordable and patients can tolerate their side effects. Doctor Jones wants to provide good treatment to his patients, so he decides that whenever his patients need blood pressure medication, they will be prescribed drug A.
How appropriate is Doctor Jones' decision?","In a couple of sentences, please tell us why you chose the option you chose.","Last year, a charity received a large number of donations. The director of this charity wants to help people in a low-income country escape extreme poverty. So, he decides to spend this money on providing all adults below a certain income level with a cash payment equal to the cost of three months of food.

 

How appropriate is the director's decision?","In a couple of sentences, please tell us why you chose the option you chose.","Most people in the U.S. save too little for retirement, causing them financial problems later in life. Company retirement plans are a good way to save, but too few employees choose to enroll in them. The CEO of a company wants to encourage newly hired employees to enroll in the company retirement savings plan, so he decides that the enrollment paperwork will highlight the most popular of the three investment funds the company currently offers.

 

How appropriate is the CEO's decision?","In a couple of sentences, please tell us why you chose the option you chose.","The CEO of a music-streaming company wants to increase the likelihood that users of the company’s free service will pay to upgrade to its Premium service. He thinks that running short but frequent advertisements will encourage users to upgrade, so he decides to place a short, 30 second advertisement after every 2nd song users listen to.

 

How appropriate is the CEO's decision?","In a couple of sentences, please tell us why you chose the option you chose.","The congress of a small country wants to provide support for citizens who are unable to find work, while also encouraging those citizens to find and take on jobs. To do this, the congress decides on a plan. All citizens who have been out of work for at least 12 months will receive the equivalent of $1000 per month for 6 months, or until they find a job, whichever comes first. To be eligible for these payments, unemployed citizens must attend monthly job fairs run by the government.

 

How appropriate is the congress' decision?","In a couple of sentences, please tell us why you chose the option you chose.","In order to survive, babies born very prematurely need special machines that control how much oxygen is in their blood. Doctors know that both too little and too much oxygen can hurt these babies. They know that oxygen levels below 85% are too low, and they know that oxygen levels above 95% are too high. However, doctors do not know what level is best between 85% and 95%. The head of a hospital unit that cares for premature babies wants to give the babies the best chance of survival possible, so he decides to set all of the machines in his unit to keep these babies’ oxygen levels between 85% and 89%.
How appropriate is the hospital unit head's decision?","In a couple of sentences, please tell us why you chose the option you chose.","“First-year residents” are new doctors who practice medicine under the supervision of more experienced doctors. The body that accredits U.S. hospital residency programs has already determined that first-year residents must work no more than 80 hours per week, averaged over 4 weeks. Now it must decide, within that constraint, how long first-year residents may work in any one shift. Second-year and later residents may work up to 24 hours at a time. The accrediting body is concerned that shorter work hours mean more patient hand-offs, which are dangerous because it is easy for important patient information not to be relayed between care teams. Shorter hours might also mean less education, or socialization into a kind of “shift mentality” that reduces professionalism — either of which might result in less competent and less committed doctors for patients in the future. The accrediting body wants to adopt the policy that will best protect patients, so it decides that first-year residents at all hospitals it accredits may work no more than 24 hours at a time.

 

How appropriate was the accrediting body's decision?","In a couple of sentences, please tell us why you chose the option you chose.","Several drugs have been approved by the U.S. Food and Drug Administration as safe and effective for treating high blood pressure. Doctor Jones wants to provide good treatment to his patients, so he decides to prescribe drug B for high blood pressure. It is affordable and patients can tolerate its side effects.

 

How appropriate was Doctor Jones' decision?","In a couple of sentences, please tell us why you chose the option you chose.","A state government’s department of human services is tasked with distributing welfare and unemployment resources to struggling families. The head of this department wants to reduce poverty and unemployment, so he decides to increase welfare services equally to everyone in the state below the poverty line.

 

How appropriate is the department head's decision?","In a couple of sentences, please tell us why you chose the option you chose.","Most people in the U.S. save too little for retirement, causing them financial problems later in life. Company retirement plans are a good way to save, but too few employees choose to enroll in them. The CEO of a company wants to encourage his employees to enroll in the company retirement savings plan, so he decides to decrease the number of available investment funds from 10 to 5, in the hope that employees won’t be overwhelmed by too many choices and suffer from “decision paralysis.”


How appropriate is the CEO's decision?","In a couple of sentences, please tell us why you chose the option you chose.","Research has shown that increasing teacher happiness and well-being can result in better student outcomes. The superintendent of a school district wants to improve how well his elementary school students do, so he decides to give all of the school’s teachers additional vacation days during summer and winter breaks.

 

How appropriate is the superintendent's decision?","In a couple of sentences, please tell us why you chose the option you chose.","A poor nation with a severe shortage of nurses and doctors is creating a new civil service position: Health Assistant. These Health Assistants will undergo one year of training, then become the first line of healthcare for people living in the most remote regions of the country. The nation’s congress wants to recruit the best people it can to become Health Assistants, so it decides to have recruitment posters made that emphasize the career benefits of becoming a Health Assistant, such as opportunities for promotion and professional development.

 

How appropriate is the congress' decision?","In a couple of sentences, please tell us why you chose the option you chose.","The American Cancer Society recommends that starting at age 50, healthy adults should get colonoscopies every 10 years. Colonoscopies can save lives by detecting colon cancer early, but they are not fun and many people avoid them. The CEO of a health system would like to increase patients’ likelihood of having a potentially life-saving colonoscopy, so he decides to send every patient a birthday card on their 50th birthday, which reads “It’s your 50th birthday – treat yourself to a colonoscopy!” The card will come with a notice of a pre-scheduled colonoscopy appointment, with options for selecting a more convenient time. Patients won’t be charged if they don’t show up. The idea is that removing the chore of scheduling will lead more patients to get colonoscopies.


How appropriate is the CEO's decision?","In a couple of sentences, please tell us why you chose the option you chose.","Last year, a charity received a large number of donations. The director of this charity wants to help people in a low-income country escape extreme poverty. So he decides to spend this money on providing everyone below a certain income level with a sturdy roof for their home.


How appropriate is the director's decision?","In a couple of sentences, please tell us why you chose the option you chose.","The CEO of a music-streaming company wants to increase the likelihood that users of the company’s free service will pay to upgrade to its Premium service. So, he decides to remove several of the most popular songs from the free service.

 

How appropriate is the CEO's decision?","In a couple of sentences, please tell us why you chose the option you chose.","Several drugs have been approved by the U.S. Food and Drug Administration as safe and effective for treating high blood pressure. Doctor Jones works in a multi-doctor walk-in clinic where patients see whichever doctor is available. Some doctors in the clinic prescribe drug A for high blood pressure, while others prescribe drug B. Both drugs are affordable and patients can tolerate their side effects. Doctor Jones wants to provide good treatment to his patients, so he decides that whenever his patients need blood pressure medication, they will be prescribed drug B.

 

How appropriate is Doctor Jones' decision?","In a couple of sentences, please tell us why you chose the option you chose.","In order to survive, babies born very prematurely need special machines that control how much oxygen is in their blood. Doctors know that both too little and too much oxygen can hurt these babies. They know that oxygen levels below 85% are too low, and they know that oxygen levels above 95% are too high. However, doctors do not know what level is best between 85% and 95%. The head of a hospital unit that cares for premature babies wants to give the babies the best chance of survival possible, so he decides to set all of the machines in his unit to keep these babies’ oxygen levels between 91% and 95%.

 

How appropriate is the hospital unit head's decision?","In a couple of sentences, please tell us why you chose the option you chose.","Last year, a charity received a large number of donations. The director of this charity wants to help people in a low-income country escape extreme poverty. So, he decides to spend this money on providing all adults below a certain income level with one month of training in a trade of their choice.


How appropriate is the director's decision?","In a couple of sentences, please tell us why you chose the option you chose.","The congress of a small country wants to provide support for citizens who are unable to find work, while also encouraging those citizens to find and take on jobs. To do this, the congress decides on a plan. All citizens who have been out of work for at least 12 months will receive the equivalent of $500 per month for 6 months, even if they find a job during that time. To be eligible for these payments, unemployed citizens must attend monthly job fairs run by the government.


How appropriate is the congress' decision?","In a couple of sentences, please tell us why you chose the option you chose.","Most people in the U.S. save too little for retirement, causing them financial problems later in life. Company retirement plans are a good way to save, but too few employees choose to enroll in them. The CEO of a company wants to encourage newly hired employees to enroll in the company retirement savings plan, so he decides to give them enrollment paperwork in which they are automaticlaly enrolled in the most popular of the three investment funds the company offers. Employees are then free to make a difference choice or to decline the program entirely. 

 

 

How appropriate is the CEO's decision?","In a couple of sentences, please tell us why you chose the option you chose.","The CEO of a music-streaming company wants to increase the likelihood that users of the company’s free service will pay to upgrade to its Premium service. He thinks that running infrequent but long advertisements will encourage users to upgrade, so he decides to place a long, 2 minute block of advertisements after every 8th song users listen to.


How appropriate is the CEO's decision?","In a couple of sentences, please tell us why you chose the option you chose.",What is your sex?,What race/ethnicity do you consider yourself? Check all that apply.,What is your age (in years)?,What is the highest level of education you have received?,What is the total annual income from everyone in your household?,FreeResponse - Topics
"{""ImportId"":""startDate"",""timeZone"":""America/New_York""}","{""ImportId"":""endDate"",""timeZone"":""America/New_York""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/New_York""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID3""}","{""ImportId"":""QID4_TEXT""}","{""ImportId"":""QID5""}","{""ImportId"":""QID6_TEXT""}","{""ImportId"":""QID11""}","{""ImportId"":""QID12_TEXT""}","{""ImportId"":""QID25""}","{""ImportId"":""QID26_TEXT""}","{""ImportId"":""QID13""}","{""ImportId"":""QID14_TEXT""}","{""ImportId"":""QID15""}","{""ImportId"":""QID16_TEXT""}","{""ImportId"":""QID17""}","{""ImportId"":""QID18_TEXT""}","{""ImportId"":""QID19""}","{""ImportId"":""QID20_TEXT""}","{""ImportId"":""QID29""}","{""ImportId"":""QID30_TEXT""}","{""ImportId"":""QID7""}","{""ImportId"":""QID8_TEXT""}","{""ImportId"":""QID21""}","{""ImportId"":""QID22_TEXT""}","{""ImportId"":""QID27""}","{""ImportId"":""QID28_TEXT""}","{""ImportId"":""QID31""}","{""ImportId"":""QID32_TEXT""}","{""ImportId"":""QID23""}","{""ImportId"":""QID24_TEXT""}","{""ImportId"":""QID9""}","{""ImportId"":""QID10_TEXT""}","{""ImportId"":""QID33""}","{""ImportId"":""QID34_TEXT""}","{""ImportId"":""QID35""}","{""ImportId"":""QID36_TEXT""}","{""ImportId"":""QID41""}","{""ImportId"":""QID42_TEXT""}","{""ImportId"":""QID55""}","{""ImportId"":""QID56_TEXT""}","{""ImportId"":""QID43""}","{""ImportId"":""QID44_TEXT""}","{""ImportId"":""QID45""}","{""ImportId"":""QID46_TEXT""}","{""ImportId"":""QID47""}","{""ImportId"":""QID48_TEXT""}","{""ImportId"":""QID49""}","{""ImportId"":""QID50_TEXT""}","{""ImportId"":""QID59""}","{""ImportId"":""QID60_TEXT""}","{""ImportId"":""QID37""}","{""ImportId"":""QID38_TEXT""}","{""ImportId"":""QID39""}","{""ImportId"":""QID40_TEXT""}","{""ImportId"":""QID51""}","{""ImportId"":""QID52_TEXT""}","{""ImportId"":""QID53""}","{""ImportId"":""QID54_TEXT""}","{""ImportId"":""QID57""}","{""ImportId"":""QID58_TEXT""}","{""ImportId"":""QID61""}","{""ImportId"":""QID62_TEXT""}","{""ImportId"":""QID63""}","{""ImportId"":""QID64""}","{""ImportId"":""QID65_TEXT""}","{""ImportId"":""QID66""}","{""ImportId"":""QID67""}","{""ImportId"":""QID34_TEXT_a321ad1911be41dcb974e737Topics""}"
10/20/17 15:54,10/20/17 16:09,0,159.240.11.70,100,930,1,10/20/17 16:09,R_2qmjdeipW6UFb5q,,,,,41.04150391,-76.65070343,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,a,4,a,5,a,3,a,3,a,1,2,1,6,2,
10/20/17 19:09,10/20/17 19:11,0,107.77.235.111,100,95,1,10/20/17 19:11,R_2DOaSFNbbH0Krco,,,,,33.74899292,-84.38800049,anonymous,EN,,,,,,,,,,,,,,,,,,,,,5,They need food to live,5,It is a great plan for employees of the company.,2,They may not want to upgrade,4,They should get the payments ,4,It is the best,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,25,4,3,
10/20/17 19:09,10/20/17 19:12,0,24.179.40.62,100,153,1,10/20/17 19:12,R_1hX67OVHkxlNhOG,,,,,32.90609741,-85.93699646,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,It gives an appropriate level of O2 for the babies to keep them in optimal range.,4,It's helping others that need help.,4,It would help provide incentive to get a job while getting paid.,4,It gives the employees free chance to sign up for something the CEO wishes to do.,3,It would be annoying but understandable about the advertisements. ,1,3,26,4,3,
10/20/17 19:10,10/20/17 19:13,0,138.128.246.205,100,214,1,10/20/17 19:13,R_3G8shYKjFSgKVOX,,,,,40.73910522,-73.98259735,anonymous,EN,,,,,,,,,,,2,some what inappropriate,2,somewhat inappropriate,2,very appropriade,5,very appropriate,5,very appropriate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,22,2,2,
10/20/17 19:10,10/20/17 19:14,0,98.4.192.109,100,240,1,10/20/17 19:14,R_3EKWg2EqIdj9pBx,,,,,42.83560181,-78.74839783,anonymous,EN,,,,,,,,,,,4,"It is only appropriate because of the major shortage of healthcare workers. However, one year wouldnt be enough time to learn everything that needs to be known for that job.",4,I wouldnt like getting a card like this but it could be useful to people. The coupons for things that are needed is a nice touch.,5,"An animal could provide a good amount of meat, milk, or could be sold so the families could get money. He was very generous by doing this.",4,"The customers wont like it and therefore he may lose customers. However from a business standpoint, it is necessary to add more ads.",5,It isnt a different cost or anything and it is basically the same thing. There is no difference in either drug he prescribes to patients.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,28,2,2,
10/20/17 19:09,10/20/17 19:15,0,206.74.160.34,100,329,1,10/20/17 19:15,R_1jZFs5x1JKyfeln,,,,,32.80099487,-79.99690247,anonymous,EN,,,,,,,,,,,5,It seems that a health assistant would provide knowledge and access to the few doctors and nurses to the under served members of the community.,4,This seems like a novel idea and not very offensive.,3,"It seems that a piece of livestock would be an helpful gift, however it is not stated if members of this country have the resources to feed and house livestock.",4,The service is free therefore they have a right to run advertisements without permission from users.,4,There is no stated difference in the drugs so choosing one seems appropriate.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,39,4,3,
10/20/17 19:10,10/20/17 19:15,0,50.27.214.213,100,273,1,10/20/17 19:15,R_1QnNFEgrcNUkYkT,,,,,39.79449463,-94.80419922,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,I think this would help as longer hours could cause a decline in job performance the longer the shift is.,4,I think overall this takes care of the patient best.,3,I think more input should be taken into account before some kind of decision is made.,3,I think if anything this makes it worse as there are less options to invest into.,4,I think this would help with teachers mentalities and help teach students more efficiently ,,,,,,,,,,,,,,,,,,,,,1,3,29,4,4,
10/20/17 19:09,10/20/17 19:15,0,99.89.112.21,100,321,1,10/20/17 19:15,R_1HjAclCI4vlMua8,,,,,38.65010071,-121.2534027,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,The goal is to save the premature babies and give them a chance at life.,5,I love helping out my own community and this would be great for the people that really want or need the help.  Being trained in something that they love. The money would benefit them.,5,Great form of encouragement and in the end I believe these people would do well.,1,I feel the person should be given their own choice on to join or not.  If you automatically enroll them and they might feel obligated when they really don't want it.,5,That is much better than other music companies that do it after 3 songs.  Very annoying.,2,3,55,3,1,
