pid,cond,condLabel,dv,dv_binary,FreeResponse,Duration,ResponseId,PlantFood,PlantFood_Correct,GenesAnswer,GenesAnswer_Correct,Earth,Earth_Correct,Radioact,Radioact_Correct,Lasers,Lasers_Correct,Electrons,Electrons_Correct,Continents,Continents_Correct,Gender,Gender_Correct,Antibiotics,Antibiotics_Correct,degree,Degree_spec,ScienceLitSummed,STEMdegree,God,Intuition,ScienceBelief,ScienceBelief_Reverse,Sex,SexBinary1Male,Race/Ethnicity,RaceBinary1White,Age,AgeBinary1Old,Education,EducationBinary1Degree,Income,IncomeBinary1HighInc,IntuitionScore_ByHand,ScienceLitScore,RepeatTurkerLabelCode,,,,,,,,,,,,
1,xA5,Charity.Roof,4,0,Perhaps they don't need a new roof? What if they rent and don't own? Are they still able to receive services?,139,R_214W5A5mMdOtsXL,2,1,1,1,1,1,2,1,2,1,2,0,1,1,1,1,1,0,2,,7,0,1,1,5,1,2,0,3,1,32,0,3,0,5,1,3,7,0,,,,,,,,,,,,
2,xAB1,Drug.AB,2,1,"He is using FDA-approved medicines, which is good.  However, in a year, he will decide which to give someone, whether or not they might respond better to another medicine.",154,R_1OV1E344htK9xMJ,2,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,2,1,2,,9,0,5,4,4,2,1,1,3,1,43,1,6,1,6,1,11,9,0,,,,,,,,,,,,
3,xB1,Drug.B,4,0,I feel that it is somewhat appropriate since he is recommending a product that is affordable for most of his patients and doesn't have that many side effects. I don't feel that it is very appropriate since he isn't recommending other medications as well.,182,R_1BYoeEgpLCug2xD,2,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,2,1,1,Mathematics and biology.,9,1,1,1,5,1,1,1,3,1,23,0,4,1,2,0,3,9,0,,,,,,,,,,,,
4,xB3,Funds.Highlight,5,0,"He is giving his workers the tools to save. If the company offers it, there is nothing wrong with publicizing it to the workers.",154,R_1NfABPj8EUE4gvc,2,1,1,1,1,1,2,1,1,0,1,1,1,1,2,0,1,0,2,,6,0,3,2,4,2,1,1,3,1,21,0,4,1,6,1,7,6,0,,,,,,,,,,,,
5,xA6,Recruit.Social,5,0,"Because they are doing what they can to help people. With such a low amount of people as is, this will add to the people to help others",130,R_2zl5kXZDGmXOku0,2,1,1,1,1,1,2,1,1,0,2,0,1,1,1,1,2,1,2,,7,0,5,5,1,5,2,0,3,1,24,0,3,0,2,0,15,7,0,,,,,,,,,,,,
6,xB5,Charity.Train,5,0,"Rather than just giving money as a temporary solution, the funds are being invested in the skills of the adults so that they can provide more for their country and families.  This isn't a quick fix, but it's a more efficient one.",158,R_3PRYGLx586srQTy,2,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,2,1,1,Computer Science,9,1,4,2,5,1,1,1,3,1,33,0,4,1,6,1,7,9,0,,,,,,,,,,,,
7,xAB6,Recruit.SC,4,0,It seems like it would be very beneficial for the country's citizens.,160,R_wSjPNTPPHgVcFy1,2,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,2,1,2,,9,0,3,2,4,2,1,1,3,1,27,0,5,1,2,0,7,9,0,,,,,,,,,,,,
8,xB4,Teacher.Breaks,2,1,Giving teachers extra time off will do nothing to help the students do a better job. He should have thought of ways to provide in-service that gave teachers better skills so they were better teachers.,233,R_UtMLFtSpy9tWe0V,1,0,1,1,1,1,2,1,1,0,1,1,1,1,1,1,2,1,2,na,7,0,3,3,4,2,1,1,3,1,72,1,4,1,3,0,8,7,0,,,,,,,,,,,,
9,xAB3,Funds.MH,5,0,One of the options expands upon the other as a means to see if more choice leads to greater participationâ€š it is a test on an expansion and does not restrict what is currently available.,206,R_3GvMb5QUypuL4aR,2,1,1,1,1,1,2,1,2,1,1,1,1,1,2,0,2,1,2,,8,0,1,2,3,3,2,0,4,0,51,1,3,0,5,1,6,8,0,,,,,,,,,,,,
10,xAB4,Teacher.BoBr,5,0,"It is a good idea for a test. A happier teacher will be more likely to work harder with the students. If you allow the teachers to choose which side they would like to be on they may all just choose the money, everyone wants more money. More vacation time each year may have a better effect on the teacher than more money.",178,R_1P7vTmSxO8SELQl,2,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,2,1,2,,9,0,1,1,5,1,1,1,3,1,28,0,2,0,4,1,3,9,0,,,,,,,,,,,,
11,xAB5,Charity.RT,1,1,I am very skeptical that a sturdy roof is more impactful than additional training.,270,R_1KetBIomvDVfVNy,2,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,2,1,2,,9,0,1,1,5,1,1,1,3,1,41,1,4,1,6,1,3,9,0,,,,,,,,,,,,
12,xA3,Funds.More,1,1,it is very appropriate for a CEO to do this. It is good for his employee's,174,R_1Oiqhdk95XpJca2,2,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,0,2,,7,0,3,2,5,1,2,0,3,1,52,1,2,0,2,0,6,7,0,,,,,,,,,,,,
13,xAB6,Recruit.SC,4,0,It appeals to both segments of duty and honor.  And the second to recognize this could become a rewarding career.,190,R_DuYRqNZIBG1nAml,2,1,1,1,1,1,2,1,2,1,1,1,1,1,2,0,1,0,2,,7,0,5,4,4,2,1,1,3,1,45,1,4,1,2,0,11,7,0,,,,,,,,,,,,
14,xAB7,Income.AU,4,0,I can see the reasoning behind wanting to assist those who have been unemployed but may backfire in the end because people may way till month 6 to find a job,225,R_3HqufAKBjpNb8FL,2,1,1,1,1,1,1,0,2,1,1,1,1,1,1,1,2,1,2,,8,0,4,2,4,2,2,0,3,1,46,1,3,0,4,1,8,8,0,,,,,,,,,,,,
15,xA4,Teacher.Bonus,1,1,I feel like teachers are not paid nearly enough and having a yearly bonus would make them feel more at ease and happy which would lead to increased productivity.,162,R_0SZ8wKNV84Iqwk9,2,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,2,1,2,,8,0,5,5,3,3,2,0,5,0,33,0,3,0,3,0,13,8,0,,,,,,,,,,,,
16,xAB5,Charity.RT,4,0,he is offering 2 types of assistance to see which will benefit the people best,147,R_1rxLDrccvHn1a0S,2,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,2,1,2,,8,0,5,5,4,2,2,0,3,1,40,1,6,1,2,0,12,8,0,,,,,,,,,,,,
17,xB6,Recruit.Career,5,0,It would be a great benefit to citizens and their health.,208,R_21yn4cxMmK5gmuz,2,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,2,1,2,,9,0,5,5,4,2,2,0,3,1,56,1,3,0,2,0,12,9,0,,,,,,,,,,,,
18,xA7,Income.All,4,0,Social welfare is an important part of government service. But this government is attempting to tie aid and responsibility together. The goal is not only to provide for minimum human requirements but to also encourage behavior which is beneficial to society as a whole.,263,R_3jW0oYXSihaAGZH,2,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,2,1,2,,9,0,3,2,5,1,1,1,3,1,60,1,4,1,1,0,6,9,0,,,,,,,,,,,,
19,xAB4,Teacher.BoBr,2,1,Experimenting on the lives of students is not appropriate,201,R_1eOHriT0KUahOye,2,1,1,1,1,1,2,1,2,1,1,1,1,1,2,0,2,1,2,,8,0,3,2,4,2,1,1,3,1,53,1,4,1,6,1,7,8,0,,,,,,,,,,,,
20,xA2,DrugTeach.A,4,0,Both drugs are the same and patients can tolerate the side effects,129,R_2ATOB2CnIHip8If,2,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,2,1,2,,9,0,4,4,4,2,2,0,"2,4",0,22,0,3,0,2,0,10,9,0,,,,,,,,,,,,
21,xAB2,DrugTeach.AB,5,0,I chose appropriate because the drugs are equally effective either way,311,R_2BgGxvqpw4UBopd,1,0,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,0,1,Computer Science,6,1,3,3,3,3,2,0,3,1,28,0,4,1,3,0,9,6,0,,,,,,,,,,,,
22,xB6,Recruit.Career,2,1,"While it could be helpful, I don't think one year training is any where near enough training to be the frontline of healthcare for people.  Maybe, along with a NP or a doctor or at least an RN, but not on their own.",197,R_2V3ePyeQRpnx3px,2,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,2,1,2,,9,0,4,1,5,1,2,0,3,1,61,1,4,1,4,1,6,9,0,,,,,,,,,,,,
23,xA6,Recruit.Social,4,0,I think its good because its always nice to help poor nations. The people that live there need a lot of help so its nice that this is being added.,125,R_00Pl6KmubfexLbP,2,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,2,1,2,,9,0,3,4,2,4,2,0,3,1,26,0,4,1,3,0,11,9,0,,,,,,,,,,,,
24,xA5,Charity.Roof,2,1,seems to me they would need food and basics more,223,R_Zk27XUNJ95RRjlD,2,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,2,1,2,,9,0,1,2,4,2,2,0,3,1,59,1,3,0,2,0,5,9,0,,,,,,,,,,,,
25,xAB1,Drug.AB,4,0,Because  Doctor Jones thinks of two different ways to provide good treatment to his patients.,263,R_1MLKUX89GjP8jS4,2,1,2,0,1,1,1,0,1,0,1,1,2,0,1,1,2,1,2,,5,0,5,4,4,2,2,0,3,1,24,0,2,0,2,0,11,5,0,,,,,,,,,,,,
