,ID,Time Started,Time Finished,dv,free_response,condition,raw_condition,polarity,Gender,Race,Age,Education,Income,duration,numerical_dv
0,-1711551790,5/2/18 17:58,5/2/18 17:59,Very appropriate,Because it seems like he would do what's in his patients best interest,a,a,reverse,female,white,25 - 34,vocational_technical_college,lower_i,23,5
1,-200162575,5/2/18 18:02,5/2/18 18:02,Very appropriate,It seems like dr. Jones cares about his patients with high blood pressure and the treatment they receive for it.,a,a,reverse,female,latino,25 - 34,postgraduate,middle_i,26,5
2,150165022,5/2/18 18:02,5/2/18 18:03,Somewhat appropriate,it might be effective. if it’s approved,a,a,reverse,female,asian,25 - 34,university,lower_ii,40,4
3,-1841783706,5/2/18 18:01,5/2/18 18:02,Somewhat appropriate,It sounds like bother medications are simular so it doesn't matter which is given. It is dr. Choice if he wants to use a he will because a and b are almost or are identical.,a,a,reverse,female,white,35 - 44,university,lower_ii,78,4
4,581819893,5/2/18 18:04,5/2/18 18:05,Very appropriate,Because more medicines need to be approved for the Americans.,a,a,reverse,male,white,25 - 34,university,high_i,26,5
5,-401101727,5/2/18 18:00,5/2/18 18:01,Very appropriate,He is trying to provide thw best care he can. It sounds like both drugs are equally effective and safe.,a,a,reverse,female,white,35 - 44,university,high_i,32,5
6,825373983,5/2/18 18:03,5/2/18 18:03,Somewhat inappropriate,Cdtko bc d sch have fg jdc I don't now i am praying i love it,a,a,reverse,female,white,25 - 34,high_school,prefer_not_to_say,14,2
7,-1306359931,5/2/18 18:03,5/2/18 18:04,Very appropriate,He has the right to say what he wants and how he feels. No one should tell him what he should and shouldn’t say,a,a,reverse,female,white,25 - 34,vocational_technical_college,lower_ii,29,5
8,-1268173348,5/2/18 18:05,5/2/18 18:05,Very appropriate,Important,a,a,reverse,male,arab,45 - 54,postgraduate,prefer_not_to_say,29,5
9,-1962509191,5/2/18 18:16,5/2/18 18:16,Very appropriate,I chose the the option I chose because if it’s a approved that mean it’s appropriate,a,a,reverse,male,black,18 - 24,university,lower_i,44,5
10,2111303223,5/2/18 18:00,5/2/18 18:00,Neither inappropriate nor appropriate,Na,a,a,reverse,male,hispanic,25 - 34,high_school,lower_ii,5,3
11,1455637329,5/2/18 18:01,5/2/18 18:01,Very appropriate,Because it sounds like me,a,a,reverse,female,white,18 - 24,high_school,lower_i,18,5
12,-2102955237,5/2/18 18:03,5/2/18 18:03,Very appropriate,Excited,a,a,reverse,female,white,25 - 34,high_school,lower_i,5,5
13,227899559,5/2/18 18:00,5/2/18 18:01,Very inappropriate,Because we keep that shit  close,a,a,reverse,male,arab,35 - 44,postgraduate,high_ii,27,1
14,-875716684,5/2/18 18:12,5/2/18 18:13,Somewhat appropriate,Because both drugs are affordable and minimal side effect. Dr. Jones has a choice if he thinks he’s providing the best service,a,a,reverse,male,black,35 - 44,vocational_technical_college,middle_i,76,4
15,1800844517,5/2/18 18:00,5/2/18 18:00,Neither inappropriate nor appropriate,I know nothing abput this,a,a,reverse,female,white,45 - 54,high_school,lower_ii,14,3
16,2133029147,5/2/18 18:05,5/2/18 18:05,Somewhat appropriate,Bc why not,a,a,reverse,male,white,18 - 24,vocational_technical_college,lower_i,13,4
17,-586663696,5/2/18 17:59,5/2/18 18:00,Somewhat appropriate,Because he is deciding to treat his patients with the drug he prefers,a,a,reverse,female,white,25 - 34,high_school,lower_i,75,4
18,626169657,5/2/18 17:59,5/2/18 18:00,Somewhat appropriate,Because I chose it. Also it's a good idea.,a,a,reverse,female,hispanic,25 - 34,vocational_technical_college,prefer_not_to_say,88,4
19,1189129239,5/2/18 18:04,5/2/18 18:05,Neither inappropriate nor appropriate,"There's not enough information in the example to give a good response. A doctor should give options but since it seems other patients can manage it, it's not a bad option. Just not enough information.",a,a,reverse,female,white,25 - 34,high_school,lower_i,53,3
20,207606079,5/2/18 18:01,5/2/18 18:03,Somewhat inappropriate,"I feel the patients should stay on the same medication they've been taking, not depending on who they see.",a,a,reverse,female,white,45 - 54,high_school,lower_i,102,2
21,-858481236,5/2/18 18:04,5/2/18 18:04,Very appropriate,He seemed concerned about the patients wellbeing,a,a,reverse,female,white,35 - 44,university,high_ii,18,5
22,1981379659,5/2/18 18:00,5/2/18 18:00,Somewhat appropriate,Because he chose a drug that was affordable with little effects.,a,a,reverse,female,white,18 - 24,university,lower_i,21,4
23,-823138836,5/2/18 18:01,5/2/18 18:02,Somewhat appropriate,If they can stand the side effects it's fine.,a,a,reverse,male,hispanic,18 - 24,university,lower_i,44,4
24,1864764670,5/2/18 18:15,5/2/18 18:15,Neither inappropriate nor appropriate,I'm not sure,a,a,reverse,male,other,35 - 44,high_school,lower_ii,12,3
