pid,cond,condLabel,dv,dv_binary,FreeResponse,Duration,ResponseId,PlantFood,PlantFood_Correct,GenesAnswer,GenesAnswer_Correct,Earth,Earth_Correct,Radioact,Radioact_Correct,Lasers,Lasers_Correct,Electrons,Electrons_Correct,Continents,Continents_Correct,Gender,Gender_Correct,Antibiotics,Antibiotics_Correct,degree,Degree_spec,ScienceLitSummed,STEMdegree,God,Intuition,ScienceBelief,ScienceBelief_Reverse,Sex,SexBinary1Male,Race/Ethnicity,RaceBinary1White,Age,AgeBinary1Old,Education,EducationBinary1Degree,Income,IncomeBinary1HighInc,IntuitionScore_ByHand,ScienceLitScore,RepeatTurkerLabelCode,MarkedForExclusion
1,xbpl,bp_long,4,0,It feels like the director's idea will help improve these procedures in the future. I think it's worth it to improve the safety of the treatments in the long run.,654,R_0CmGTrcvAPEIUWB,2,1,1,1,1,1,2,1,2,1,2,0,1,1,1,1,2,1,2,,8,0,1,1,5,1,1,1,2,0,22,0,3,0,2,0,3,8,0,0
2,xbpl,bp_long,5,0,I think because both doctors will have access to the information it is appropriate to test which method works better.  There doesn't seem to be any actual risk involved. ,255,R_0lEHoIHWxfopoAx,2,1,1,1,1,1,2,1,2,1,2,0,1,1,1,1,2,1,2,,8,0,4,2,4,2,2,0,3,1,39,1,4,1,4,1,8,8,0,0
3,xbps,bp_short,5,0,"I think seeing which one is more effective might help, and if they are both effective, ensuring that both policies are enacted is fine.",147,R_0ok0W3QuC4tAtln,2,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,1,0,2,,8,0,1,1,5,1,1,1,3,1,30,0,6,1,3,0,3,8,0,0
4,badge,badge,2,1,"If the doctor is performing a treatment, he or she will not be able to check the badge for accuracy. The step will only contaminate the procedure and whatever else.It doesn't make sense if to have the steps on the doctor while he or she is performing the treatment. ",410,R_10IYMf1KYPHugpt,2,1,1,1,1,1,1,0,1,0,2,0,1,1,2,0,1,0,2,,4,0,1,1,4,2,2,0,4,0,36,1,3,0,2,0,4,4,0,0
5,xbps,bp_short,5,0,It will help doctors when they are doing the procedure.,169,R_10qtJDwBqTAtruM,2,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,2,1,2,,9,0,5,4,5,1,2,0,3,1,66,1,4,1,2,0,10,9,0,0
6,poster,poster,5,0,There is nothing wrong with having as many precautions as possible. Having a reminder may help prevent a tragedy.,108,R_10VKqW5UyC072qF,2,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,2,1,2,,8,0,2,1,5,1,1,1,3,1,35,1,4,1,4,1,4,8,0,0
7,xbpl,bp_long,5,0,Nothing wrong with trying 2 different approaches to see which works better. Its the best way to figure out whats working,313,R_115gRcgsLjmMaX0,2,1,1,1,1,1,2,1,2,1,2,0,1,1,1,1,2,1,2,,8,0,1,1,5,1,1,1,3,1,42,1,2,0,2,0,3,8,0,0
8,poster,poster,4,0,"I think it would help to remember all the protocol to prevent infection, but it doesn't 100% mean infection will not occur. ",271,R_12EXkLUmFtxbUn1,2,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,2,1,2,,9,0,5,3,5,1,2,0,3,1,41,1,4,1,4,1,9,9,0,0
9,xbps,bp_short,2,1,A trained doctor should know already the precautionary measures when aplicating such a medical procedure. ,254,R_12hhEU85FX609PX,2,1,1,1,1,1,2,1,2,1,2,0,1,1,2,0,1,0,2,,6,0,5,2,4,2,1,1,3,1,40,1,2,0,3,0,9,6,0,0
10,poster,poster,4,0,"The decision seems more beneficial than not having any posters with directions. However, it seems that more training would be needed instead of just a poster on the wall with instructions on how to prevent infections. Especially since it is such a high risk action. ",222,R_12hXD93DuyI1E31,2,1,1,1,1,1,2,1,2,1,2,0,1,1,2,0,2,1,2,,7,0,4,2,4,2,1,1,3,1,24,0,4,1,3,0,8,7,0,0
11,badge,badge,1,1,"It's unlikely a doctor is going to notice his or her own ID badge when operating (if, indeed, they even wear one on their outer clothing while performing surgery).  The badge would be one more item to sterilize, or more to the point, forget to sterilize.",287,R_1CkmAmW1QQYwZPw,2,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,2,1,2,,9,0,1,1,5,1,1,1,3,1,44,1,6,1,3,0,3,9,0,0
12,poster,poster,4,0,I think it would keep the precautions present in people's mind.  It would be a constant reminder which is good.,163,R_1ClwGakkt5m7l75,2,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,2,1,2,n/a,8,0,2,1,5,1,2,0,3,1,42,1,4,1,2,0,4,8,0,0
13,poster,poster,3,0,I have no opinion because I'm not the one with the medical degree.,335,R_1dK2x9qbKqSWkcq,2,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,2,1,2,,9,0,3,3,3,3,1,1,3,1,36,1,3,0,3,0,9,9,0,0
14,poster,poster,4,0,The director's heart is in the right place as he wants to reduce the number of infections. My only concern is that the doctor's will be distracted by the posters or take offense to their presence as an insult to their professionalism.,313,R_1DMYNGAQmsK6Vqc,2,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,2,1,2,,9,0,1,1,5,1,1,1,3,1,36,1,6,1,6,1,3,9,0,0
15,xbpl,bp_long,2,1,He's subjecting innocent patients to new methods without their consent.,139,R_1DTsX6P0S42Pc6Q,2,1,1,1,1,1,1,0,1,0,2,0,1,1,2,0,2,1,2,,5,0,5,4,3,3,1,1,4,0,23,0,4,1,6,1,12,5,0,0
16,xbps,bp_short,2,1,"The director's decision involves research with human subjects that doesn't obtain informed consent and therefore is inappropriate. (This study also didn't obtain informed consent, by the way.) However, I chose ""Somewhat inappropriate"" instead of ""Very inappropriate"" because the manipulation the director wants to use doesn't pose any additional risks to the patients other than the risks they will already be facing from the procedure. Instead, the manipulation only involves potential benefits (assuming that currently the procedure is done without any reminders of the safety steps -- incidentally, it would be a more controlled study if one group were treated exactly according to the status quo, i.e. no safety reminders, instead of both groups involving an experimental manipulation).",477,R_1DwJzGcUp667Xdp,2,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,2,1,1,"Cognitive neuroscience (undergrad), data science (grad)",9,1,2,1,5,1,2,0,3,1,25,0,5,1,5,1,4,9,0,0
17,poster,poster,3,0, The director thinks that these posters might help doctors remember all of the safety steps they were trained to take during the procedure.,56,R_1EifN3cIN0rqVwE,1,0,2,0,1,1,1,0,1,0,1,1,2,0,2,0,1,0,2,,2,0,3,3,4,2,1,1,3,1,28,0,3,0,3,0,8,2,0,0
18,xbps,bp_short,2,1,"If the hospital director thinks the ID badge provides better precautions, then he/she should require that instead of having a control group with the precautions hanging on the wall.",290,R_1ePQt7uBwBre2jG,2,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,2,1,2,,9,0,1,1,5,1,2,0,3,1,49,1,6,1,4,1,3,9,0,0
19,badge,badge,5,0,This in not invasive in any way.  The list could potentially help a doctor to remember all the steps and thus prevent an infection from happening.,431,R_1EWCQmYAzWJ6y3L,2,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,2,1,1,Biology,9,1,2,2,5,1,1,1,3,1,43,1,4,1,4,1,5,9,0,0
20,badge,badge,4,0,"I feel it is somewhat appropriate, depending upon how frequently the doctor performs this procedure.  If it is important to remember (and perform) all of the steps, then it is appropriate to have them clearly listed (and have that list accessible.)  Although some patients might feel uneasy if their doctor is referencing a ""cheat sheet"" on their badge, I believe most would prefer that safety (infection prevention) is maximized. ",498,R_1ewUhvm1kIfpNTh,2,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,2,1,2,,9,0,3,2,4,2,2,0,3,1,52,1,6,1,6,1,7,9,0,0
21,xbps,bp_short,4,0,helps remember ,76,R_1EXpfFykrOJrkA9,1,0,1,1,1,1,2,1,1,0,2,0,1,1,1,1,2,1,2,,6,0,1,1,5,1,1,1,3,1,20,0,3,0,3,0,3,6,0,0
22,xbpl,bp_long,2,1,I would think a doctor should know the steps instead of having to check his/her badge or a poster.,188,R_1f30QPfjOxYzZmJ,2,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,1,0,2,,8,0,3,3,4,2,2,0,3,1,33,0,4,1,6,1,8,8,0,0
23,xbps,bp_short,5,0,"The decision wouldn't risk the lives/wellness of any patients. He wouldn't be altering the procedures, he would be adding reminders on how to appropriately complete the procedure. Therefore, it would be very appropriate for him to do this.",161,R_1FaJSMJ1cJzGAS4,2,1,1,1,1,1,2,1,2,1,2,0,1,1,1,1,2,1,1,BS in Psychology,8,1,5,4,3,3,2,0,3,1,25,0,4,1,2,0,12,8,0,0
24,poster,poster,4,0,He is trying to prevent errors.,1448,R_1FDQL9NfhnNKInG,2,1,2,0,1,1,2,1,2,1,1,1,1,1,1,1,1,0,2,,7,0,5,4,5,1,1,1,2,0,48,1,6,1,2,0,10,7,0,0
25,badge,badge,2,1,I don't believe this would help in any way. The doctors already know what procedures to follow and success rate is probably a matter of skill. ,272,R_1ff2mN7GabG26vC,2,1,1,1,1,1,2,1,2,1,1,1,1,1,2,0,1,0,2,,7,0,4,2,3,3,1,1,3,1,32,0,4,1,2,0,9,7,0,0
26,poster,poster,4,0,"It can help to remind the Doctor. However, it might scare the patient but the benefit outweigh the costs.",200,R_1g7y5WBv67XBvz4,2,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,0,2,,7,0,4,5,2,4,1,1,3,1,43,1,4,1,1,0,13,7,0,0
27,xbps,bp_short,1,1,"If the doctor is capable, he should not need these reminders of a badge and posters. If I saw him looking at either one, I would not trust him. I would think that he does not know what he is doing. ",212,R_1gcCeN5vwgRiXGN,2,1,1,1,1,1,2,1,1,0,2,0,1,1,1,1,2,1,2,,7,0,5,5,2,4,2,0,3,1,56,1,5,1,3,0,14,7,0,0
28,poster,poster,5,0,It provides an easy to remember visual aid for this procedure. It may lower infections.,185,R_1GIjr0n4Wj2fDoI,2,1,1,1,1,1,2,1,2,1,2,0,1,1,2,0,1,0,2,,6,0,1,1,5,1,1,1,3,1,27,0,2,0,2,0,3,6,0,0
29,xbps,bp_short,1,1,Neither the badge nor the poster is likely to affect the doctor's performance. They already know these tips. ,353,R_1GVQ7hclOJYBpjv,2,1,1,1,1,1,2,1,1,0,1,1,2,0,1,1,2,1,1,Applied Behavior Analysis,7,1,2,2,5,1,2,0,3,1,48,1,4,1,2,0,5,7,0,0
