StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,badge,poster,bp_short,bp_long,Q30,plants,gene1,Earth,Radioact,Lasers,Electrons,Continents,Gender,Antibiotics,degree,Degree_spec,Sex,Race,Age,Edu,Income,God,Intuition,Science,SC0,SC1,Degree_spec - Topics
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,"Some medical treatments require a doctor to insert a plastic tube into a large vein. These treatments can save lives, but they can also lead to deadly infections. A hospital director comes up with an idea to reduce these infections. He decides to give each doctor who performs this procedure a new ID badge with a list of standard safety precautions for the procedure printed on the back. All doctors performing this procedure will then have this list attached to their clothing, so they can look at it while performing the procedure. The director thinks that these new badges might help doctors remember all of the safety steps they were trained to take during the procedure.

 

How appropriate is the director’s decision?","Some medical treatments require a doctor to insert a plastic tube into a large vein. These treatments can save lives, but they can also lead to deadly infections. A hospital director comes up with an idea to reduce these infections. He decides to hang a poster with a list of standard safety precautions for this procedure in all the rooms where it is performed. All doctors performing this procedure will then work in rooms with the poster on the wall, so they can look at it while performing the procedure. The director thinks that these posters might help doctors remember all of the safety steps they were trained to take during the procedure. How appropriate is the director’s decision?","Some medical treatments require a doctor to insert a plastic tube into a large vein. These treatments can save lives, but they can also lead to deadly infections. A hospital director comes up with two ideas to reduce these infections. He decides to run an experiment to compare these two ideas by randomly assigning patients to one of two groups. Half of the patients will be treated by a doctor who has received a new ID badge with a list of standard safety precautions for the procedure printed on the back. The other half will be treated in a room with a poster listing the same precautions hanging on the wall. The director thinks that these badges and posters might help doctors remember all of the safety steps they were trained to take during the procedure.
How appropriate is the director’s decision?","Some medical treatments require a doctor to insert a plastic tube into a large vein. These treatments can save lives, but they can also lead to deadly infections. A hospital director comes up with two ideas to reduce these infections. He decides to run an experiment to test compare two ideas by randomly assigning patients to one of two groups. Half of the patients will be treated by a doctor who has received a new ID badge with a list of standard safety precautions for the procedure printed on the back. The other half will be treated in a room with a poster listing the same precautions hanging on the wall. The director thinks that these badges and posters might help doctors remember all of the safety steps they were trained to take during the procedure. After a year, the director will check which option, badges or posters, is most effective, and make it standard for all patients and doctors throughout the entire hospital.
How appropriate is the director’s decision?","In a couple of sentences, please explain your response.","Two scientists want to know if a certain new plant food will increase plant growth. The first scientist wants to give the new food to 1,000 plants and see how many of them grow larger than they were before they received the new food. The second scientist wants to give the new food to 500 plants and give the normal, standard food to another 500 plants, and see whether the plants in the first group grow more than the plants in the second group. 

Which is the better way to test this plant food?","Does this mean that if their first child has the illness, the next three will not?",The center of the Earth is very hot.,All radioactivity is man-made.,Lasers work by focusing sound waves.,Electrons are smaller than atoms.,The continents have been moving their location for millions of years and will continue to move.,It is the father’s gene that decides whether the baby is a boy or a girl.,Antibiotics kill viruses as well as bacteria.,"Do you have a college or graduate school degree in any science or engineering field? If so, in which field(s)?","If you answered 'yes' to the question above, please enter the specific science or engineering field below.",What is your sex?,What race/ethnicity do you consider yourself? Check all that apply.,What is your age (in years)?,What is the highest level of education you have received?,What is the total annual income from everyone in your household?,God or some type of nonhuman entity is in control of the events in the universe.,"We believe too often in science, and not enough in feelings and faith.",Knowledge can best be obtained through scientific research.,Belief Q's,Science Knowledge,Degree_spec - Topics
"{""ImportId"":""startDate"",""timeZone"":""America/New_York""}","{""ImportId"":""endDate"",""timeZone"":""America/New_York""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/New_York""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID1""}","{""ImportId"":""QID2""}","{""ImportId"":""QID3""}","{""ImportId"":""QID5""}","{""ImportId"":""QID36_TEXT""}","{""ImportId"":""QID6""}","{""ImportId"":""QID7""}","{""ImportId"":""QID8""}","{""ImportId"":""QID9""}","{""ImportId"":""QID10""}","{""ImportId"":""QID13""}","{""ImportId"":""QID14""}","{""ImportId"":""QID15""}","{""ImportId"":""QID16""}","{""ImportId"":""QID17""}","{""ImportId"":""QID35_TEXT""}","{""ImportId"":""QID22""}","{""ImportId"":""QID25""}","{""ImportId"":""QID26_TEXT""}","{""ImportId"":""QID27""}","{""ImportId"":""QID28""}","{""ImportId"":""QID31""}","{""ImportId"":""QID32""}","{""ImportId"":""QID33""}","{""ImportId"":""SC_6DPgw0OGOEbkQdf""}","{""ImportId"":""SC_4IW7ytwf1SVZmU5""}","{""ImportId"":""QID35_TEXT_1c13a8e5af68400498abe98cTopics""}"
8/1/17 14:05,8/1/17 14:07,0,159.240.11.70,100,66,1,8/1/17 14:07,R_xxXrDHP4b8pUtCp,,,,,41.05299377,-76.4701004,anonymous,EN,,,,5,,1,1,1,1,1,1,1,1,1,1,a,1,2,a,2,1,1,1,1,7,5,
8/1/17 14:04,8/1/17 14:20,0,75.97.216.234,100,934,1,8/1/17 14:20,R_qDGpmq8iBqjEAwh,,,,,40.98120117,-76.95870209,anonymous,EN,,3,,,,1,1,1,1,1,1,1,1,1,1,philosophy,3,3,100,2,2,3,3,3,9,5,
8/1/17 14:21,8/1/17 14:23,0,75.97.216.234,100,133,1,8/1/17 14:23,R_3fVIf5j3IaCjGrC,,,,,40.98120117,-76.95870209,anonymous,EN,3,,,,,1,2,2,1,1,1,1,1,1,1,,1,4,1 billion,5,1,3,5,1,13,3,
8/1/17 14:22,8/1/17 14:26,0,159.240.11.70,100,191,1,8/1/17 14:26,R_2Yswb59rGv5AAnM,,,,,41.05299377,-76.4701004,anonymous,EN,,4,,,Fdf,2,2,1,2,2,1,1,2,2,1,,3,"1,2,5",77,1,2,2,2,2,8,7,
8/1/17 14:25,8/1/17 14:26,0,75.97.216.234,100,68,1,8/1/17 14:26,R_6fbUmY6GhJCUzex,,,,,40.98120117,-76.95870209,anonymous,EN,3,,,,meow,1,1,1,1,1,1,1,1,1,1,,1,"1,2,3,4,5",no,1,2,2,4,5,7,5,
8/1/17 14:58,8/1/17 14:59,0,159.240.11.70,100,33,1,8/1/17 14:59,R_2cixwwjQKDQqfgj,,,,,41.05299377,-76.4701004,anonymous,EN,,,,2,a,1,1,1,1,1,1,1,1,1,1,a,1,"1,2,3,4,5",a,1,1,1,1,1,7,5,
8/1/17 15:02,8/1/17 15:05,0,76.188.211.196,100,166,1,8/1/17 15:05,R_2UbgWYd6USUt8DM,,,,,41.45530701,-81.91790009,anonymous,EN,4,,,,"People should be able to identify the doctors.  Also, it is important for the doctor to remember the steps.  But, if he already knows the steps by heart it might now be necessary.",1,1,2,1,2,2,2,1,1,2,,2,3,26,4,3,3,2,3,8,3,
8/1/17 15:06,8/1/17 15:08,0,50.24.98.165,100,93,1,8/1/17 15:08,R_3qCBdZjLXlnnQCB,,,,,30.56700134,-96.28369904,anonymous,EN,,5,,,The doctor is being proactive.,2,2,1,2,2,1,1,2,2,2,,1,4,30,4,1,1,1,5,3,7,
8/1/17 15:06,8/1/17 15:10,0,75.63.168.24,100,228,1,8/1/17 15:10,R_w6G7Fw06HKxAhcR,,,,,32.77870178,-96.82170105,anonymous,EN,,,1,,"Patients should be given the same standard of care, not being unwitting subjects of an experiment. Test it in a controlled environment. ",2,1,1,2,2,1,1,2,2,2,,1,3,25,4,5,1,1,4,4,8,
8/1/17 15:09,8/1/17 15:11,0,52.119.107.179,100,99,1,8/1/17 15:11,R_qyleGzg6dEgCmg9,,,,,42.26679993,-83.85620117,anonymous,EN,4,,,,better be safe than sorry,2,1,1,2,2,2,1,2,1,1,cgt,1,4,23,3,3,3,4,3,10,6,
8/1/17 15:13,8/1/17 15:17,0,72.228.42.128,100,254,1,8/1/17 15:17,R_2fEeVgNlscJDNIX,,,,,43.00559998,-73.8628006,anonymous,EN,,4,,,"I think that it's appropriate because then a doctor can see it while he's performing the procedure. Additionally, I think it's appropriate because then other people can see it and know the risks as well. So it really helps both parties, although I think some people might get nervous to see it. ",2,1,1,2,1,2,1,2,2,2,n/a,2,3,25,4,3,4,2,5,7,6,
8/1/17 15:17,8/1/17 15:19,0,72.189.114.31,100,114,1,8/1/17 15:19,R_1QAf0jGOeMgdGLB,,,,,28.49130249,-81.40969849,anonymous,EN,,,,4,I feel that if the doctors are sanitary that that stops the infection problem. ,2,1,1,1,2,2,2,1,2,2,,2,3,24,3,2,4,2,4,8,6,
8/1/17 15:18,8/1/17 15:22,0,172.7.244.112,100,199,1,8/1/17 15:22,R_1mUyeAPLxiA6Zno,,,,,32.86590576,-97.21759796,anonymous,EN,5,,,,It helps them remember incase something goes wrong. A good refresher.,2,1,1,2,1,2,1,1,1,2,,1,3,29,3,4,1,1,5,3,6,
8/1/17 15:21,8/1/17 15:23,0,162.216.46.189,100,92,1,8/1/17 15:23,R_3O2m3g4e9kH9Nnj,,,,,33.03619385,-96.67120361,anonymous,EN,,,4,,Information is power.  The posters may help.,1,1,2,2,1,1,1,1,2,2,,1,3,33,4,2,2,3,4,7,6,
8/1/17 15:10,8/1/17 15:24,0,67.186.29.207,100,839,1,8/1/17 15:24,R_3Djvz9eHcOYVyCx,,,,,40.33560181,-79.55069733,anonymous,EN,,,5,,"I feel like if such a simple steps will keep things safer, then that makes the most sense to me. I agree with his choice to split the patients up into 2 groups.",2,1,1,2,2,1,1,1,2,2,,2,3,24,2,3,2,2,5,5,9,
8/1/17 15:25,8/1/17 15:27,0,67.186.29.207,100,129,1,8/1/17 15:27,R_rl3lveGhkq02gg1,,,,,40.33560181,-79.55069733,anonymous,EN,,4,,,This sounds like a great idea as a reminder to everyone to stay safe when doing the procedure. I feel like thats a really smart way to prevent infections.,2,1,1,2,2,1,1,2,2,1,Computer science,1,3,31,2,3,1,1,5,3,8,
8/1/17 15:27,8/1/17 15:32,0,67.248.219.167,100,296,1,8/1/17 15:32,R_8bHrsjjaM9AAjgB,,,,,43.30059814,-73.58589935,anonymous,EN,5,,,,I think it isn't a bad idea and would only help in performing all standard safety precautions.  The doctors performing the procedures could reference it if needed which seems like a great idea.,2,1,1,2,1,2,1,1,2,1,Computer Science,2,3,35,3,4,4,2,4,8,7,
8/1/17 15:35,8/1/17 15:37,0,72.222.140.43,100,119,1,8/1/17 15:37,R_3iy8P84GwYkXf36,,,,,33.53860474,-112.185997,anonymous,EN,,,,2,It seems like there's a better way to do this.,2,1,1,2,1,1,1,2,1,2,,2,1,23,4,2,2,2,4,6,6,
8/1/17 15:51,8/1/17 15:52,0,97.80.216.204,100,68,1,8/1/17 15:52,R_3O66BAYaX0KvSMe,,,,,34.53889465,-86.87329865,anonymous,EN,,,4,,It's how I feel deep in my heart,1,2,1,2,2,2,1,2,2,2,,2,3,22,3,1,2,2,4,6,5,
8/1/17 15:51,8/1/17 15:52,0,47.152.251.26,100,97,1,8/1/17 15:52,R_1eORJ5KDiuYSEfg,,,,,34.10440063,-117.0485992,anonymous,EN,,4,,,it seems okay and it wouldnt be too risky,1,1,1,1,1,2,1,2,2,1,,2,3,26,3,3,3,4,4,9,4,
8/1/17 15:51,8/1/17 15:52,0,173.28.59.235,100,102,1,8/1/17 15:52,R_UT0RcJJnX3HYCNH,,,,,41.91369629,-90.27110291,anonymous,EN,,5,,,The posters will teach people how to be safe,2,1,1,2,1,1,1,1,1,2,,1,3,26,6,3,2,3,5,6,7,
8/1/17 15:51,8/1/17 15:53,0,208.102.168.177,100,101,1,8/1/17 15:53,R_3NJulieNzCKYQFy,,,,,39.26890564,-84.26380157,anonymous,EN,4,,,,It couldn't hurt. It might help doctors who forget the appropriate procedures or just want to make sure they're doing everything right.,2,1,1,2,2,1,1,1,2,2,,2,3,25,4,4,1,1,5,3,9,
8/1/17 15:51,8/1/17 15:53,0,104.174.223.0,100,107,1,8/1/17 15:53,R_2EE8SZugChUKwMy,,,,,34.09739685,-117.9073029,anonymous,EN,4,,,,It gives the guidance. The doctors will have to obey the rules. There are no excuses,2,1,1,2,2,1,1,1,2,2,,1,4,28,4,2,1,1,5,3,9,
8/1/17 15:52,8/1/17 15:53,0,67.183.210.112,100,56,1,8/1/17 15:53,R_1EifN3cIN0rqVwE,,,,,47.84350586,-122.1957016,anonymous,EN,,3,,, The director thinks that these posters might help doctors remember all of the safety steps they were trained to take during the procedure.,1,2,1,1,1,1,2,2,1,2,,1,3,28,3,3,3,3,4,8,2,
8/1/17 15:51,8/1/17 15:53,0,76.73.246.22,100,107,1,8/1/17 15:53,R_31ZstxiBVnIXn6a,,,,,32.80099487,-79.99690247,anonymous,EN,,4,,,It seems like an okay thing to do.  Nothing wrong with a friendly reminder.,2,1,1,2,2,1,1,2,2,2,,1,3,32,4,2,3,1,5,5,8,
8/1/17 15:51,8/1/17 15:53,0,73.194.75.90,100,121,1,8/1/17 15:53,R_wXy92583OqUY73r,,,,,39.77960205,-75.05049896,anonymous,EN,,,,3,i think its interesting but concerned about the protocol and whetehr it is needlessly endangerig some patients,2,1,1,2,2,1,1,2,2,2,,1,3,40,6,6,1,1,4,4,8,
8/1/17 15:51,8/1/17 15:53,0,205.213.17.9,100,136,1,8/1/17 15:53,R_rirPbSVonXp8xS9,,,,,42.94070435,-88.29650116,anonymous,EN,,,2,,Seems like a guessing game not based on actual research.,2,1,1,2,1,1,1,2,2,2,,2,3,32,3,3,3,2,4,7,7,
