StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,badge,poster,bp_short,bp_long,free_response,sex,race,age,education,income,god,intuition,science,SC0,free_response - Topics
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,"Some medical treatments require a doctor to insert a plastic tube into a large vein. These treatments can save lives, but they can also lead to deadly infections. A hospital director wants to reduce these infections, so he decides to give each doctor who performs this procedure a new ID badge with a list of standard safety precautions for the procedure printed on the back. All patients having this procedure will then be treated by doctors with this list attached to their clothing.
How appropriate is the director's decision?","Some medical treatments require a doctor to insert a plastic tube into a large vein. These treatments can save lives, but they can also lead to deadly infections. A hospital director wants to reduce these infections, so he decides to hang a poster with a list of standard safety precautions for this procedure in all procedure rooms. All patients having this procedure will then be treated in rooms with this list posted on the wall.
How appropriate is the director's decision?","Some medical treatments require a doctor to insert a plastic tube into a large vein. These treatments can save lives, but they can also lead to deadly infections. A hospital director thinks of two different ways to reduce these infections, so he decides to run an experiment by randomly assigning patients to one of two test conditions. Half of patients will be treated by a doctor who has received a new ID badge with a list of standard safety precautions for the procedure printed on the back. The other half will be treated in a room with a poster listing the same precautions hanging on the wall.
 

How appropriate is the director's decision?","Some medical treatments require a doctor to insert a plastic tube into a large vein. These treatments can save lives, but they can also lead to deadly infections. A hospital director thinks of two different ways to reduce these infections, so he decides to run an experiment by randomly assigning patients to one of two test conditions. Half of patients will be treated by doctors who have received a new ID badge with a list of standard safety precautions for the procedure printed on the back. The other half will be treated in rooms with a poster listing the same precautions hanging on the wall. After a year, the director will have all patients treated in whichever way turns out to have the highest survival rate.
How appropriate is the director's decision?","In a couple of sentences, please tell us why you chose the option you chose.",What is your sex?,What race/ethnicity do you consider yourself? Check all that apply.,What is your age (in years)?,What is the highest level of education you have received?,What is the total annual income from everyone in your household?,God or some type of nonhuman entity is in control of the events in the universe.,"We believe too often in science, and not enough in feelings and faith.",Knowledge can best be obtained through scientific research.,int_scale,free_response - Topics
"{""ImportId"":""startDate"",""timeZone"":""America/New_York""}","{""ImportId"":""endDate"",""timeZone"":""America/New_York""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/New_York""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID12""}","{""ImportId"":""QID13""}","{""ImportId"":""QID14""}","{""ImportId"":""QID15""}","{""ImportId"":""QID8_TEXT""}","{""ImportId"":""QID21""}","{""ImportId"":""QID22""}","{""ImportId"":""QID23_TEXT""}","{""ImportId"":""QID24""}","{""ImportId"":""QID25""}","{""ImportId"":""QID27""}","{""ImportId"":""QID28""}","{""ImportId"":""QID29""}","{""ImportId"":""SC_5w0gg759QFutYSV""}","{""ImportId"":""QID8_TEXT_25cddb1178374775a19c03daTopics""}"
8/3/17 12:17,8/3/17 12:18,IP Address,70.112.174.247,100,59,TRUE,8/3/17 12:18,R_qWQHBN52QgaJUlz,,,,,30.3795929,-97.67569733,anonymous,EN,Somewhat inappropriate,,,,It seems reasonable. It could help people.,Male,White,33,Four-Year College Degree,"Less than $20,000",Somewhat disagree,Neither agree nor disagree,Somewhat disagree,9,Unknown
8/3/17 12:18,8/3/17 12:18,IP Address,75.130.53.62,100,47,TRUE,8/3/17 12:18,R_qRui6cMVuCwMHAJ,,,,,36.41990662,-82.11389923,anonymous,EN,,,,Neither inappropriate nor appropriate,I think research like this is necessary to determine what is more effective.,Male,White,27,Four-Year College Degree,"Between $40,000 and $60,000",Strongly disagree,Strongly disagree,Strongly agree,3,Unknown
8/3/17 12:17,8/3/17 12:19,IP Address,69.47.153.91,100,118,TRUE,8/3/17 12:19,R_3qESFQS9yEBoUHa,,,,,42.76269531,-84.44270325,anonymous,EN,,Very appropriate,,,It makes sense to warn people about the dangers if they don't follow basic precautions about the procedure. It makes more sense to have them clearly visible in the room it'll be done in where the doctor can go over it with them.,Male,White,35,Some College,"Less than $20,000",Strongly disagree,Strongly disagree,Strongly agree,3,Unknown
8/3/17 12:17,8/3/17 12:19,IP Address,47.196.86.209,100,103,TRUE,8/3/17 12:19,R_1mP2TWQhYkRgirg,,,,,27.95869446,-82.29499817,anonymous,EN,,,Somewhat appropriate,,I mean it seems like it was thought out well enough. But with only 1 paragraph of information I really don't have much more to say.,Male,White,30,High School Degree,"Between $20,000 and $40,000",Strongly disagree,Strongly disagree,Strongly agree,3,Unknown
8/3/17 12:18,8/3/17 12:19,IP Address,212.34.12.1,100,71,TRUE,8/3/17 12:19,R_2CD2E2TZt4Pn93R,,,,,31.94999695,35.93330383,anonymous,EN,,Very appropriate,,,It's a simple solution that makes doctors more cognizant of conseq of their actions,Female,White,24,Some Graduate School,"Less than $20,000",Somewhat agree,Somewhat disagree,Somewhat agree,8,Unknown
8/3/17 12:17,8/3/17 12:19,IP Address,108.60.208.194,100,143,TRUE,8/3/17 12:19,R_3O3yIWInqPGInDd,,,,,32.83389282,-96.77149963,anonymous,EN,,,,Neither inappropriate nor appropriate,"The setup might be OK, but a better way would be to run a test that doesn't have a consequnce to see which one makes you follow instructions better.  This one is on the border of ethics, as you are not purposefully denying or infecting any patients.",Male,White,47,Graduate Degree,"Between $40,000 and $60,000",Strongly disagree,Somewhat disagree,Strongly agree,4,Unknown
8/3/17 12:17,8/3/17 12:19,IP Address,173.26.139.49,100,121,TRUE,8/3/17 12:19,R_2pRBI36LBIafbKb,,,,,37.17019653,-93.32969666,anonymous,EN,Somewhat inappropriate,,,,II think that is a good idea but not sure a sick person would realize weather or not he/she is being treated by the badged person or not,Female,White,62,Some College,"Less than $20,000",Strongly agree,Strongly agree,Somewhat agree,12,Unknown
8/3/17 12:18,8/3/17 12:19,IP Address,64.121.102.112,100,74,TRUE,8/3/17 12:19,R_1FmjdrvYJi02uFP,,,,,40.5677948,-75.48280334,anonymous,EN,Somewhat appropriate,,,,You need to have doctors qualified to do the procedure. I still dont think it would cut back on infections though.,Male,White,25,Four-Year College Degree,"Between $40,000 and $60,000",Strongly disagree,Somewhat disagree,Somewhat agree,5,Unknown
8/3/17 12:18,8/3/17 12:20,IP Address,69.21.49.132,100,107,TRUE,8/3/17 12:20,R_2s1I8HXz7dtwkI8,,,,,37.34790039,-77.97239685,anonymous,EN,,,Somewhat appropriate,,As long as there is adequate training in the first place then I see nothing ethically wrong with trying this. It would not put anyone at undue risk and may help save lives in the future.,Male,White,50,Some College,"Between $20,000 and $40,000",Somewhat disagree,Strongly disagree,Somewhat agree,5,Unknown
