StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,xA,xB,ABS,ABL,free_response,sex,race,age,education,income,science,intuition,god,SCO
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,"Customers who sign up for an online dating service answer questions about their tastes and habits. The system enables its users to search and view every memberâ€™s profile and lets them contact whomever they want. The CEO of the dating service wants to improve customer satisfaction by suggesting potential matches to all users. He thinks of a way to do this. So, based on the idea that â€œopposites attract,â€ù - so long as they arenâ€™t too different - he decides to program his website to suggest users are a match when they answer 61-80% of questions in the same way.How appropriate is the CEO's decision?","Customers who sign up for an online dating service answer questions about their tastes and habits. The system enables its users to search and view every memberâ€™s profile and lets them contact whomever they want. The CEO of the dating service wants to improve customer satisfaction by suggesting potential matches to all users. He thinks of a way to do this. So, based on the idea that â€œbirds of a feather flock together,â€ù he decides to program his website to suggest users are a match when they answer 81-100% of questions in the same way.How appropriate is the CEO's decision?","Customers who sign up for an online dating service answer questions about their tastes and habits. The system enables its users to search and view every memberâ€™s profile and lets them contact whomever they want. The CEO of the dating service wants to improve customer satisfaction by suggesting potential matches to all users. He thinks of two ways to do this. So, he decides to run an experiment by randomly assigning customers to one of two test conditions. For half of users, based on the idea that â€œopposites attract,â€ù - so long as they arenâ€™t too different - he programs his website to suggest users are a match when they answer 61-80% of questions in the same way. For the other half of users, based on the idea that â€œbirds of a feather flock together,â€ù he programs his website to suggest users are a match when they answer 81-100% of questions in the same way.How appropriate is the CEO decision?","Customers who sign up for an online dating service answer questions about their tastes and habits. The system enables its users to search and view every memberâ€™s profile and lets them contact whomever they want. The CEO of the dating service wants to improve customer satisfaction by suggesting potential matches to all users. He thinks of two ways to do this. So, he decides to run an experiment by randomly assigning customers to one of two test conditions. For half of users, based on the idea that â€œopposites attract,â€ù - so long as they arenâ€™t too different - he programs his website to suggest users are a match when they answer 61-80% of questions in the same way. For the other half of users, based on the idea that â€œbirds of a feather flock together,â€ù he programs his website to suggest users are a match when they answer 81-100% of questions in the same way. After one year, all users will be matched according to whichever program results in greater customer satisfaction.How appropriate is the CEO's decision?","In a couple of sentences, please tell us why you chose the option you chose.",What is your sex?,What race/ethnicity do you consider yourself? Check all that apply.,What is your age (in years)?,What is the highest level of education you have received?,What is the total annual income from everyone in your household?,Knowledge can best be obtained through scientific research.,"We believe too often in science, and not enough in feelings and faith.",God or some type of nonhuman entity is in control of the events in the universe.,int_scale
"{""ImportId"":""startDate""}","{""ImportId"":""endDate""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID12""}","{""ImportId"":""QID13""}","{""ImportId"":""QID14""}","{""ImportId"":""QID15""}","{""ImportId"":""QID8_TEXT""}","{""ImportId"":""QID21""}","{""ImportId"":""QID22""}","{""ImportId"":""QID23_TEXT""}","{""ImportId"":""QID24""}","{""ImportId"":""QID25""}","{""ImportId"":""QID29""}","{""ImportId"":""QID28""}","{""ImportId"":""QID27""}","{""ImportId"":""SC_5w0gg759QFutYSV""}"
8/18/17 12:08,8/18/17 12:09,0,159.240.11.50,100,59,1,8/18/17 12:09,R_PwHMsDzzK3YFNmx,,,,,41.04150391,-76.65070343,anonymous,EN,1,,,,sa d,1,1,asd,1,2,1,3,2,10
8/18/17 12:09,8/18/17 12:10,0,159.240.11.50,100,33,1,8/18/17 12:10,R_cvi2FbuKpvhtAWJ,,,,,41.04150391,-76.65070343,anonymous,EN,,1,,,asd,2,2,xzc,2,1,2,3,2,9
8/18/17 12:13,8/18/17 12:13,0,159.240.11.50,100,14,1,8/18/17 12:13,R_3JqSfn8l0FOFzoT,,,,,41.04150391,-76.65070343,anonymous,EN,,,,2,asd,2,3,as,3,1,3,2,2,7
8/18/17 14:26,8/18/17 14:26,0,159.240.11.50,100,27,1,8/18/17 14:26,R_2dF7wR9D6X0PHni,,,,,41.04150391,-76.65070343,anonymous,EN,,,5,, asdfa sd,2,2,asd ,2,6,1,4,3,12
8/18/17 14:28,8/18/17 14:32,0,159.240.11.50,100,248,1,8/18/17 14:32,R_1hFpwHnjjkHLUwz,,,,,41.04150391,-76.65070343,anonymous,EN,,1,,,I AM GEOFFREY,1,3,32,6,3,5,1,1,3
8/18/17 14:32,8/18/17 14:33,0,159.240.11.50,100,80,1,8/18/17 14:33,R_1OAJYFUmcHoYYeD,,,,,41.04150391,-76.65070343,anonymous,EN,,,,1,DFG,3,1,231,3,3,4,2,2,6
8/18/17 16:02,8/18/17 16:03,0,159.240.11.50,100,53,1,8/18/17 16:03,R_22mqTycl6WoaUM0,,,,,41.04150391,-76.65070343,anonymous,EN,1,,,,asd ,3,1,asd,1,4,3,5,1,9
8/18/17 16:07,8/18/17 16:07,0,24.252.130.88,100,51,1,8/18/17 16:07,R_bJjDwC7Lud3zZg5,,,,,37.2519989,-79.97720337,anonymous,EN,,,,3,There was nothing unethical happening. The CEO was simply testing different strategies.,1,3,27,3,2,5,1,1,3
