pid,cond,condLabel,dv,dv_binary,FreeResponse,ResponseId,God,Intuition,ScienceBelief,ScienceBelief_Reverse,Sex,SexBinary1Male,Race/Ethnicity,RaceBinary1White,Age,AgeBinary1Old,Education,EducationBinary1Degree,Income,IncomeBinary1HighInc,IntuitionScore_ByHand,RepeatPollfishLabelCode,MarkedForExclusion,whoMarked,repeat_pollfish,reversal_pollfish,misunderstand_pollfish,nonsense_pollfish,pole_pollfish,poleOrderPollfish
1,xA,badge,5,0,simply i agree with doctor's decision,-1323711961,1,5,5,1,1,1,3,1,41,1,4,1,6,1,7,1,0,SA&WC,1,0,0,0,0.00,LoToHi
2,xA,badge,1,1,Because I think it's appropriate,2033769788,2,4,4,2,2,0,2,0,18,0,2,0,2,0,8,0,1,SA&WC,0,1,0,0,1.00,LoToHi
3,xA,badge,1,1,More secured,-1411358461,3,3,4,2,2,0,2,0,32,0,2,0,2,0,8,0,0,SA&WC,0,0,0,0,0.00,LoToHi
4,xA,badge,4,0,You Should Have The Procedure Memorized & Not Have To Read The Back Of Your Badge.. This May Scare Patients & Seem Like You Are Unaware Of What You Are Doing.,-674824960,3,5,4,2,2,0,1,0,22,0,2,0,1,0,10,0,1,SA&WC,0,1,0,0,1.00,LoToHi
5,xA,badge,1,1,Because he thinking of the better of the people.,-18564471,1,5,5,1,2,0,2,0,26,0,3,0,1,0,7,0,1,SA&WC,0,1,0,0,1.00,LoToHi
6,xA,badge,5,0,Because the batch will be a reminder to follow the right steps,1320900844,4,4,4,2,2,0,2,0,26,0,2,0,2,0,10,0,0,SA&WC,0,0,0,0,0.00,LoToHi
7,xA,badge,3,0,Because it seems worth the try.,1885099443,2,4,4,2,2,0,2,0,30,0,2,0,1,0,8,0,0,SA&WC,0,0,0,0,0.00,LoToHi
8,xA,badge,1,1,Because i think its an amazing new type of thing to do.,-1255560342,4,3,3,3,2,0,3,1,20,0,2,0,3,0,10,0,1,SA&WC,0,1,0,0,1.00,LoToHi
9,xA,badge,2,1,I feel like it's a small price to pay to reduce the amount of infections while still saving libes,1099341886,3,2,4,2,2,0,3,1,23,0,2,0,2,0,7,0,1,SA&WC,0,1,0,0,1.00,LoToHi
10,xA,badge,1,1,It seems like the safer route and then everyone would be on the same page with safety precautions. Even the patients would know more.,-655735656,5,4,5,1,2,0,3,1,27,0,2,0,-1,0,10,0,1,SA&WC,0,1,0,0,1.00,LoToHi
11,xA,badge,1,1,because it is good to know who is treating you . Also it's a good idea to science.,1482772796,5,1,1,5,2,0,1,0,34,1,2,0,1,0,11,0,1,SA&WC,0,1,0,0,1.00,LoToHi
12,xA,badge,1,1,Idk,-1523972522,4,4,4,2,1,1,3,1,25,0,3,0,1,0,10,0,0,SA&WC,0,0,0,0,0.00,LoToHi
13,xA,badge,1,1,Because it,798810913,5,5,5,1,1,1,5,0,24,0,4,1,7,1,11,0,0,SA&WC,0,0,0,0,0.00,LoToHi
14,xA,badge,4,0,My mother recently pasted away and was treated at kindred hospital for a year at the age of 88 and everything they did was so inadequate I feel as though they contributed to her escalation the resulted in death,-1222560563,2,2,4,2,2,0,5,0,48,1,2,0,1,0,6,0,0,SA&WC,0,0,0,0,0.00,LoToHi
15,xA,badge,4,0,Becuase he has to.,-823698429,3,3,3,3,2,0,2,0,52,1,2,0,1,0,9,0,0,SA&WC,0,0,0,0,0.00,LoToHi
16,xA,badge,1,1,for one their not using the real name if something bad happens their going by a different name as a doctor.,1798676326,1,2,5,1,2,0,3,1,35,1,2,0,2,0,4,0,0,SA&WC,0,0,0,0,0.00,LoToHi
17,xA,badge,3,0,That's my opinion,-1307218302,5,4,4,2,2,0,1,0,53,1,2,0,-1,0,11,0,0,SA&WC,0,0,0,0,0.00,LoToHi
18,xA,badge,1,1,Because it is,-155375161,4,4,4,2,2,0,3,1,27,0,2,0,1,0,10,0,0,SA&WC,0,0,0,0,0.00,LoToHi
19,xA,badge,3,0,Dont know,-567964601,5,5,3,3,2,0,2,0,36,1,2,0,2,0,13,0,0,SA&WC,0,0,0,0,0.00,LoToHi
20,xA,badge,5,0,"Its,very goog",765973022,4,2,4,2,1,1,1,0,16,0,2,0,2,0,8,0,0,SA&WC,0,0,0,0,0.00,LoToHi
21,xA,badge,4,0,Good,1478752104,2,2,4,2,2,0,4,0,19,0,2,0,3,0,6,1,0,SA&WC,1,0,0,0,0.00,LoToHi
22,xA,badge,4,0,Because its not something i pay attention to,-1737312300,2,3,3,3,2,0,2,0,22,0,2,0,1,0,8,0,0,SA&WC,0,0,0,0,0.00,LoToHi
23,xA,badge,5,0,Cause I will know,-1678405413,5,4,5,1,1,1,4,0,45,1,3,0,4,1,10,0,0,SA&WC,0,0,0,0,0.00,LoToHi
24,xA,badge,4,0,It is my opinion.,-529067837,3,4,4,2,2,0,3,1,25,0,2,0,1,0,9,0,0,SA&WC,0,0,0,0,0.00,LoToHi
25,xA,badge,5,0,Cause why not,-455559885,1,1,4,2,1,1,2,0,15,0,1,0,-1,0,4,0,0,SA&WC,0,0,0,0,0.00,LoToHi
26,xA,badge,4,0,Because that's my opinion,-1593038588,1,1,5,1,2,0,3,1,20,0,2,0,1,0,3,0,0,SA&WC,0,0,0,0,0.00,LoToHi
27,xA,badge,1,1,Because is ununopropiate,585576645,4,4,4,2,2,0,2,0,33,0,6,1,4,1,10,0,0,SA&WC,0,0,0,0,0.00,LoToHi
28,xA,badge,2,1,because is my opinion,232723093,3,5,5,1,2,0,2,0,24,0,4,1,5,1,9,0,0,SA&WC,0,0,0,0,0.00,LoToHi
29,xA,badge,2,1,It's per pressure,-1482347198,3,2,3,3,2,0,4,0,21,0,2,0,2,0,8,0,0,SA&WC,0,0,0,0,0.00,LoToHi
30,xA,badge,1,1,Because I said so,1310340751,3,4,3,3,1,1,3,1,19,0,2,0,2,0,10,0,0,SA&WC,0,0,0,0,0.00,LoToHi
31,xA,badge,4,0,Unsure and it is a bad question,2079466789,1,1,5,1,1,1,3,1,39,1,4,1,5,1,3,0,0,SA&WC,0,0,0,0,0.00,LoToHi
32,xA,badge,4,0,Well I'm not sure,-363037933,4,4,4,2,1,1,3,1,38,1,2,0,2,0,10,0,0,SA&WC,0,0,0,0,0.00,LoToHi
33,xA,badge,2,1,I don't know.,-2013740451,4,2,4,2,1,1,3,1,50,1,2,0,-1,0,8,1,0,SA&WC,1,0,0,0,0.00,LoToHi
34,xA,badge,1,1,Well reasoned and articulate,1976385598,3,3,3,3,1,1,-1,0,55,1,2,0,-1,0,9,0,1,SA&WC,0,1,0,0,1.00,LoToHi
35,xA,badge,5,0,The one that best fits.,330088304,3,4,4,2,2,0,5,0,42,1,2,0,2,0,9,0,0,SA&WC,0,0,0,0,0.00,LoToHi
36,xA,badge,3,0,"Im not a big believer of medicine, it has its ups and downs, it works and doesnt work at the same time.",1362470681,4,3,3,3,1,1,-1,0,17,0,2,0,-1,0,10,0,0,SA&WC,0,0,0,0,0.00,LoToHi
37,xA,badge,5,0,It's appropriate because it's letting them and the people know what it is all about.,888880285,4,4,4,2,1,1,2,0,22,0,6,1,-1,0,10,0,0,SA&WC,0,0,0,0,0.00,LoToHi
38,xA,badge,2,1,Because the doctor puts a large tube in the veins,1723047597,2,4,4,2,2,0,2,0,19,0,2,0,1,0,8,0,1,SA&WC,0,0,1,0,0.00,LoToHi
39,xA,badge,2,1,"Let's patients know what to expect, but many probably won't care to notice the effort",667018640,5,5,3,3,2,0,-1,0,22,0,2,0,-1,0,13,0,1,SA&WC,0,0,1,0,0.00,LoToHi
40,xA,badge,2,1,Very uncomfortable with tubes and painful,1556008736,4,4,4,2,1,1,4,0,30,0,4,1,2,0,10,1,1,SA&WC,2,0,1,0,0.00,LoToHi
41,xA,badge,5,0,I believe that people should be aware of who is operating on them. I would want to know if my doctor is qualified. It would make me feel better to see that they know the precautions.,1062609494,5,3,5,1,2,0,3,1,21,0,4,1,1,0,9,0,1,SA&WC,0,0,1,0,0.00,LoToHi
42,xA,badge,5,0,It then let's . patients know the doctors who have gone through proper training and protocol,-1661653624,3,5,3,3,1,1,3,1,43,1,2,0,2,0,11,0,1,SA&WC,0,0,1,0,0.00,LoToHi
43,xA,badge,1,1,They should be given a papflipt on the procedure before,1615163440,4,4,3,3,2,0,2,0,26,0,3,0,1,0,11,0,1,SA&WC,0,0,1,0,0.00,LoToHi
44,xA,badge,1,1,Because the doctor should tell the patients the precautions instead of making them read them themselves.,-591705392,5,5,4,2,2,0,3,1,23,0,2,0,1,0,12,0,1,SA&WC,0,0,1,0,0.00,LoToHi
45,xA,badge,4,0,because u need the doctor to be able to have the final decision,972178508,4,3,5,1,1,1,3,1,26,0,4,1,4,1,8,0,0,SA&WC,0,0,0,0,0.00,LoToHi
46,xA,badge,1,1,Becuz I think it should be kept private,-1235332202,3,3,3,3,2,0,2,0,27,0,3,0,1,0,9,0,1,SA&WC,0,0,1,0,0.00,LoToHi
47,xA,badge,3,0,Idk I didnt understand the question so I just picked this,-1903699028,3,5,3,3,2,0,2,0,24,0,1,0,1,0,11,1,1,SA&WC,1,0,1,0,0.00,LoToHi
48,xA,badge,5,0,Because patients deserve to know their treatment and that would be very visible. Also the doctor may need to refer back to it.,-1418508616,5,4,3,3,1,1,3,1,25,0,3,0,2,0,12,0,0,SA&WC,0,0,0,0,0.00,LoToHi
49,xA,badge,1,1,Change of id on patients,1598747155,5,3,4,2,1,1,1,0,15,0,4,1,1,0,10,0,1,SA&WC,0,0,1,0,0.00,LoToHi
50,xA,badge,4,0,Patients should know the procedures,548163348,3,3,4,2,2,0,2,0,24,0,3,0,1,0,8,0,1,SA&WC,0,0,1,0,0.00,LoToHi
51,xA,badge,5,0,The badge can ease any unease that a patient may have over the insertion of the tube.,115268391,1,1,5,1,2,0,5,0,26,0,4,1,3,0,3,0,1,SA&WC,0,0,1,0,0.00,LoToHi
52,xA,badge,2,1,Because they need to know how their being treated and whats okay and whats not.,-1773354375,3,3,4,2,2,0,2,0,33,0,2,0,1,0,8,0,1,SA&WC,0,0,1,0,0.00,LoToHi
53,xA,badge,1,1,Because that's unprofessional.,818150597,4,2,4,2,2,0,1,0,24,0,2,0,1,0,8,0,0,SA&WC,0,0,0,0,0.00,LoToHi
54,xA,badge,3,0,I think trying to figure out how to solve the problem is good but i need more details.,1759493005,3,3,4,2,2,0,5,0,38,1,2,0,4,1,8,0,0,SA&WC,0,0,0,0,0.00,LoToHi
55,xA,badge,4,0,because they there to help keep things goibg thecway it should,1818128163,5,3,3,3,1,1,3,1,29,0,2,0,1,0,11,0,0,SA&WC,0,0,0,0,0.00,LoToHi
56,xA,badge,5,0,He's reminding them of hospital policy and the right way to do this procedure. There's nothing wrong with that,-1643871977,5,5,4,2,2,0,3,1,27,0,3,0,1,0,12,0,0,SA&WC,0,0,0,0,0.00,LoToHi
57,xA,badge,5,0,"This ensures that all possible safety requirements and procedures are being set in place to prevent infection. If the doctors have the best instructions to avoid infections, they can do the best they can to help the patients be cured and avoid the risk of infection.",1622772244,3,3,4,2,2,0,3,1,22,0,4,1,5,1,8,0,0,SA&WC,0,0,0,0,0.00,LoToHi
58,xA,badge,4,0,Well director is trying to make sure safety rules precautions are followed. May sound scary but if it helps to lessen infections can be worth it.,2006180668,5,5,3,3,2,0,3,1,55,1,2,0,2,0,13,0,0,SA&WC,0,0,0,0,0.00,LoToHi
59,xA,badge,4,0,I don't see why you couldn't use something you had been trained to do.,-1348853279,3,2,4,2,2,0,3,1,35,1,2,0,2,0,7,0,0,SA&WC,0,0,0,0,0.00,LoToHi
