,ID,Time.Started,Time.Finished,OS,Country,Area,City,Provider,Gender,Age,Year.Of.Birth,Question.1,In.a.couple.of.sentences..please.tell.us.why.you.chose.the.option.you.chose.,God.or.some.type.of.nonhuman.entity.is.in.control.of.the.events.in.the.universe.,We.believe.too.often.in.science..and.not.enough.in.feelings.and.faith.,Knowledge.can.best.be.obtained.through.scientific.research.,Marital.Status,Number.of.children,Education,Employment.Status,Career,Race,Income,Musicfan,Productivity.Booster,Bookworm,Socialite,Traveler,Sportsfan,Gamer,Value.Shopper,Food.and.Dining.Lover,Entertainment.Enthusiast,Fashionista,ADID.IDFA
28,-2144420904,8/19/17 6:36,8/19/17 6:47,Android,US,Arizona,Mesa,T-Mobile,male,25 - 34,1987,Somewhat appropriate,"Well the safety issues with a person injecting themselves with no prior knowledge only a poster of instructions, but on the other hand people do this on a daily basis by themselves. A diabetic patient can use syringes to inject insulin, also drug atticts. So it wouldn't be that bad. The results will definitely render a clear score.",Neither disagree nor agree,Neither disagree nor agree,Agree,married,one,vocational_technical_college,employed_for_wages,retail,white,lower_ii,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,577e20c3-2bdc-4827-9fd5-d3bb4f5d996d
28,-2144420904,8/19/17 6:48,8/19/17 6:49,Android,US,Arizona,Mesa,T-Mobile,male,25 - 34,1987,Somewhat appropriate,It's a great way to determine the safest way to not get an infection.,Neither disagree nor agree,Neither disagree nor agree,Agree,married,one,vocational_technical_college,employed_for_wages,retail,white,lower_ii,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,577e20c3-2bdc-4827-9fd5-d3bb4f5d996d
17,-2138907328,8/19/17 6:47,8/19/17 6:47,Android,US,Colorado,Greeley,Verizon Wireless,male,35 - 44,1980,Very appropriate,A year long study should give accurate results.,Neither disagree nor agree,Strongly disagree,Strongly agree,single,four,high_school,employed_for_wages,manufacturing_other,hispanic,prefer_not_to_say,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,406f85e1-046d-486b-80c3-a308bd718865
86,-2126657510,8/19/17 7:06,8/19/17 7:06,Android,US,Michigan,West Branch,Searching for Service,male,25 - 34,1983,Very inappropriate,It's obvious. All things considered,Strongly agree,Strongly agree,Neither agree nor disagree,married,zero,vocational_technical_college,self_employed,arts_entertainment_or_recreation,prefer_not_to_say,lower_ii,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,b9100519-04cc-4ba8-936c-59fc7e3b9107
48,-2124385050,8/19/17 7:07,8/19/17 7:07,Android,US,Illinois,Elmwood Park,Verizon Wireless,male,25 - 34,1985,Very appropriate,It's important to know how to properly test the patient to avoid tragedy,Agree,Neither disagree nor agree,Strongly agree,single,one,university,other,unemployed,white,lower_ii,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,6f3fa79d-ff6e-4972-b2f5-68e7ae3799c7
61,-2123526064,8/20/17 17:48,8/20/17 17:49,Android,US,Missouri,St Louis,T-Mobile,male,25 - 34,1992,Somewhat inappropriate,Because he had a good decision,Strongly agree,Agree,Agree,living_with_partner,zero,university,military,education,black,middle_i,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,7ae32d4d-88c9-44ca-9292-c54c3db0c2b3
130,-2121842499,8/20/17 17:49,8/20/17 17:51,Android,US,California,Los Angeles,,female,25 - 34,1984,Neither inappropriate nor appropriate,"I don't see too much risk, but I don't see too much of the Dr trying to find ways to help.",Neither agree nor disagree,Disagree,Agree,married,two,university,employed_for_wages,health_care_and_social_assistance,white,middle_ii,,,,,,,,,,,,
32,-2114085775,8/19/17 6:47,8/19/17 6:47,Android,US,Alabama,Unknown,MetroPCS,female,18 - 24,1994,Somewhat appropriate,That would be unsanitary and could help cause infections.,Neither disagree nor agree,Strongly disagree,Strongly agree,single,one,high_school,homemaker,homemaker,white,lower_i,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,479e1a2f-f5e4-48b6-b0a7-0422f824ac3a
75,-2113247695,8/19/17 6:49,8/19/17 6:49,Android,US,Illinois,Chicago,Boost Mobile,male,18 - 24,1995,Very appropriate,It is just something I feel very strongly about since I was young,Strongly agree,Strongly agree,Strongly agree,widowed,zero,high_school,unable_to_work,unemployed,white,lower_i,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,acc712dd-8a37-40a7-8e5e-c040ca63457d
90,-2088199040,8/19/17 6:46,8/19/17 6:47,Android,US,Colorado,Pueblo,cricket,male,18 - 24,1993,Very appropriate,It very good,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,single,zero,high_school,unemployed_looking,unemployed,white,lower_ii,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,c9b86f32-e531-4aa0-94b5-e9313fcb3ae8
0,-2084272841,8/19/17 7:06,8/19/17 7:07,Android,US,Washington,Kennewick,MetroPCS,female,45 - 54,1972,Very inappropriate,Should have been talking with Dr you want to do,Strongly agree,Strongly agree,Strongly agree,married,six_or_more,high_school,employed_for_wages,transportation_and_warehousing,white,lower_i,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,020458e1-4f6e-4995-9b75-6b4cc26ced2e
1,-2084272841,8/19/17 7:06,8/19/17 7:06,Android,US,Washington,Kennewick,MetroPCS,female,45 - 54,1972,Neither appropriate nor inappropriate,IDK,Strongly disagree,Strongly disagree,Strongly disagree,married,six_or_more,high_school,employed_for_wages,transportation_and_warehousing,white,lower_i,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,020458e1-4f6e-4995-9b75-6b4cc26ced2e
97,-2074712417,8/19/17 6:47,8/19/17 6:49,Android,US,Kentucky,Mount Washington,LG,female,45 - 54,1966,Neither inappropriate nor appropriate,To each his own.some may like it others not,Strongly disagree,Strongly disagree,Agree,divorced,three,vocational_technical_college,unable_to_work,homemaker,white,lower_i,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,edbe6486-e300-4c9a-b45b-e2d16f3382a4
