pid,cond,condLabel,dv,dv_binary,FreeResponse,Duration,ResponseId,RepeatTurkerLabelCode
1,xB5,AV2.auto,5,0,I think that any of those actions should override the self driving feature.,,R_1BQTEYuLX1DHTjp,0
9,xA5,AV2.lever,5,0,I think that they should have that option in case of malfunction.,,R_23em2gQyaW2oPxH,1
14,xA5,AV2.lever,3,0,it felt right to me,,R_1jjO4BDIrmo7fCw,0
16,xB5,AV2.auto,5,0,This allows the most options in driving. It allows the human to take control in an emergency.,,R_3n6hPBrUZVtkLwc,1
23,xA5,AV2.lever,5,0,I think that it is always best to have a way to override a machine if possible. This decision would allow a human to correct an error that the car is trying to perform.,,R_3JI8jVcrh5ZDmRa,0
32,xB5,AV2.auto,5,0,It would make me feel safer to know that I could override the car if necessary,,R_3psdmnYQIQoui63,0
43,xB5,AV2.auto,5,0,Computers are not 100% reliable. It can't predict all the movements but human intuition can steer clear of things that may happen that cause harm to the driver or passengers.,,R_3kwecSwLo020qtJ,0
54,xA5,AV2.lever,1,1,because he is stupid!,,R_2e5cVgaYVbqSPV2,0
55,xA5,AV2.lever,4,0,I think  thats a  fantastic idea  as it  can be  very  dangerous  to put  all of  our  faith in  a machine .  This  shows maturity and responsibility,,R_2rj3MWOGFl0wXfS,0
56,xB5,AV2.auto,5,0,"Automation will be helpful, but sometimes human reactions are faster and process situations differently.  Self driving cars will be safer, but it is important that we still have the ability to control.",,R_Rgi1kTzwtqT2gff,0
64,xB5,AV2.auto,5,0,i chose very appropriate because a human should always have control over a car or machine. i don't want to own a car that i can't take control over.,,R_1pyXOzo2NNKHAea,0
66,xB5,AV2.auto,4,0,EVEN IF THE CAR IS SELF-DRIVING - A HUMAN NEEDS TO HAVE THE OPTION FOR TOTAL CONTROLL,,R_1JL5awu0N9eVFoQ,0
83,xA5,AV2.lever,3,0,Because this technology is so new the outcome of allowing the car to be self driven is not known so I dont know if this is an appropriate decision or not.,,R_2zvxpoUiwe0rkLF,0
88,xB5,AV2.auto,5,0,Well it would be a lot safer if you can override the system in case of emergency. I would be less likely to get in a car that i could not control in case i had to.,,R_x9DPzyUc7TrBmeJ,1
89,xA5,AV2.lever,5,0,it is more appropriate for the car to be controlled by human beings. We can not fully believe in a car driving system. It may happen that the system implemented in the car has problems then they should intervene to solve the problem and to avoid accidents,,R_1pYD8QTulIFMjlx,0
95,xB5,AV2.auto,5,0,the override option would make people feel safe and in control if the need happens.,,R_1loU4BxnGPZseUR,1
102,xA5,AV2.lever,5,0,"I think it's important to have some sort of override to the autonomy of the cars.  Also, knowing that there is a sense of control when you need it will give people peace of mind when riding in one of these vehicles.",,R_2xPi7TlT4QsIclg,0
103,xB5,AV2.auto,5,0,"If there happens to be computer error, then a person has to take control to prevent an accident",,R_12lpHd51AoLTdcJ,0
113,xA5,AV2.lever,5,0,"I think that until these cars are fully tested and we know more about them, having a human option to intervene is a safe idea.",,R_323eWniFbLJdjEZ,0
114,xB5,AV2.auto,3,0,it may give positive nor negative opinion of the people,,R_2e8CgOQKKPdjsGl,0
129,xB5,AV2.auto,5,0,We have been driving without self-mode and it is the reason why we have to take a drivers test. This should be a rule.,,R_2TBQfOAK3uL88we,0
130,xA5,AV2.lever,5,0,It allows people to use the safer self driving option while also allowing them to take control if they see the car is going the wrong way.,,R_2sckITudQPLvy2L,0
136,xA5,AV2.lever,4,0,I am not sure about the safety of self-driving cars.,,R_2fllPLVc9SjyguD,0
140,xB5,AV2.auto,5,0,I applaud the decision of the CEO. Self-driving cars still have the probabilities that something might go wrong with the car's system and knowing that a human can have as much control over the car if something goes wrong or the human thinks that his life might be in danger means that the CEO of this company takes his potential clients safety in mind.,,R_3pgKUNLxlCwPXGK,0
153,xA5,AV2.lever,2,1,n/a,,R_1qWnsKIpav5Lzrs,0
154,xB5,AV2.auto,5,0,Because the alternative does not make any sense whatsoever.,,R_24eMYb5cNAxFVS5,0
