pid,cond,condLabel,dv,dv_binary,FreeResponse,Duration,ResponseId
3,xB4,AV.auto,5,0,"Because a human would need to take control under certain circumstances. So, this always needs to be an option.",,R_3lsi9P4xJz7Ptv4
5,xAB4,AV.AB,3,0,The results could go either way. I am in between on this topic. It could be either good or bad to make a final decision.,,R_2VJiVuMNaQKhUt1
6,xAB4,AV.AB,1,1,"I feel that the CEO's decision to move forward with half the cars not having human override capability was totally inappropriate because it does NOT balance freedom with safety, as his stated position asserts. As long as there are ANY safety concerns, those should be addressed before putting any drivers behind the wheel.",,R_3J2Awir4d0WVD8r
9,xA4,AV.lever,5,0,I have the same belief that he had that humans should have freedom to choice if they want to drive or not. Especially in an emergency or unseen circumstances the car can't predict.,,R_1qecPqpMVFManGR
14,xB4,AV.auto,5,0,You should be able to control what is going on in the car. If an accident were about to happen you could prevent it where a self driving car couldn't.,,R_1eyfpRyxv9m3qkM
22,xAB4,AV.AB,5,0,I think it is very appropriate to test the best way to have humans override the self driving car.  People will want this option and will want it to work in the best possible way.,,R_1rPwyHJVMvjirOE
27,xA4,AV.lever,5,0,"It's a good way to make the transition and gives drivers an option, a choice and a sense of control.",,R_33eGGBk9NqLH66Y
28,xB4,AV.auto,5,0,There are too many variables when driving to not provide the driver with over ride options.,,R_10Ct2sYpWMjMIfV
29,xAB4,AV.AB,5,0,It's my biggest concern with self driving cars. I think it's a rational experiment,,R_2YVap7gd7PvQa63
38,xA4,AV.lever,5,0,"Something could go wrong with the cars computer or navigation system causing the car to become a hazard to the driver and passengers, and to other cars and pedestrians. In such a case, I would want to be able to override the system and take control.",,R_232JMAqninA1hW6
40,xB4,AV.auto,4,0,because its an appropriate response to a concern people have about emergency situations,,R_bpBqezDf0Ig3Xah
42,xA4,AV.lever,4,0,Having an option to switch incase of failure is reasonable.,,R_10Pje9nHZwHUSp8
43,xB4,AV.auto,5,0,I feel like if there was any kind of failure on the self-driving aspect of the car the driver would need to step in and actually perform the duties of driving.,,R_3oObJe8iXuJRxZb
