pid,cond,condLabel,dv,dv_binary,FreeResponse,Duration,ResponseId,PlantFood,PlantFood_Correct,GenesAnswer,GenesAnswer_Correct,Earth,Earth_Correct,Radioact,Radioact_Correct,Lasers,Lasers_Correct,Electrons,Electrons_Correct,Continents,Continents_Correct,Gender,Gender_Correct,Antibiotics,Antibiotics_Correct,degree,Degree_spec,ScienceLitSummed,STEMdegree,God,Intuition,ScienceBelief,ScienceBelief_Reverse,Sex,SexBinary1Male,Race/Ethnicity,RaceBinary1White,Age,AgeBinary1Old,Education,EducationBinary1Degree,Income,IncomeBinary1HighInc,IntuitionScore_ByHand,ScienceLitScore,RepeatTurkerLabelCode
12,xAB2l,AV.ABL,5,0,The CEO controls the company. The consumer is aware what he is choosing. The consumer still has the final say on whether to drive the car.,191,R_3FQygaUUJCkhn9G,1,0,2,0,2,0,2,1,2,1,1,1,2,0,2,0,1,0,2,0,3,0,1,3,3,3,1,1,3,1,29,0,3,0,1,0,7,3,0
34,xAB2l,AV.ABL,3,0,I think all cars should have an option to override the self driving function for safety reasons. It is not wise to fully depend on a self driving car.,162,R_RIzIPRhQ0QQV7tT,1,0,1,1,1,1,2,1,1,0,1,1,1,1,1,1,2,1,2,0,7,0,4,4,4,2,2,0,"2,3",0,24,0,4,1,3,0,10,6,0
93,xAB2l,AV.ABL,4,0,Seems like a normal test to me.,75,R_ZkvvaEfQnKoqbXH,1,0,2,0,1,1,2,1,1,0,2,0,1,1,1,1,1,0,1,0,4,1,4,2,4,2,1,1,3,1,39,1,6,1,4,1,8,4,0
256,xAB2l,AV.ABL,5,0,I think its the right decision.,157,R_0TJYT6tTuPMsKpf,1,0,1,1,1,1,2,1,1,0,1,1,1,1,1,1,2,1,2,0,7,0,5,5,5,1,2,0,4,0,45,1,2,0,2,0,11,6,0
280,xAB2l,AV.ABL,3,0,They seemed to be the best course of action,558,R_qR45yL7nYf0zeY9,1,0,2,0,1,1,2,1,1,0,1,1,1,1,2,0,1,0,2,0,4,0,2,4,4,2,1,1,1,0,23,0,3,0,3,0,8,4,0
416,xAB2l,AV.ABL,4,0,"It is appropriate because the CEO is doing what is best in the long run. He is playing the long game, which is more important and good for a forward thinking ceo",116,R_3ilholYkXXZsX5n,1,0,1,1,1,1,2,1,2,1,1,1,1,1,1,1,2,1,1,MEchanical Engineering,8,1,2,2,3,3,1,1,3,1,30,0,4,1,4,1,7,7,0
489,xAB2l,AV.ABL,1,1,The models should have all been the same to prevent any deaths. Human interaction should be a last resort.,134,R_1LLnL7Qag9sIM5p,1,0,1,1,1,1,2,1,2,1,1,1,1,1,1,1,1,0,2,0,7,0,2,1,1,5,1,1,2,0,19,0,4,1,2,0,8,6,0
660,xAB2l,AV.ABL,5,0,Safety first.,492,R_2eaINXSmYSC6Oev,1,0,1,1,1,1,1,0,2,1,1,1,1,1,1,1,2,1,2,0,7,0,5,4,4,2,1,1,1,0,45,1,4,1,6,1,11,6,0
683,xAB2l,AV.ABL,4,0,I feel that after a year of testing there should be sufficient evidence that would enable the CEO to make a decision as to the safest option.  If there are accidents and injuries then he will have to rethink things and come up with a more doable plan.,720,R_2uZZxeWKBOSZHP3,1,0,1,1,1,1,1,0,2,1,1,1,1,1,1,1,1,0,2,0,6,0,5,5,2,4,2,0,3,1,73,1,3,0,2,0,14,5,0
756,xAB2l,AV.ABL,3,0,its my view,126,R_2fdHXTY8VnTbdol,1,0,2,0,1,1,2,1,1,0,2,0,1,1,2,0,1,0,2,0,3,0,4,3,3,3,1,1,2,0,28,0,4,1,2,0,10,3,0
2,xAB2s,AV.ABS,4,0,This was the best option for the given scenario.,80,R_3kHQbpSUGuleJdE,1,0,1,1,1,1,1,0,1,0,1,1,1,1,1,1,2,1,2,0,6,0,3,4,3,3,1,1,3,1,25,0,3,0,2,0,10,5,0
163,xAB2s,AV.ABS,3,0,seems best,43,R_3fE0Ask4ofG8U5s,1,0,2,0,1,1,1,0,2,1,1,1,2,0,2,0,2,1,2,0,4,0,2,3,2,4,1,1,3,1,25,0,2,0,2,0,9,4,0
206,xAB2s,AV.ABS,4,0,is goood,390,R_2EGjLELd066kR18,1,0,2,0,1,1,1,0,1,0,2,0,1,1,2,0,1,0,2,0,2,0,4,4,4,2,2,0,3,1,30,0,6,1,5,1,10,2,0
212,xAB2s,AV.ABS,2,1,he is acting in the best interest of the company. The CEO wants to do good.,45,R_1gjYEojSkLuu92Y,1,0,1,1,2,0,1,0,1,0,1,1,2,0,1,1,2,1,2,0,4,0,3,3,4,2,1,1,3,1,22,0,4,1,6,1,8,3,0
326,xAB2s,AV.ABS,1,1,This is a huge safety concern as people have a right to know this info.,108,R_1OqLaNsjdSggC99,1,0,1,1,1,1,2,1,2,1,1,1,1,1,1,1,2,1,2,0,8,0,5,5,2,4,1,1,4,0,37,1,4,1,4,1,14,7,1
688,xAB2s,AV.ABS,4,0,I think the invention will save lives. The risk is worthy of the reward.,131,R_p456FdgyvdxqTJL,1,0,2,0,1,1,2,1,1,0,2,0,1,1,1,1,1,0,2,0,4,0,4,3,2,4,2,0,1,0,21,0,3,0,2,0,11,4,0
803,xAB2s,AV.ABS,1,1,the options from the company are good for the car driver. the CEO is the one who approves theses measures.,377,R_3OlBPE1LJICghlf,1,0,2,0,1,1,2,1,1,0,2,0,1,1,1,1,1,0,2,0,4,0,5,3,3,3,1,1,1,0,38,1,2,0,1,0,11,4,0
36,xB2,AV.auto,5,0,because he makes sure that if we touch the wheel or any pedal while driving we automatically take back over and the robot doesn't,181,R_1q9ioFK7bAgIRUo,1,0,2,0,1,1,2,1,2,1,1,1,1,1,1,1,2,1,2,0,7,0,2,2,4,2,2,0,3,1,24,0,3,0,2,0,6,7,0
164,xB2,AV.auto,1,1,this survey is one of the game,108,R_3KZLh9G2n0cchYF,1,0,1,1,1,1,1,0,1,0,1,1,2,0,1,1,1,0,1,yes i do the graduate school in during the year,4,1,4,3,2,4,1,1,1,0,22,0,3,0,1,0,11,3,0
248,xB2,AV.auto,4,0,He wants to know so he'll do what he wants. Why wouldn't he?,132,R_2wnptqgcn8tcgnb,1,0,2,0,1,1,2,1,2,1,1,1,1,1,1,1,1,0,2,0,6,0,3,3,2,4,2,0,3,1,54,1,4,1,4,1,10,6,0
258,xB2,AV.auto,5,0,I think its the right decision.,216,R_1MWCmhvUnHakMFg,1,0,1,1,1,1,2,1,1,0,1,1,1,1,1,1,2,1,2,0,7,0,5,5,5,1,2,0,4,0,39,1,4,1,2,0,11,6,0
428,xB2,AV.auto,5,0,I think it kills two birds with one stone. It is a self driving car but gives us the option to take control,583,R_2WViwjlV1bzT2do,1,0,2,0,1,1,2,1,1,0,1,1,1,1,1,1,2,1,2,0,6,0,4,2,4,2,1,1,1,0,38,1,4,1,4,1,8,6,0
15,xA2,AV.lever,3,0,i do not care about the scenario,192,R_117rm1cTcgO1POX,1,0,2,0,1,1,2,1,2,1,1,1,1,1,1,1,2,1,2,0,7,0,1,1,5,1,1,1,3,1,28,0,4,1,2,0,3,7,0
343,xA2,AV.lever,5,0,I think this is a good idea until more testing can come out proving it to be reliable. This should make it more safe putting control in the hands of a human if need be.,451,R_2aauQ5ZQQOKX4nM,1,0,2,0,1,1,2,1,1,0,2,0,1,1,1,1,2,1,2,0,5,0,4,4,3,3,2,0,3,1,53,1,2,0,3,0,11,5,0
381,xA2,AV.lever,3,0,It seems like a good idea but has it's problems as well,714,R_1Kf09AdUR168c94,1,0,1,1,1,1,2,1,2,1,2,0,2,0,2,0,1,0,2,0,4,0,1,3,4,2,1,1,3,1,30,0,4,1,2,0,6,3,0
411,xA2,AV.lever,4,0,"if there is a certain traffic flow that self driving cars work with, it might mess up the flow and cause more accidents. i think it is approriate to have it now when the tech is still new and needing of improvement. but maybe later might change the tune",227,R_3Ehgft1FSeQWZmt,1,0,1,1,1,1,2,1,2,1,1,1,1,1,2,0,1,0,2,0,6,0,1,2,4,2,1,1,2,0,26,0,3,0,3,0,5,5,0
461,xA2,AV.lever,4,0,I think that people should have the.choice.i.know that I would not feel safe.in a self.sriving car,119,R_2rT6YJgh3fkeepA,1,0,2,0,1,1,2,1,2,1,2,0,1,1,1,1,2,1,2,0,6,0,3,4,4,2,2,0,3,1,31,0,5,1,6,1,9,6,0
681,xA2,AV.lever,2,1,no,71,R_2ye06hNUCho89oe,1,0,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,0,1,no,5,1,4,5,4,2,2,0,3,1,28,0,6,1,3,0,11,4,0
5,xAB1l,gene.ABL,2,1,good feel,52,R_7PLJ8e4swhHXV73,1,0,1,1,1,1,2,1,1,0,1,1,2,0,1,1,1,0,1,yes,5,1,4,4,3,3,1,1,1,0,28,0,4,1,2,0,11,4,0
