StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,xA1,xB1,xAB1s,xAB1l,xA2,xB2,xAB2s,xAB2l,FreeResponse,PlantFood,GenesAnswer,Earth,Radioact,Lasers,Electrons,Continents,Gender,Antibiotics,degree,Degree_spec,God,Intuition,Science,Sex,Race/Ethnicity,Age,Education,Income,SC0,SC1
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,"Some genetic mutations lead to health conditions that can make a person sick, or even cause them to die. Many of these health conditions can be prevented or slowed by taking certain steps once a person knows they have a genetic condition, but others cannot. A certain genetic testing company currently only returns ""genealogy"" results, about customers' family tree and national origins, but the CEO wants to help as many people as he can. So, he decides that he will offer all of his clients the option to see if they have any genetic risks for health conditions that can be prevented or reduced. Customers will have the option of viewing these results or not. 
 

How appropriate is the CEO's decision?","Some genetic mutations lead to health conditions that can make a person sick, or even cause them to die. Many of these health conditions can be prevented or slowed by taking certain steps once a person knows they have a genetic condition, but others cannot. A certain genetic testing company currently only returns ""genealogy"" results, about customers' family tree and national origins, but the CEO wants to help as many people as he can. So, he decides that he will offer all of his clients the option to see if they have any genetic risks for health conditions, whether or not these health conditions can be prevented or reduced. Customers will have the option of viewing these results or not.

 

How appropriate is the CEO's decision?","Some genetic mutations lead to health conditions that can make a person sick, or even cause them to die. Many of these health conditions can be prevented or slowed by taking certain steps once a person knows they have a genetic condition, but others cannot. A certain genetic testing company currently only returns ""genealogy"" results, about customers' family tree and national origins, but the CEO wants to help as many people as he can. He thinks of two different ways to help customers, so he decides to run an experiment by randomly assigning them to one of two test conditions. He will offer half of his clients the option to see if they have any genetic risks for health conditions that can be prevented or reduced. He will offer the other half the option to see if they have any genetic risks for health conditions, whether or not these health conditions can be prevented or reduced. Customers in both test conditions will have the option of viewing the additional results offered to them. 
 

How appropriate is the CEO's decision?","Some genetic mutations lead to health conditions that can make a person sick, or even cause them to die. Many of these health conditions can be prevented or slowed by taking certain steps once a person knows they have a genetic condition, but others cannot. A certain genetic testing company currently only returns ""genealogy"" results, about customers' family tree and national origins, but the CEO wants to help as many people as he can. He thinks of two different ways to help customers, so he decides to run an experiment by randomly assigning them to one of two test conditions. He will offer half of his clients the option to see if they have any genetic risks for health conditions that can be prevented or reduced. He will offer the other half the option to see if they have any genetic risks for health conditions, whether or not these health conditions can be prevented or reduced. Customers in both test conditions will have the option of viewing the additional results offered to them. After one year, the CEO will provide all new customers with the option that led to the highest customer satisfaction during the experiment. 

How appropriate is the CEO's decision?","Many people like the idea of completely self-driving cars, which are capable of navigating the road without any input from a human driver. These kinds of cars can make people's lives easier and reduce accidents, but some of them prevent people from taking control of their car in the case of emergency. The CEO of a company developing self-driving cars wants people to have as much freedom as possible while on the road, while also remaining safe. So, he decides that all of the company's cars will have a lever that allows drivers to switch between self-driving and human-driving modes.
 

How appropriate is the CEO's decision?","Many people like the idea of completely self-driving cars, which are capable of navigating the road without any input from a human driver. These kinds of cars can make people's lives easier and reduce accidents, but some of them prevent people from taking control of their car in the case of emergency. The CEO of a company developing self-driving cars wants people to have as much freedom as possible while on the road, while also remaining safe. So, he decides that any use of the brakes, gas pedal, or steering wheel by a human driver will automatically override self-driving mode on the company's cars.
 

How appropriate is the CEO's decision?","Many people like the idea of completely self-driving cars, which are capable of navigating the road without any input from a human driver. These kinds of cars can make people's lives easier and reduce accidents, but some of them prevent people from taking control of their car in the case of emergency. The CEO of a company developing self-driving cars wants people to have as much freedom as possible while on the road, while also remaining safe. The CEO thinks of two different ways to balance freedom and safety, so he decides to run an experiment by randomly assigning cars to one of two test conditions. Half of cars the company sells will have a lever that allows drivers to switch between self-driving and human-driving modes. The other half will be programmed so that any use of the brakes, gas pedal, or steering wheel by a human driver will automatically override self-driving mode on the company's cars.
 

How appropriate is the CEO's decision?","Many people like the idea of completely self-driving cars, which are capable of navigating the road without any input from a human driver. These kinds of cars can make people's lives easier and reduce accidents, but some of them prevent people from taking control of their car in the case of emergency. The CEO of a company developing self-driving cars wants people to have as much freedom as possible while on the road, while also remaining safe. The CEO thinks of two different ways to balance freedom and safety, so he decides to run an experiment by randomly assigning cars to one of two test conditions. Half of cars the company sells will have a lever that allows drivers to switch between self-driving and human-driving modes. The other half will be programmed so that any use of the brakes, gas pedal, or steering wheel by a human driver will automatically override self-driving mode on the company's cars. After a year, the CEO will have all of the company's cars built using whichever design turns out to lead to the fewest accidents. 

How appropriate is the CEO's decision?","In a couple of sentences, please tell us why you chose the option you chose.","Two scientists want to know if a certain new plant food will increase plant growth. The first scientist wants to give the new food to 1,000 plants and see how many of them grow larger than they were before they received the new food. The second scientist wants to give the new food to 500 plants and give the normal, standard food to another 500 plants, and see whether the plants in the first group grow more than the plants in the second group. 
 

 Which is the better way to test this plant food?","Does this mean that if their first child has the illness, the next three will not?",The center of the Earth is very hot.,All radioactivity is man-made.,Lasers work by focusing sound waves.,Electrons are smaller than atoms.,The continents have been moving their location for millions of years and will continue to move.,It is the father’s gene that decides whether the baby is a boy or a girl.,Antibiotics kill viruses as well as bacteria.,Do you have a college or graduate school degree in any science or engineering field?,"If you answered 'yes' to the question above, please enter the specific science or engineering field below.",God or some type of nonhuman entity is in control of the events in the universe.,"We believe too often in science, and not enough in feelings and faith.",Knowledge can best be obtained through scientific research.,What is your sex?,What race/ethnicity do you consider yourself? Check all that apply.,What is your age (in years)?,What is the highest level of education you have received?,What is the total annual income from everyone in your household?,Intscale,ScienceTrueFalse
"{""ImportId"":""startDate"",""timeZone"":""America/New_York""}","{""ImportId"":""endDate"",""timeZone"":""America/New_York""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/New_York""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID3""}","{""ImportId"":""QID4""}","{""ImportId"":""QID5""}","{""ImportId"":""QID17""}","{""ImportId"":""QID6""}","{""ImportId"":""QID7""}","{""ImportId"":""QID8""}","{""ImportId"":""QID18""}","{""ImportId"":""QID10_TEXT""}","{""ImportId"":""QID30""}","{""ImportId"":""QID32""}","{""ImportId"":""QID21""}","{""ImportId"":""QID22""}","{""ImportId"":""QID23""}","{""ImportId"":""QID24""}","{""ImportId"":""QID25""}","{""ImportId"":""QID26""}","{""ImportId"":""QID27""}","{""ImportId"":""QID28""}","{""ImportId"":""QID29_TEXT""}","{""ImportId"":""QID34""}","{""ImportId"":""QID35""}","{""ImportId"":""QID36""}","{""ImportId"":""QID11""}","{""ImportId"":""QID12""}","{""ImportId"":""QID13_TEXT""}","{""ImportId"":""QID14""}","{""ImportId"":""QID15""}","{""ImportId"":""SC_b3InTSUCEvpzcAl""}","{""ImportId"":""SC_7Vh9uG2CtUh1s7H""}"
2017-10-10 15:19:59,2017-10-10 15:21:04,0,199.244.51.91,100,65,1,2017-10-10 15:21:04,R_SKb4StZdZt9RjwZ,,,,,40.760498046875,-73.993301391602,anonymous,EN,,,4,,,,,,no idea,1,1,1,1,1,1,1,1,1,1,yes,4,4,3,1,"1,2,3,4",30,4,2,11,4
2017-10-10 15:20:11,2017-10-10 15:21:31,0,67.184.181.248,100,80,1,2017-10-10 15:21:31,R_3kHQbpSUGuleJdE,,,,,41.937301635742,-87.655097961426,anonymous,EN,,,,,,,4,,This was the best option for the given scenario.,1,1,1,1,1,1,1,1,2,2,,3,4,3,1,3,25,3,2,10,5
2017-10-10 15:20:39,2017-10-10 15:22:36,0,198.22.162.104,100,117,1,2017-10-10 15:22:37,R_24vIsmrZS7GUDEs,,,,,40.71110534668,-73.946899414062,anonymous,EN,,1,,,,,,,own chose,1,2,1,1,2,1,2,1,1,2,,3,2,1,1,1,27,4,5,10,4
2017-10-10 15:20:26,2017-10-10 15:22:44,0,170.185.174.19,100,137,1,2017-10-10 15:22:44,R_3PsOhmcBfPTgCDP,,,,,38.436996459961,-85.413299560547,anonymous,EN,5,,,,,,,,The CEO values helping as many people as he possible can.,2,1,1,2,1,1,1,2,2,2,,1,1,5,1,3,29,6,3,3,5
2017-10-10 15:21:54,2017-10-10 15:22:47,0,199.244.50.116,100,52,1,2017-10-10 15:22:48,R_7PLJ8e4swhHXV73,,,,,40.714294433594,-74.005996704102,anonymous,EN,,,,2,,,,,good feel,1,1,1,2,1,1,2,1,1,1,yes,4,4,3,1,1,28,4,2,11,4
2017-10-10 15:20:14,2017-10-10 15:22:51,0,71.71.88.87,100,157,1,2017-10-10 15:22:51,R_tJz4OAp9FGVhbHP,,,,,36.124206542969,-80.635101318359,anonymous,EN,,,,,,,,4,I thought that although the better choice is obvious the test is fair,2,1,1,2,2,1,1,2,2,2,,1,1,5,1,3,28,2,1,3,6
2017-10-10 15:21:20,2017-10-10 15:22:56,0,24.101.79.134,100,95,1,2017-10-10 15:22:57,R_2WwftOVDTRLSYqq,,,,,38.341506958008,-82.517997741699,anonymous,EN,,,1,,,,,,He does not know what will happen.,2,1,1,2,2,1,1,1,2,1,Network Systems Administration,5,1,5,1,3,25,3,3,7,7
2017-10-10 15:20:27,2017-10-10 15:22:57,0,96.237.137.232,100,149,1,2017-10-10 15:22:58,R_1EY6HrnJitJqilS,,,,,41.873397827148,-70.63939666748,anonymous,EN,,,,,,2,,,if you accidentally pull on the steering wheel - the automatic program STOPS??,2,1,1,2,2,2,1,2,2,2,,3,3,4,2,3,53,4,2,8,5
